bucket,total,--,AL,AR,AT,AU,BA,BD,BE,BG,BR,CA,CH,CM,CN,CO,DE,EC,EE,ES,ET,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LT,LV,MD,MK,MM,MN,MO,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,RW,SE,SG,SI,TH,TR,TW,UA,US,VN,ZA,ZM
2024-08-18T20,150,1,1,1,0,0,0,0,2,3,2,3,2,0,11,0,17,0,0,2,0,0,12,20,0,0,0,0,0,0,1,0,17,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,2,1,0,0,1,7,1,1,0,0,0,28,1,0,0
2024-08-18T21,119,0,0,2,0,0,0,0,0,3,0,4,3,0,14,0,8,0,0,1,0,0,11,11,0,0,0,0,0,0,1,0,13,1,0,1,0,0,0,1,0,0,1,0,0,0,11,1,0,0,0,0,1,3,1,0,0,0,5,0,1,0,0,1,20,0,0,0
2024-08-18T22,116,4,0,3,0,0,0,0,1,1,0,2,2,0,8,0,9,0,0,1,0,0,11,9,0,2,0,0,0,0,1,2,8,4,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,3,0,1,7,0,0,0,0,0,27,0,1,0
2024-08-18T23,107,3,0,3,0,0,0,0,1,1,2,5,1,0,8,0,8,0,0,0,0,0,7,2,0,2,0,0,0,1,0,2,5,4,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,1,0,0,1,1,0,3,0,0,5,0,1,0,0,0,32,0,1,0
2024-08-19T00,81,1,0,3,0,0,0,0,0,3,1,9,3,0,7,0,7,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,26,0,0,0
2024-08-19T01,74,0,0,1,0,0,0,0,0,2,1,8,0,0,8,0,6,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,30,1,0,0
2024-08-19T02,86,0,0,0,0,0,0,0,0,1,0,6,0,0,7,0,5,0,0,0,0,0,2,6,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,1,1,1,0,7,0,1,0,2,0,34,1,0,0
2024-08-19T03,71,2,0,0,0,1,0,0,0,1,2,6,0,0,6,0,6,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,5,0,1,0,1,1,26,1,0,0
2024-08-19T04,66,0,0,0,0,1,0,1,0,0,0,3,0,0,17,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,5,0,0,0,1,0,24,0,0,0
2024-08-19T05,79,1,0,0,0,1,0,0,0,1,0,5,0,0,15,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,5,0,0,0,0,0,31,0,1,0
2024-08-19T06,46,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,15,0,0,0
