bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BI,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GA,GB,GE,GP,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KY,KZ,LA,LT,LU,LV,MA,MD,ME,MM,MO,MT,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,US,UY,VE,VI,VN,ZA
2024-02-18T21,195,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,9,0,0,0,18,1,0,0,0,0,4,0,0,5,0,13,0,0,0,2,0,0,0,0,0,0,1,0,0,0,20,0,17,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,3,0,1,0,0,0,0,5,1,1,0,3,1,0,2,20,0,0,3,0,1,1,0,1,39,0,0,0,0,0
2024-02-18T22,145,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,5,2,0,11,0,0,0,16,1,0,0,0,0,3,0,0,4,0,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,2,0,3,0,0,1,8,0,0,3,0,0,1,0,0,25,0,0,0,0,0
2024-02-18T23,140,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,7,2,0,8,0,0,0,13,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,5,0,0,1,0,0,1,0,0,51,0,0,0,0,0
2024-02-19T00,239,2,0,0,0,0,0,1,0,0,2,1,1,3,0,0,13,0,0,22,0,0,0,10,1,0,0,0,1,0,0,0,2,0,9,0,0,0,1,0,0,0,1,1,0,9,0,0,0,10,0,24,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,21,0,1,2,0,0,0,0,1,84,0,0,0,0,1
2024-02-19T01,90,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,5,0,0,0,6,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,46,0,0,0,0,0
2024-02-19T02,85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,7,0,0,0,5,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,36,0,1,0,0,0
2024-02-19T03,96,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,1,0,0,0,41,0,1,0,1,0
2024-02-19T04,69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,27,0,0,0,0,0
2024-02-19T05,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,2,0,0,37,0,0,0,0,0
2024-02-19T06,97,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,1,0,1,6,0,0,35,0,0,0,0,0
