bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BN,BO,BR,BT,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MT,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SI,SK,SV,TG,TH,TN,TR,TW,UA,US,VE,VN,ZA,ZW
2024-06-02T13,138,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,12,10,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,1,0,0,0,3,2,1,0,5,0,0,0,0,12,0,2,9,0,22,0,0,0,0
2024-06-02T14,165,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,0,3,0,0,0,9,0,0,0,0,0,21,0,0,0,0,0,0,1,0,2,13,7,0,0,0,0,2,1,0,1,0,1,0,0,0,0,15,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,2,0,0,0,3,1,0,0,5,0,0,0,0,20,0,1,13,1,24,0,1,0,0
2024-06-02T15,190,1,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,8,1,0,0,8,0,0,0,0,0,20,0,0,0,0,0,0,2,0,1,15,6,0,0,0,0,3,1,0,0,0,0,1,0,0,0,17,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,1,0,0,2,0,4,0,0,1,2,3,1,1,10,0,0,0,1,21,0,1,10,0,27,0,0,0,0
2024-06-02T16,173,0,0,0,0,0,0,1,0,0,1,1,1,0,0,3,0,7,1,0,0,14,1,0,0,0,0,28,0,0,0,0,0,0,5,0,0,11,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,1,0,1,0,3,0,0,0,3,1,0,2,8,0,0,0,0,18,0,1,5,1,17,0,2,0,0
2024-06-02T17,201,1,0,0,0,0,1,2,0,1,1,2,0,0,0,4,0,7,0,0,0,16,1,0,0,0,0,35,0,0,0,0,0,0,4,0,1,8,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,15,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,1,0,1,0,1,0,0,0,2,1,0,2,10,0,0,0,0,15,0,1,3,0,31,0,2,0,0
2024-06-02T18,165,2,1,0,0,0,1,1,0,1,1,2,2,0,0,1,0,3,0,0,0,14,0,0,1,0,0,34,0,0,0,0,0,0,5,0,0,8,9,0,0,0,0,3,0,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,2,0,0,0,1,0,0,1,5,0,0,0,0,10,0,1,3,0,26,0,0,0,0
2024-06-02T19,180,0,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,7,2,0,0,16,1,0,0,0,0,31,0,0,0,1,0,0,4,0,0,9,7,0,0,0,0,2,0,1,0,1,0,0,0,1,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,4,0,0,0,0,1,0,4,5,0,0,0,0,8,0,1,2,0,32,0,2,0,0
2024-06-02T20,176,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,5,2,0,0,14,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,6,11,0,0,0,0,1,0,1,0,1,0,1,0,0,0,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,14,1,0,0,0,0,0,1,1,0,0,0,2,0,1,16,0,0,0,0,6,0,2,1,0,35,0,0,0,0
2024-06-02T21,142,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,7,2,0,0,20,2,0,0,0,0,12,0,0,0,0,0,0,1,0,0,10,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,3,0,0,0,0,0,0,2,7,0,0,0,0,2,0,2,0,0,24,0,0,0,0
2024-06-02T22,104,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,2,6,0,0,0,1,3,0,1,0,0,31,0,0,0,0
