bucket,total,--,AE,AF,AL,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MC,MD,ML,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2024-02-11T12,89,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,13,0,0,0,0,0,0,1,0,1,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,2,0,1,0,0,1,0,3,1,0,1,6,0,0,0,2,0,1,2,0,0,0,17,0,0,0,0,0
2024-02-11T13,156,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,1,0,0,27,0,0,0,15,2,0,0,0,0,0,2,0,1,9,11,0,0,0,4,0,0,1,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,2,0,0,0,0,1,0,2,0,0,1,6,0,0,0,8,1,1,6,1,0,0,19,0,0,0,0,0
2024-02-11T14,150,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,8,1,0,0,14,0,0,0,0,2,0,1,0,2,13,10,0,0,0,2,0,0,0,0,0,2,0,0,0,19,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,2,0,1,0,0,2,0,2,0,0,1,5,0,0,0,13,0,2,4,0,0,0,19,0,0,0,0,0
2024-02-11T15,174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,1,0,0,10,1,0,0,21,0,0,0,0,2,0,1,0,3,8,10,0,0,1,1,0,0,1,0,1,1,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,1,0,3,0,2,0,0,1,0,0,1,0,5,6,0,0,0,14,0,2,4,0,0,0,28,0,0,0,0,0
2024-02-11T16,203,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,7,0,1,0,15,0,0,0,30,0,0,0,0,0,0,6,0,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,1,0,2,0,1,0,0,3,0,0,0,0,5,6,0,0,0,14,0,0,5,0,0,0,26,0,0,0,0,0
2024-02-11T17,196,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,14,0,0,1,37,1,0,0,0,0,0,7,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,1,0,0,2,0,2,0,1,9,6,0,0,0,11,0,0,1,0,0,0,33,0,0,1,0,0
2024-02-11T18,206,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0,14,0,0,0,38,0,0,0,0,0,0,5,0,0,13,13,0,0,0,0,0,1,0,0,0,3,0,0,0,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,9,0,0,0,2,0,1,0,1,0,0,1,0,4,0,0,8,6,0,0,0,9,0,0,1,0,0,0,40,0,0,1,0,0
2024-02-11T19,213,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8,1,0,0,13,0,0,0,43,0,0,0,0,0,0,7,0,0,14,15,0,0,0,4,0,0,1,0,0,1,0,1,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1,0,3,0,1,0,0,3,0,1,0,0,8,5,0,0,0,4,0,0,2,0,0,0,41,0,0,0,1,0
2024-02-11T20,190,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,19,0,0,0,26,0,0,0,0,0,0,3,0,0,11,16,0,0,0,1,0,0,1,0,0,2,0,1,0,12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,2,0,2,0,0,1,0,4,0,0,6,5,0,0,0,4,0,1,1,0,0,0,37,0,0,0,0,0
2024-02-11T21,185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,4,2,0,0,34,0,0,0,13,0,0,0,0,0,0,1,0,1,7,11,0,0,0,1,0,0,0,0,0,1,0,0,0,23,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,3,7,0,0,0,1,0,1,2,0,1,0,38,0,0,1,0,0
2024-02-11T22,199,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,9,1,0,0,29,0,0,0,16,0,0,0,0,0,0,3,0,0,7,11,0,0,0,1,0,0,0,0,0,3,0,1,0,26,13,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,0,1,0,0,0,0,4,0,0,2,8,0,0,0,1,0,1,2,0,1,0,36,0,0,3,0,0
2024-02-11T23,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,3,0,0,0,14,0,0,0,0,0,0,2,0,0,7,11,0,0,0,2,0,0,0,0,0,1,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,43,0,0,2,0,0
2024-02-12T00,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,5,1,0,0,7,0,0,0,0,0,0,1,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,1,1,0,1,0,46,0,0,0,0,0
2024-02-12T01,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,4,1,1,0,5,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,0,2,0,0,0,29,0,0,0,0,0
2024-02-12T02,76,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,11,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,33,0,0,1,0,0
2024-02-12T03,98,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10,0,1,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,1,0,0,0,40,0,0,1,1,0
