bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VI,VN,ZA
2024-01-14T00,138,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,10,0,1,0,11,0,0,0,0,0,0,4,0,1,6,10,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,48,0,0,0,0,1,0
2024-01-14T01,111,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,13,0,0,0,6,0,0,1,0,0,0,2,0,0,2,5,0,0,0,0,1,0,0,1,0,1,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,46,0,0,0,0,0,0
2024-01-14T02,147,2,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,11,0,0,1,12,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,1,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,2,7,0,0,1,0,0,5,0,58,0,0,0,0,2,0
2024-01-14T03,105,0,0,0,1,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,15,0,0,1,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,35,0,0,0,0,0,1
2024-01-14T04,90,2,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,0,2,0,1,2,1,31,0,0,0,0,0,0
2024-01-14T05,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,34,0,0,0,0,0,1
2024-01-14T06,83,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,4,1,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,6,1,36,0,0,0,0,0,0
2024-01-14T07,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,1,0,25,0,0,0,0,0,0
2024-01-14T08,80,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,1,0,0,0,9,0,0,0,9,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,1,25,0,0,0,0,0,0
2024-01-14T09,95,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,1,0,0,16,2,0,0,0,0,0,1,0,1,10,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,6,0,0,6,0,0,0,0,23,0,0,0,0,0,0
