bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MT,MW,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2024-03-03T00,111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,5,0,0,0,13,0,0,0,0,0,0,1,1,4,9,0,0,0,2,0,0,0,0,0,2,0,0,0,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,39,0,0,0,0,0
2024-03-03T01,86,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,2,39,0,0,0,0,1
2024-03-03T02,92,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,12,2,0,0,4,0,0,0,7,0,0,0,0,0,0,2,0,1,3,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,35,0,0,0,0,1
2024-03-03T03,90,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,10,1,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,0,0,5,0,0,1,0,0,1,0,34,0,0,0,0,0
2024-03-03T04,94,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,11,3,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,6,0,0,1,0,0,1,0,42,0,0,0,0,1
2024-03-03T05,82,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,1,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0,0,2,0,0,3,0,39,0,0,0,0,0
2024-03-03T06,77,1,1,0,0,0,4,0,0,0,1,0,1,0,0,0,8,1,0,0,6,0,0,0,4,0,0,0,0,0,0,2,0,3,4,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,0,0,1,0,27,0,0,0,0,0
2024-03-03T07,82,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,3,1,0,0,10,0,0,0,7,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,2,0,0,0,5,0,0,1,0,0,3,0,25,0,0,0,0,0
2024-03-03T08,77,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,9,0,0,3,0,0,3,0,21,0,0,0,0,0
2024-03-03T09,100,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,2,0,0,10,0,0,0,11,0,0,0,0,0,0,1,0,6,5,0,0,0,2,0,0,0,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,7,0,0,5,0,0,5,0,20,0,0,0,1,0
2024-03-03T10,130,5,0,0,0,1,1,0,1,0,0,1,2,0,0,0,2,0,0,0,10,0,0,0,15,0,0,0,0,0,0,8,0,14,6,1,0,0,3,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,2,1,0,1,6,0,0,5,0,0,4,0,23,0,0,0,0,1
2024-03-03T11,125,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,17,0,0,0,0,0,0,4,1,7,6,0,0,0,1,0,0,0,0,0,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,5,0,3,0,0,3,6,0,0,5,0,1,4,0,27,0,0,0,0,0
2024-03-03T12,118,4,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,6,0,0,0,14,0,0,0,0,0,0,1,1,6,4,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,1,0,3,0,0,0,5,0,0,4,0,1,7,0,41,0,0,0,0,1
