bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,ZA,ZW
2024-01-21T13,123,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4,0,0,0,1,15,1,0,0,0,2,1,0,10,9,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,12,0,1,5,0,0,16,0,0,1,0,0
2024-01-21T14,164,3,0,0,0,2,1,0,0,0,0,0,0,0,1,1,8,0,0,0,0,7,0,0,0,2,19,1,1,0,0,1,0,1,11,8,0,0,3,0,0,0,0,0,3,0,0,10,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,2,0,1,0,0,0,1,0,5,0,1,0,1,11,0,0,0,14,0,0,3,0,0,22,0,0,0,0,0
2024-01-21T15,176,3,1,0,0,2,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,9,0,0,0,0,22,0,0,0,0,1,0,0,14,11,0,0,0,0,1,1,0,1,1,0,0,16,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,4,0,1,0,3,0,2,0,0,1,1,8,0,0,0,10,0,0,2,1,0,23,0,0,0,0,0
2024-01-21T16,172,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,10,2,0,0,0,3,0,1,0,0,31,0,0,0,0,1,0,1,15,10,0,1,1,0,0,1,0,0,1,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,1,3,0,1,0,2,0,0,0,0,1,3,7,0,0,0,8,0,0,0,1,0,24,0,0,1,0,0
2024-01-21T17,159,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,3,2,0,0,0,3,0,0,0,0,32,1,0,0,0,4,0,0,25,9,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,2,0,0,0,3,0,1,0,0,0,4,5,0,0,0,5,0,0,0,1,0,22,0,0,0,0,0
2024-01-21T18,189,0,0,0,0,1,0,0,0,0,2,1,0,0,3,0,13,2,0,0,0,5,0,0,0,0,39,0,0,0,0,4,0,0,10,17,0,0,1,0,0,0,4,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,6,6,0,0,0,6,0,0,1,1,0,23,0,0,1,0,0
2024-01-21T19,184,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,1,0,0,0,9,0,0,0,0,38,1,0,0,0,6,0,0,5,18,0,0,2,0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,1,0,0,4,0,1,0,3,0,1,0,0,0,7,7,0,0,0,5,0,0,0,3,0,28,0,0,0,0,0
2024-01-21T20,196,1,0,0,1,1,2,0,0,0,1,1,0,0,2,0,9,4,0,0,0,3,0,0,0,0,25,1,0,0,0,4,0,1,8,15,0,0,0,0,0,0,0,0,2,0,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,4,7,0,0,0,6,0,0,1,1,0,52,0,0,1,0,0
2024-01-21T21,151,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,8,1,0,0,0,7,0,0,0,0,22,1,0,0,0,2,0,0,7,9,0,0,0,0,1,0,0,0,0,0,0,20,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,1,6,0,0,0,3,0,0,0,0,0,37,0,0,0,0,0
2024-01-21T22,123,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,2,0,0,0,6,0,0,0,0,17,0,0,0,0,1,0,0,5,7,0,0,1,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,0,6,0,0,0,3,0,0,0,0,0,30,0,0,0,0,0
