bucket,total,--,AE,AL,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SK,TG,TH,TN,TR,TW,UA,UG,US,UZ,VN,ZA
2024-06-09T14,204,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,6,1,0,0,17,0,0,15,0,0,0,0,1,0,18,6,0,0,4,0,0,0,0,0,1,1,0,0,0,3,15,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1,1,0,5,0,2,0,0,0,0,0,2,0,0,0,7,0,0,0,14,1,0,1,0,0,61,0,0,0
2024-06-09T15,176,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,0,19,0,0,15,0,0,0,0,1,0,18,11,0,0,4,0,0,0,0,1,0,1,0,0,0,13,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,1,0,0,0,1,0,3,0,0,0,8,0,0,0,14,1,1,1,1,0,31,0,0,0
2024-06-09T16,166,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,3,1,0,0,13,0,0,29,0,0,0,0,3,1,15,6,0,0,4,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,1,0,1,0,2,0,1,0,2,0,0,1,0,1,5,0,0,0,11,0,1,1,0,0,29,0,1,0
2024-06-09T17,181,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,1,0,0,10,0,1,32,0,0,0,0,5,1,12,10,0,0,1,0,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,0,0,0,11,0,1,1,0,0,34,0,0,0
2024-06-09T18,173,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,1,1,0,8,0,0,36,1,0,0,0,2,0,10,16,0,0,1,0,0,0,1,4,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,1,0,0,1,0,2,0,1,0,2,0,0,0,0,4,5,0,3,0,11,0,1,1,0,0,21,0,0,0
2024-06-09T19,177,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,6,0,1,0,13,0,0,29,1,0,0,0,2,0,14,8,0,0,3,0,0,0,1,0,0,1,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,12,0,2,0,0,0,3,0,0,0,2,0,1,0,0,2,6,1,1,0,7,0,1,0,1,0,38,0,0,1
2024-06-09T20,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,14,0,0,24,0,1,0,0,4,0,10,10,0,0,4,0,0,0,1,1,0,1,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,3,0,1,0,0,0,1,1,0,1,7,2,0,0,3,0,1,0,0,0,27,0,0,0
2024-06-09T21,166,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,0,0,12,0,0,18,0,1,0,0,3,0,6,12,0,0,1,0,0,0,0,0,0,3,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,7,1,0,0,6,0,1,0,0,0,49,0,1,0
2024-06-09T22,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,18,0,0,15,0,0,0,0,3,0,7,7,0,0,2,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,3,0,0,2,0,0,24,0,0,1
2024-06-09T23,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,1,9,0,0,0,0,1,0,4,6,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,8,1,0,0,2,0,0,1,0,0,34,0,1,0
