bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MO,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SK,TG,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-04-28T13,176,3,0,0,0,1,0,0,0,0,2,0,0,1,0,3,2,0,0,0,20,0,0,0,0,19,0,0,0,2,0,1,0,0,7,7,0,3,0,0,0,0,17,0,1,0,0,0,9,3,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,1,0,0,2,0,3,1,0,6,8,0,0,12,0,0,3,0,1,22,0,0,0,0,0
2024-04-28T14,171,1,0,0,1,1,0,1,0,1,2,0,0,1,0,2,1,0,0,0,13,0,0,0,0,21,0,0,0,0,0,1,0,1,17,9,0,3,0,0,0,0,3,1,1,0,0,0,10,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,2,0,1,0,0,0,0,0,1,0,0,2,8,0,0,18,0,2,5,0,0,25,0,0,0,0,0
2024-04-28T15,204,2,0,0,0,1,0,1,0,1,1,0,0,0,1,2,1,0,0,0,13,0,0,0,0,32,0,0,0,0,0,3,0,0,31,9,0,2,0,0,0,0,0,1,1,0,0,0,22,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,2,0,1,1,0,0,1,0,1,0,0,2,8,1,0,23,0,0,2,0,0,25,0,0,0,0,1
2024-04-28T16,240,2,0,0,0,2,0,0,0,0,2,0,0,1,0,1,2,0,2,0,8,0,0,0,0,35,0,0,0,0,0,5,0,0,20,10,0,3,0,0,2,0,5,1,1,0,0,0,21,6,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,2,1,0,0,1,0,1,1,0,6,5,0,0,13,0,0,3,0,0,67,0,0,0,0,0
2024-04-28T17,245,2,0,0,0,1,0,1,0,1,2,0,0,1,0,4,3,0,1,0,6,0,0,0,0,32,2,0,0,0,0,9,0,0,8,10,0,8,0,0,3,0,3,0,0,0,0,0,10,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,1,0,0,8,6,1,0,6,0,1,0,0,1,94,0,0,0,0,1
2024-04-28T18,217,1,0,0,0,1,0,0,0,1,1,0,0,2,0,2,2,0,0,0,3,0,0,0,0,30,2,0,0,0,0,5,0,1,4,11,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,0,0,0,6,1,0,0,3,0,0,0,0,4,6,0,0,11,0,1,1,0,2,83,0,0,0,0,0
2024-04-28T19,164,1,0,0,0,1,0,1,0,2,3,0,0,1,0,4,4,0,0,0,6,0,0,0,0,20,0,0,0,0,0,7,0,1,7,9,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,3,0,0,0,1,0,0,0,0,4,5,0,0,10,0,1,0,0,0,40,0,0,0,0,0
2024-04-28T20,147,1,0,0,0,1,0,0,0,2,1,0,0,0,0,4,3,0,0,0,6,0,0,0,0,25,0,0,0,0,0,2,0,0,4,11,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,5,0,0,3,0,0,2,0,0,38,0,0,0,0,0
2024-04-28T21,155,1,0,0,0,1,0,0,0,1,2,0,0,1,0,8,3,0,0,0,5,0,0,0,0,17,0,0,0,0,0,1,0,0,5,16,0,1,0,0,0,0,0,1,0,0,0,0,18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,2,3,0,0,0,0,1,0,0,3,6,0,0,2,0,0,0,0,0,43,0,0,0,1,0
2024-04-28T22,134,2,0,0,0,1,0,0,0,1,3,0,0,1,0,6,1,0,0,0,16,0,0,0,0,10,0,0,0,0,0,1,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,1,43,0,0,0,1,1
