bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BJ,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,MG,MK,MM,MN,MO,MT,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SK,SN,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-31T12,109,2,0,0,0,0,1,2,0,0,2,1,0,0,1,0,0,3,2,0,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,0,2,0,3,0,0,0,5,0,0,9,0,7,0,0,21,0,0,0,1,2,0
2024-03-31T13,92,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,1,2,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,9,0,7,0,0,21,0,0,0,0,0,0
2024-03-31T14,159,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,7,4,0,0,0,2,0,0,0,0,0,1,0,0,1,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,5,0,0,11,0,7,0,0,69,0,0,0,0,0,0
2024-03-31T15,193,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,6,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,13,9,0,0,0,1,0,0,1,0,1,1,2,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,0,3,0,0,0,0,1,0,5,0,0,1,5,0,1,11,0,4,0,0,78,0,0,0,0,0,0
2024-03-31T16,211,3,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,3,0,0,0,0,8,0,0,0,26,0,0,0,0,0,0,1,0,0,14,5,0,0,0,0,0,0,1,0,1,1,2,0,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,1,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,5,0,1,9,1,6,0,0,88,0,0,0,1,0,0
2024-03-31T17,189,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,4,0,0,0,0,11,0,0,0,24,0,0,0,0,0,0,2,0,1,7,8,0,0,0,0,0,0,0,0,1,0,1,0,0,12,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,1,0,1,0,0,1,0,1,0,0,1,0,3,0,0,2,6,0,0,10,1,1,0,0,65,0,0,0,1,2,0
2024-03-31T18,207,2,0,0,0,0,1,1,0,0,3,1,0,0,2,0,0,8,1,0,0,0,9,0,0,0,29,0,0,0,0,0,0,3,0,1,7,12,0,0,0,0,0,0,1,0,0,0,1,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,1,3,0,1,0,0,3,0,1,0,0,5,5,0,0,12,1,1,0,0,70,0,0,0,0,0,0
2024-03-31T19,154,2,1,0,0,0,2,1,0,0,1,0,0,0,2,0,0,8,1,0,0,0,5,0,0,0,27,2,0,0,0,0,0,2,0,1,7,11,0,0,0,1,0,0,1,1,0,3,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,0,1,0,0,0,0,2,0,3,1,0,2,5,0,0,3,1,1,0,0,27,0,0,0,0,0,0
2024-03-31T20,163,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,5,1,0,0,0,6,0,0,0,32,0,0,0,0,0,0,3,0,2,7,13,0,0,0,1,0,0,1,0,0,2,1,0,0,12,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,3,5,0,0,5,1,1,0,0,26,0,0,0,2,1,0
2024-03-31T21,133,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,5,2,0,0,0,6,0,0,0,17,0,0,0,0,0,0,2,0,1,7,13,0,0,0,1,0,0,2,0,0,0,0,0,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,2,2,0,0,0,29,0,0,1,1,0,0
