bucket,total,--,AE,AF,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SY,SZ,TG,TH,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2024-04-21T12,129,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,2,2,0,0,0,18,0,0,15,0,0,0,0,2,0,1,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,2,0,5,0,0,0,6,0,1,0,10,0,2,5,0,0,20,0,0,0,1,0,1
2024-04-21T13,171,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,18,0,0,21,0,0,0,0,0,0,1,2,7,9,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,0,1,0,1,0,0,0,3,0,2,0,0,3,6,0,1,0,14,0,1,2,0,1,49,0,0,0,0,0,1
2024-04-21T14,168,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,20,0,0,22,0,0,0,0,0,0,2,0,14,7,0,0,0,5,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,1,0,1,0,1,0,0,0,2,0,2,1,0,0,5,0,1,0,15,0,0,4,0,1,29,0,0,0,0,0,0
2024-04-21T15,194,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,0,4,2,0,1,0,21,0,0,28,0,0,0,0,0,0,3,0,24,8,0,0,0,5,0,1,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,5,0,2,0,0,3,5,0,1,0,11,0,1,3,0,0,20,0,0,0,1,0,0
2024-04-21T16,206,0,0,0,0,0,0,1,0,1,0,2,1,0,0,2,0,3,2,0,1,0,9,0,0,37,0,0,0,0,0,0,5,0,24,9,0,0,0,3,0,1,0,0,0,3,0,0,0,20,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,3,10,0,1,0,8,0,0,3,0,0,28,0,0,0,1,0,0
2024-04-21T17,202,0,0,0,0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,0,0,0,7,1,1,36,0,0,0,0,0,0,6,0,14,9,0,0,0,3,0,1,0,0,0,0,0,0,0,17,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,11,0,0,1,0,1,1,1,0,0,0,4,0,4,0,0,5,14,0,1,0,9,0,1,0,0,0,30,0,0,0,1,0,0
2024-04-21T18,181,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,5,2,0,0,0,5,0,0,35,1,0,0,0,0,0,4,2,11,10,0,0,0,1,0,1,0,4,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,1,0,3,0,0,0,2,0,0,0,0,2,9,0,1,0,12,0,1,0,0,0,36,0,0,0,1,0,0
2024-04-21T19,171,3,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,9,4,0,0,0,8,0,0,27,1,0,0,0,0,0,2,0,15,11,0,0,0,2,0,1,0,1,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,2,6,0,1,0,6,0,0,0,0,0,24,0,0,0,0,0,0
2024-04-21T20,166,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,5,5,0,0,0,10,0,0,30,0,0,0,0,0,0,1,0,12,10,0,0,0,1,0,1,0,0,0,0,0,0,0,21,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,1,0,0,0,2,0,2,0,0,0,6,0,1,0,7,0,1,0,0,1,25,0,0,1,0,0,0
2024-04-21T21,182,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,8,2,0,0,0,10,0,0,18,0,0,0,0,0,0,1,0,6,11,0,0,0,2,0,0,0,0,0,0,0,1,0,22,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,9,0,1,0,8,0,1,0,0,1,49,0,0,0,0,0,0
