bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GQ,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MO,MU,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SY,TH,TL,TR,TW,UA,US,UY,UZ,VI,VN,ZA,ZM
2024-01-07T00,123,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,9,1,0,0,0,0,1,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,6,0,0,1,1,1,0,0,46,0,0,0,2,0,0
2024-01-07T01,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,6,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,0,0,1,0,1,0,0,40,0,0,0,0,0,0
2024-01-07T02,109,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,8,0,0,2,0,2,0,0,47,0,0,0,0,0,0
2024-01-07T03,93,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,7,0,0,2,0,0,0,0,40,1,0,0,0,0,0
2024-01-07T04,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,27,1,0,0,0,0,0
2024-01-07T05,104,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,0,45,0,0,0,1,1,0
2024-01-07T06,101,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,8,0,0,4,0,0,4,0,27,0,0,0,0,0,0
2024-01-07T07,102,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,1,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,3,0,0,2,2,34,0,0,0,1,0,0
2024-01-07T08,100,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,18,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0,3,0,1,2,0,24,0,0,0,0,0,0
2024-01-07T09,109,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,0,0,0,0,13,0,0,0,0,0,1,0,1,6,2,0,0,1,0,0,0,1,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,4,7,0,0,7,0,1,2,0,20,0,0,0,0,0,0
