bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BI,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-02-25T13,116,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,9,0,0,0,15,0,0,0,0,2,0,1,0,7,7,0,3,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,7,0,0,0,10,0,0,0,3,0,0,20,0,0,0,0,0
2024-02-25T14,147,2,1,0,0,0,1,0,0,0,1,2,0,0,3,0,4,1,0,8,0,0,0,15,0,0,0,0,0,0,2,0,11,5,0,5,0,2,0,10,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,1,0,2,0,2,0,0,1,7,0,0,0,12,0,0,0,4,0,0,24,0,0,0,0,0
2024-02-25T15,180,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,9,0,0,12,0,0,1,19,0,0,0,0,0,0,3,0,10,6,0,2,0,2,0,0,1,2,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,2,0,2,0,3,0,0,4,8,0,0,0,14,0,1,0,4,0,1,31,0,0,0,1,0
2024-02-25T16,221,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,5,0,0,18,0,0,0,31,0,0,0,0,0,0,3,1,19,9,0,1,0,2,0,8,0,2,0,0,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,5,8,0,0,0,12,0,1,0,3,0,0,36,0,0,0,1,0
2024-02-25T17,202,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,1,0,20,0,0,0,34,2,0,0,0,0,0,4,0,20,8,0,0,0,0,0,0,0,1,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,4,0,2,0,3,0,1,0,0,5,7,0,0,0,7,0,0,0,1,0,0,28,0,0,0,1,0
2024-02-25T18,207,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,5,1,0,20,0,0,0,45,0,0,0,0,0,0,8,0,17,8,0,0,0,0,0,0,0,1,0,0,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,3,0,2,0,1,2,0,0,0,8,7,0,0,0,4,0,0,0,1,0,0,32,0,0,0,0,0
2024-02-25T19,216,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6,2,0,20,0,0,0,34,0,0,0,0,0,0,3,0,12,17,0,2,0,0,0,2,0,1,0,0,19,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,2,0,0,0,5,0,1,0,3,0,8,0,0,7,7,0,0,0,8,0,0,0,2,0,1,25,0,0,0,0,0
2024-02-25T20,218,2,0,0,0,0,1,0,1,0,0,0,0,0,5,0,6,3,0,21,0,0,0,22,0,0,0,0,0,0,3,1,14,19,0,2,0,0,0,2,0,1,0,2,18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,6,0,1,0,2,0,2,0,0,3,7,0,0,0,7,0,1,0,1,0,3,42,0,0,0,0,0
2024-02-25T21,178,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,5,0,18,0,0,0,19,0,0,0,0,0,0,3,0,10,15,0,0,0,1,0,6,0,1,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,2,6,0,0,0,6,0,0,0,0,0,0,36,0,0,0,1,0
2024-02-25T22,149,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,3,0,11,0,0,0,14,0,0,0,0,0,0,5,1,10,16,0,0,0,0,0,0,0,0,0,0,23,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,3,0,2,0,1,0,0,0,5,0,0,0,4,0,0,0,0,0,0,33,0,0,0,0,0
