bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BH,BI,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KN,KR,KZ,LA,LK,LT,LV,MA,MD,MK,MM,MN,MO,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SA,SE,SG,SK,SV,SY,SZ,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZM
2024-03-17T00,128,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,3,0,0,6,0,0,0,0,9,0,0,2,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,0,0,0,0,3,0,1,0,0,0,45,0,5,0,0
2024-03-17T01,96,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,5,0,0,0,0,7,0,0,0,0,0,1,0,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,0,3,0,0,1,0,0,31,0,1,1,0
2024-03-17T02,77,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,1,0,0,2,0,0,27,0,0,0,0
2024-03-17T03,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,3,0,0,1,0,0,34,0,0,0,0
2024-03-17T04,81,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0
2024-03-17T05,66,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,7,0,0,0,0,1,0,0,3,0,0,20,0,0,0,0
2024-03-17T06,87,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,4,1,0,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,1,3,2,0,34,0,1,0,0
2024-03-17T07,95,4,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,0,0,0,0,2,0,1,2,0,0,36,0,1,0,0
2024-03-17T08,86,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,0,8,0,1,0,0,0,1,0,1,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,2,0,1,2,1,0,21,0,0,0,0
2024-03-17T09,76,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,14,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,5,0,0,0,0,2,0,0,3,0,0,14,0,0,0,0
2024-03-17T10,99,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,14,0,0,0,0,14,0,0,0,1,0,3,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,1,3,0,0,18,0,0,1,0
2024-03-17T11,102,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,18,0,0,0,0,15,0,0,0,0,0,1,0,0,2,8,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,6,0,0,0,0,2,0,2,1,0,0,16,0,0,0,0
2024-03-17T12,112,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,14,0,0,0,0,17,1,0,0,0,0,2,0,0,4,5,0,0,2,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,3,0,0,1,6,0,0,0,0,3,0,1,7,0,0,18,0,0,0,0
2024-03-17T13,136,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,13,0,0,0,0,16,0,0,0,0,0,0,0,1,12,6,0,0,3,0,0,1,0,2,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,2,0,1,0,1,2,0,0,1,5,1,0,0,0,7,1,2,8,0,0,17,0,0,0,0
2024-03-17T14,189,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,3,0,0,13,0,0,0,0,19,0,0,0,0,0,2,1,0,14,5,1,0,2,1,0,1,0,2,0,0,0,1,0,13,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,1,0,2,1,4,0,0,0,3,3,0,0,1,7,0,0,0,0,10,1,3,12,1,0,27,0,2,0,0
2024-03-17T15,194,4,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,10,3,0,0,15,0,0,0,1,24,0,0,0,0,0,1,0,1,11,7,0,0,3,0,0,0,1,1,1,0,0,1,0,16,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,1,5,0,0,0,2,3,0,0,2,9,0,0,0,0,15,0,2,4,1,0,18,0,2,0,0
2024-03-17T16,173,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,0,0,0,0,25,0,0,0,0,0,3,0,0,20,11,1,0,0,0,0,1,0,1,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,3,0,4,0,2,0,2,1,0,0,3,8,0,0,0,0,8,0,0,3,0,0,26,0,0,1,0
2024-03-17T17,202,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,5,0,0,0,0,35,0,0,0,0,0,8,0,2,27,12,0,0,1,0,0,2,0,1,0,0,0,0,0,19,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,1,0,2,0,1,0,3,0,0,0,2,7,0,0,0,0,10,0,0,0,0,0,35,0,0,0,0
2024-03-17T18,217,4,0,0,0,2,1,1,0,1,0,0,0,0,3,0,0,8,2,0,0,8,0,0,0,0,32,0,0,0,0,0,6,0,0,15,10,0,0,0,0,0,1,0,0,0,0,0,0,0,22,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,2,0,6,0,1,0,1,2,0,0,6,5,0,0,0,0,5,0,1,0,0,0,42,0,0,0,0
2024-03-17T19,202,1,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,7,2,0,0,5,0,0,0,0,36,1,0,0,0,0,6,0,1,14,13,0,0,2,0,0,1,0,0,0,1,1,0,1,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,1,0,7,0,1,0,1,2,0,0,8,6,0,0,0,0,3,0,1,0,2,0,36,0,0,1,0
2024-03-17T20,157,1,0,0,0,1,1,0,0,4,0,0,0,0,2,0,0,6,4,0,0,4,0,0,0,0,25,1,0,0,0,0,3,0,0,9,9,0,0,0,0,0,1,0,0,0,0,1,0,1,15,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,2,0,1,0,3,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,37,0,0,0,0
