bucket,total,--,AD,AE,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GM,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SE,SG,SK,SN,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-12T01,136,2,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,8,0,0,0,21,0,0,0,13,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,0,0,1,0,0,53,0,0,0,0,0,0
2024-03-12T02,103,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,45,0,0,0,0,1,0
2024-03-12T03,96,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,41,0,0,0,1,0,0
2024-03-12T04,136,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,1,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,2,0,0,1,0,0,74,0,0,0,0,0,0
2024-03-12T05,150,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,7,0,0,0,1,0,1,2,0,0,74,0,0,0,1,0,0
2024-03-12T06,104,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,10,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,7,0,0,0,1,0,1,2,0,0,35,0,0,0,1,0,0
2024-03-12T07,91,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,6,0,0,1,1,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,1,0,1,2,0,0,18,0,0,0,1,0,0
2024-03-12T08,110,3,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,10,0,0,0,11,1,0,0,0,0,0,1,0,0,3,6,0,0,1,0,0,0,0,0,0,5,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,4,0,0,1,1,0,31,0,0,0,1,0,0
2024-03-12T09,152,4,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,18,0,0,0,0,0,0,1,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,1,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0,1,2,0,0,11,0,0,0,3,0,0,1,0,0,60,0,0,0,1,1,0
2024-03-12T10,109,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,12,1,0,0,0,0,0,2,0,0,2,9,0,0,1,0,0,0,0,3,0,7,0,0,1,2,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,7,0,0,0,3,0,0,1,0,0,24,0,0,0,0,0,0
2024-03-12T11,106,2,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,11,2,0,0,0,0,0,3,0,0,4,8,0,0,1,0,0,1,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,0,0,0,1,0,0,6,0,0,0,1,0,1,8,0,0,25,0,0,0,1,0,0
2024-03-12T12,172,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,15,1,0,0,9,0,0,0,0,0,0,2,0,0,7,8,0,0,3,0,0,0,0,0,0,1,0,0,1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,2,10,0,0,0,8,0,0,3,0,0,68,0,0,0,1,0,0
2024-03-12T13,132,2,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,11,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,2,0,1,6,0,0,0,10,0,0,7,0,0,38,0,0,0,0,0,0
2024-03-12T14,140,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,5,2,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,4,9,0,0,3,0,0,0,0,4,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0,0,5,2,0,1,5,0,0,0,14,0,1,8,1,0,35,0,0,0,2,0,0
2024-03-12T15,126,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,1,0,0,4,0,0,0,16,0,0,0,0,0,0,1,0,1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,3,3,0,1,6,0,0,0,13,0,0,6,0,0,32,0,0,0,0,0,0
2024-03-12T16,205,2,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,2,2,0,0,17,1,0,0,23,0,0,0,0,0,0,5,0,0,12,9,0,0,0,0,0,0,0,19,0,0,0,0,1,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,1,0,2,0,0,2,2,0,3,8,0,0,0,10,0,0,4,0,0,48,1,0,0,1,0,0
2024-03-12T17,214,1,0,0,0,1,1,1,0,0,5,0,0,1,0,0,0,1,3,0,0,17,1,0,0,27,0,0,0,0,0,0,1,0,0,14,6,0,0,1,0,3,0,0,0,0,3,0,0,0,16,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,2,0,0,0,0,0,0,3,2,0,2,1,0,3,7,0,0,0,9,0,2,4,0,0,45,2,0,0,2,1,0
2024-03-12T18,217,4,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,6,3,0,0,23,1,0,0,32,0,0,0,0,0,0,1,0,0,7,14,0,0,0,0,0,0,0,9,0,1,0,0,1,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,0,0,0,0,0,0,1,2,0,1,1,0,5,6,0,0,0,8,0,1,2,0,0,29,0,0,0,0,0,0
2024-03-12T19,261,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,6,1,1,0,23,0,0,0,43,0,0,0,0,0,0,2,0,0,12,19,0,0,1,0,0,0,0,1,0,0,0,0,0,15,17,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,18,4,0,0,0,0,0,0,3,0,0,1,3,0,2,7,0,0,0,7,0,0,1,0,0,62,0,0,0,0,1,0
2024-03-12T20,231,3,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,6,1,0,0,20,0,0,0,25,0,0,0,0,0,0,2,0,0,8,18,0,0,2,0,1,0,0,4,0,0,0,0,0,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,1,0,3,1,0,3,6,0,0,0,6,0,2,0,0,0,58,0,0,0,0,0,0
2024-03-12T21,150,2,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,5,0,0,0,17,0,0,0,15,1,0,0,0,0,0,1,0,0,5,15,0,0,1,0,0,1,0,2,0,1,0,0,2,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,1,0,1,3,0,1,12,0,0,0,4,0,0,1,0,0,28,0,0,0,0,0,0
2024-03-12T22,129,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,7,1,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,1,1,0,2,5,0,0,0,2,0,0,0,0,0,41,0,0,0,1,0,0
2024-03-12T23,137,4,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,11,1,0,0,10,0,0,0,8,0,0,0,0,0,0,1,0,0,2,7,0,0,3,0,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,1,0,0,0,0,1,7,0,0,0,2,0,0,1,0,0,46,0,0,0,1,0,0
2024-03-13T00,128,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,4,0,1,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,7,0,1,0,1,0,0,0,0,0,55,0,0,0,0,0,0
2024-03-13T01,116,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,1,0,0,6,0,0,0,10,0,0,0,2,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,1,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,5,0,1,7,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0
2024-03-13T02,79,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,11,1,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
2024-03-13T03,81,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,40,0,0,0,0,0,0
2024-03-13T04,73,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,1,0,0,3,0,0,25,0,0,0,0,0,1
2024-03-13T05,81,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,2,0,0,26,0,0,0,0,0,1
2024-03-13T06,80,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,6,0,0,0,2,0,0,3,0,0,25,0,0,0,0,0,1
2024-03-13T07,87,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,11,0,0,0,0,0,1,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,1,0,0,1,0,0,30,0,0,0,0,0,0
2024-03-13T08,109,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0,0,12,0,0,0,12,0,0,0,0,0,1,1,0,0,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,1,7,0,0,0,4,0,0,1,0,0,30,0,0,0,0,0,0
2024-03-13T09,104,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,8,0,0,0,23,0,0,0,0,0,0,0,0,0,3,4,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,4,0,0,6,0,0,0,7,0,0,2,0,0,23,0,0,0,1,0,0
2024-03-13T10,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,0,10,0,0,0,0,0,0,1,0,0,4,4,0,0,1,0,0,0,0,18,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,1,5,0,0,0,2,0,0,2,0,0,13,0,0,0,0,0,0
2024-03-13T11,103,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,1,0,2,7,0,0,0,5,0,0,4,0,0,22,0,0,0,0,0,0
2024-03-13T12,114,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,6,1,0,0,0,0,0,0,0,0,2,5,0,0,3,0,0,1,0,0,0,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,1,0,0,1,4,0,2,14,0,0,0,7,0,0,6,0,0,19,0,0,0,1,0,0
2024-03-13T13,125,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,4,7,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,2,0,0,3,3,0,0,6,1,0,0,12,0,0,6,0,0,28,0,0,0,3,0,0
2024-03-13T14,136,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,3,1,0,0,19,0,0,0,14,0,0,0,0,0,0,1,0,0,1,9,0,0,1,0,0,1,0,0,0,1,0,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,1,0,0,3,0,0,0,0,2,3,0,3,8,0,0,0,9,0,0,7,0,0,18,0,1,0,1,0,0
2024-03-13T15,148,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,18,1,0,0,14,0,0,0,0,0,0,0,0,3,12,5,0,0,2,0,0,2,0,0,0,3,0,1,0,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,1,1,0,2,5,0,0,0,18,0,0,5,0,0,23,0,1,0,0,1,0
2024-03-13T16,161,4,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,4,0,0,0,7,1,0,0,18,0,0,0,0,0,0,1,0,2,6,7,0,0,1,0,0,2,0,0,0,1,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,1,2,0,1,5,0,0,0,24,0,0,6,0,0,37,0,0,0,0,0,0
2024-03-13T17,144,4,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,4,0,0,0,23,0,0,0,0,0,0,2,0,0,11,8,0,0,1,0,0,1,0,0,0,2,0,0,0,15,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,1,0,1,5,0,0,0,19,0,0,3,0,0,19,0,0,0,0,0,0
2024-03-13T18,163,5,0,0,0,0,2,1,0,0,3,1,0,1,0,0,0,3,0,0,0,3,0,0,0,31,0,0,0,0,0,0,4,0,0,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,2,0,4,5,1,0,0,20,0,1,1,0,0,20,0,0,0,0,0,0
2024-03-13T19,210,5,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,4,3,0,0,4,0,0,0,39,0,0,0,0,0,0,8,0,1,11,22,0,0,1,0,0,1,0,0,0,0,0,0,0,13,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,6,0,0,1,1,0,6,6,0,0,0,15,0,2,0,1,0,29,0,0,0,3,0,0
2024-03-13T20,187,4,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,2,1,0,0,2,0,0,0,23,0,0,0,0,0,0,4,0,0,17,22,0,1,1,0,0,0,0,0,0,1,0,0,2,22,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,6,0,0,2,1,0,2,6,0,0,0,7,0,1,0,0,0,28,0,0,0,3,0,0
2024-03-13T21,184,3,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,5,3,0,0,4,0,0,0,25,0,0,0,0,0,0,2,0,0,10,9,0,1,0,0,0,1,0,0,0,0,0,0,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,3,1,0,1,2,0,2,14,0,0,0,4,0,0,1,1,0,47,0,0,0,2,0,0
2024-03-13T22,159,3,0,0,0,0,0,19,1,0,1,2,0,0,0,0,0,4,3,0,0,5,0,0,0,15,0,0,0,0,0,0,1,0,0,4,8,0,0,1,0,0,0,0,0,1,2,0,0,2,15,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,1,0,0,1,0,2,5,0,0,0,4,0,0,0,0,0,40,0,0,0,0,2,0
2024-03-13T23,148,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,15,1,0,0,5,0,0,0,16,0,0,0,0,0,0,3,0,0,3,10,0,0,0,0,0,0,1,0,0,3,1,0,0,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,1,5,0,0,1,4,0,1,0,0,0,41,0,0,0,1,0,0
2024-03-14T00,136,3,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,11,2,0,0,7,0,0,0,9,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,1,0,0,5,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,2,0,2,1,0,2,5,0,0,1,1,0,1,0,0,0,49,0,0,0,1,0,0
2024-03-14T01,133,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,0,0,26,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,6,0,0,1,3,0,1,0,0,0,47,0,0,0,1,1,0
2024-03-14T02,121,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,18,0,0,0,9,0,0,1,9,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,1,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,7,0,0,0,2,0,0,0,1,1,36,0,0,0,1,1,1
2024-03-14T03,103,5,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,3,1,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,0,1,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,37,0,0,0,0,0,1
2024-03-14T04,91,3,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,5,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,1,0,0,0,2,0,1,0,0,8,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,1,1,1,23,0,0,0,0,0,1
2024-03-14T05,85,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,3,0,0,0,0,1,29,0,0,0,0,0,1
2024-03-14T06,65,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,4,0,0,1,0,0,18,0,0,0,0,0,0
2024-03-14T07,73,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,13,0,0,0,7,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,5,0,0,0,2,0,0,0,0,0,26,0,0,0,1,0,0
2024-03-14T08,70,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0
2024-03-14T09,81,4,0,0,0,0,1,2,0,0,1,1,0,2,0,0,0,1,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,1,0,6,0,0,0,1,0,1,3,1,0,21,0,0,0,0,0,0
2024-03-14T10,97,5,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,2,1,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0,1,0,0,22,1,0,0,0,0,0
2024-03-14T11,94,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,7,1,0,0,2,0,0,2,1,0,25,1,0,0,0,0,0
2024-03-14T12,115,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,3,0,2,17,1,0,0,9,0,0,4,0,0,25,0,0,0,1,0,0
2024-03-14T13,99,4,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,3,7,0,0,13,0,0,0,10,0,0,5,0,0,17,0,0,0,0,1,0
2024-03-14T14,117,2,0,0,0,0,0,1,1,0,1,1,0,6,0,0,0,0,0,0,0,4,1,0,0,12,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,1,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,3,3,0,1,9,0,0,0,8,0,0,3,1,0,24,0,1,0,0,0,0
