bucket,total,--,AD,AE,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GM,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SE,SG,SK,SN,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-10T13,138,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,2,2,0,0,13,0,0,0,12,0,0,0,0,0,0,1,0,0,3,5,0,0,3,0,0,0,0,4,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,3,2,0,0,1,0,3,6,0,0,0,7,0,1,5,0,0,32,0,0,0,1,0,0
2024-03-10T14,162,1,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,4,3,0,0,15,0,0,0,18,0,0,0,0,2,0,0,0,1,1,8,0,0,4,0,0,0,1,0,0,2,0,0,0,8,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,4,2,0,3,2,0,2,6,0,0,0,7,0,1,4,0,0,33,0,0,0,0,0,0
2024-03-10T15,175,2,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0,8,4,0,0,15,0,0,0,17,0,0,0,0,0,0,2,0,2,6,8,0,0,1,0,0,0,0,0,1,2,0,0,0,20,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,3,1,0,1,1,0,4,8,0,0,0,7,0,1,2,0,0,34,0,0,0,1,1,0
2024-03-10T16,227,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,8,4,0,0,4,0,0,0,25,1,0,0,0,0,0,2,0,1,14,13,0,0,0,0,1,1,0,19,0,1,0,1,0,24,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,0,0,2,1,0,3,12,0,0,0,10,0,0,4,0,0,58,0,0,0,0,0,0
2024-03-10T17,219,1,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,6,2,0,0,8,0,0,0,34,0,0,0,0,0,0,5,0,0,15,13,0,0,1,0,0,0,0,22,0,1,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,3,1,0,8,7,0,0,0,10,0,1,1,1,0,41,0,0,0,0,0,0
2024-03-10T18,249,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,5,2,0,0,8,0,0,0,40,0,0,0,0,0,0,6,0,1,16,13,0,0,2,0,0,0,0,17,0,0,0,3,0,26,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,2,2,0,6,7,0,0,0,11,0,2,2,0,0,49,0,0,0,2,0,0
2024-03-10T19,262,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,17,1,0,0,6,0,0,0,41,1,0,0,0,0,0,4,0,0,11,20,0,0,3,0,0,0,0,0,1,0,0,3,0,19,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,2,0,2,2,0,3,7,0,0,0,2,0,2,0,0,0,69,0,0,0,2,1,0
2024-03-10T20,188,2,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,10,1,0,0,3,0,0,0,30,1,0,0,0,0,0,4,0,0,5,14,0,0,1,0,0,1,0,0,1,0,0,1,0,19,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,2,0,0,0,0,3,1,0,2,2,0,2,9,0,0,0,5,0,2,0,0,0,30,0,0,0,1,1,0
2024-03-10T21,165,2,0,0,0,0,1,1,0,0,1,1,0,3,0,0,0,9,1,0,0,3,0,0,0,26,0,0,0,0,0,0,2,0,1,4,9,0,0,0,0,0,0,0,5,1,0,0,0,0,24,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,2,2,0,4,0,0,1,6,0,0,0,3,0,1,0,0,0,31,0,0,0,1,1,0
2024-03-10T22,132,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,6,2,0,0,4,0,0,0,19,0,0,0,0,0,0,1,0,1,2,11,0,0,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,2,0,0,1,0,0,29,0,0,0,0,0,0
2024-03-10T23,138,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,2,0,0,4,1,0,0,9,0,0,0,0,0,1,3,0,0,1,4,0,0,1,0,0,0,1,21,0,1,0,1,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,7,0,0,0,2,0,0,0,0,0,40,0,0,0,2,0,0
2024-03-11T00,114,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,1,0,0,5,3,0,0,6,0,0,0,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,0,0,3,0,0,0,0,0,37,0,0,0,3,0,0
2024-03-11T01,154,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,9,0,0,0,4,1,1,0,5,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,13,0,1,0,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,17,0,0,0,2,0,0,0,0,0,56,0,0,0,3,0,0
2024-03-11T02,130,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,12,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,57,0,0,0,0,0,0
2024-03-11T03,124,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,6,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,5,0,0,0,0,0,1,1,0,0,79,0,0,0,0,0,0
2024-03-11T04,89,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,7,0,0,0,12,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,42,0,0,0,1,0,0
