bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GF,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,LA,LK,LT,LU,LV,MD,ME,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,US,UZ,VE,VN,ZA
2024-05-05T16,189,1,0,0,1,2,0,0,0,0,1,1,1,1,1,2,0,1,0,5,1,0,33,0,0,4,0,21,5,0,0,0,1,0,0,1,1,0,0,22,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,7,0,0,0,3,7,0,9,0,0,3,0,37,0,0,0,0
2024-05-05T17,172,1,0,0,1,1,0,0,0,1,0,0,1,0,5,2,0,0,0,6,1,0,33,0,0,3,0,10,8,0,0,4,1,0,0,0,1,0,0,20,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,1,0,2,0,1,0,4,6,0,13,0,2,3,0,29,0,0,0,0
2024-05-05T18,164,1,0,0,0,3,0,0,0,2,2,0,1,0,3,2,0,0,0,6,1,0,34,1,1,3,1,7,12,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,3,0,1,0,4,0,0,0,0,6,0,10,0,2,0,0,29,0,0,0,0
2024-05-05T19,180,1,0,0,0,1,0,0,0,2,1,0,0,0,6,1,0,0,0,5,0,0,26,1,1,4,3,11,11,0,0,2,1,0,0,0,0,0,0,17,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,12,0,0,0,0,0,1,2,0,0,0,3,0,1,0,2,6,3,12,0,2,0,0,36,0,0,0,0
2024-05-05T20,157,1,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,0,0,13,0,0,21,0,0,1,2,8,12,0,0,2,0,0,0,0,6,0,0,19,8,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,5,0,8,0,0,0,0,24,0,0,0,0
2024-05-05T21,175,1,0,0,0,1,0,0,0,0,1,0,1,0,5,2,0,0,0,19,1,0,16,0,0,0,1,4,11,0,0,4,0,0,0,0,0,0,0,20,12,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,2,0,3,0,2,0,3,0,1,7,0,10,0,1,1,0,31,0,0,1,0
2024-05-05T22,128,1,0,2,0,2,0,0,0,0,1,0,1,0,6,0,0,0,0,7,1,0,11,0,0,1,0,4,10,0,0,3,0,0,0,0,0,0,0,11,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,0,1,0,2,0,3,0,0,7,0,2,0,0,1,0,34,0,0,1,0
2024-05-05T23,80,3,0,0,0,1,0,0,0,0,1,0,2,0,9,0,0,0,0,4,0,0,8,0,0,0,0,1,8,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,6,0,2,0,0,0,0,19,0,0,0,0
2024-05-06T00,102,1,0,1,0,1,0,0,0,0,1,0,0,0,15,0,0,1,0,7,1,0,6,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12,0,3,0,0,0,0,36,0,0,0,0
2024-05-06T01,107,2,0,1,0,1,0,0,0,0,1,0,1,0,12,0,0,1,0,3,0,1,5,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,2,0,0,1,1,49,0,0,0,0
2024-05-06T02,141,2,0,0,0,2,0,0,1,0,1,0,1,0,4,0,0,0,0,9,0,1,7,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,1,0,75,0,0,0,0
2024-05-06T03,143,2,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,5,0,0,8,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,3,0,1,0,0,84,0,0,0,0
2024-05-06T04,87,1,0,0,0,2,0,0,0,1,1,0,0,0,7,0,0,0,0,5,0,0,6,0,0,0,0,0,5,0,0,1,0,0,0,0,4,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,6,0,1,0,0,0,0,30,0,0,0,0
2024-05-06T05,122,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,0,10,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,0,1,0,0,1,0,32,0,0,0,0
