bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MT,MU,MX,MY,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SZ,TH,TL,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-04-14T14,170,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,5,2,1,0,0,19,0,0,0,0,19,0,0,0,0,2,1,20,7,0,0,0,2,0,0,0,0,0,1,6,0,0,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,2,0,3,0,0,2,0,2,0,5,6,0,0,1,4,0,1,2,0,0,27,0,0,0,0
2024-04-14T15,149,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,8,0,1,0,0,15,0,0,0,0,13,0,0,0,0,5,0,10,9,0,0,0,1,0,0,0,1,0,0,0,1,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,1,0,2,0,5,6,0,0,1,7,0,1,4,0,0,26,0,0,0,0
2024-04-14T16,171,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,1,1,0,8,0,0,0,1,24,0,0,0,0,8,0,26,9,0,0,0,1,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,1,0,2,0,1,0,4,9,0,0,1,7,0,0,2,0,0,22,0,0,0,0
2024-04-14T17,173,5,0,0,0,0,1,0,0,4,3,0,0,0,0,0,2,2,0,0,0,3,0,0,0,1,32,0,0,0,0,5,0,11,6,0,0,0,1,0,0,1,0,0,0,1,0,0,23,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0,0,1,1,2,1,0,2,0,5,0,7,6,0,0,1,5,0,0,1,0,0,25,1,0,0,0
2024-04-14T18,182,4,0,0,2,0,1,0,0,3,1,0,1,0,1,0,5,1,0,0,0,6,0,0,0,0,40,0,0,0,0,6,0,11,12,0,0,0,1,0,0,0,0,0,0,1,1,0,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,1,0,0,0,0,3,1,0,2,0,2,0,5,5,0,0,1,6,0,2,1,0,0,22,0,0,0,0
2024-04-14T19,153,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,28,2,0,0,0,5,1,7,14,0,0,0,3,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,0,2,1,0,2,0,1,0,4,5,0,0,1,6,0,2,0,0,0,24,0,0,0,0
2024-04-14T20,132,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,1,1,0,0,0,2,2,0,0,0,19,0,0,0,0,4,0,6,12,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,2,0,1,0,1,0,2,5,0,0,1,4,0,2,0,0,0,22,0,0,0,0
2024-04-14T21,134,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,3,0,0,0,10,0,0,0,0,15,0,0,0,0,1,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0,1,4,0,2,0,0,0,36,0,0,0,0
2024-04-14T22,93,1,0,0,0,0,1,0,0,0,3,0,2,0,0,0,8,0,0,1,0,3,0,0,0,0,8,0,0,0,1,3,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,1,5,0,0,1,2,0,0,0,0,0,33,0,0,0,0
2024-04-14T23,111,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,6,0,0,1,0,8,1,0,0,0,5,0,0,0,0,1,0,2,6,0,1,0,1,0,0,0,0,0,0,4,0,0,3,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,6,0,0,1,1,0,0,0,0,0,35,0,0,0,0
2024-04-15T00,84,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,1,0,0,0,7,0,2,0,0,3,0,0,0,0,1,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,38,0,0,0,0
