bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BS,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JO,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LI,LK,LT,LU,LV,LY,MA,MC,MD,ME,MK,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SR,SV,SY,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-03-11,1415,11,1,0,0,12,5,14,0,0,0,1,5,1,0,0,10,0,1,2,66,4,0,7,1,69,5,0,0,0,1,173,3,0,0,1,0,2,27,0,0,81,58,1,0,3,0,88,0,0,0,3,4,1,1,13,0,5,0,66,1,0,19,1,1,24,0,0,0,1,1,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,76,1,0,2,0,0,5,1,13,0,0,6,0,0,0,4,1,29,1,0,1,0,13,20,0,0,0,0,0,36,0,0,4,0,25,0,1,0,359,0,0,0,7,0,2,0,0
2023-03-12,1433,11,1,0,0,5,3,12,0,0,0,1,9,1,0,0,17,0,0,1,79,7,0,5,0,81,2,0,1,0,1,191,3,0,0,0,0,0,21,0,2,94,68,0,0,1,0,35,0,0,0,2,7,8,0,19,0,2,0,73,0,0,16,0,0,14,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,7,7,0,0,0,0,0,0,65,3,0,7,1,1,8,1,16,0,0,6,0,0,0,9,0,22,0,0,1,0,14,20,0,0,0,0,0,24,0,0,8,0,26,0,2,0,368,0,0,5,9,0,1,0,0
2023-03-13,1493,12,0,0,0,8,5,11,0,0,0,1,7,0,1,1,18,0,0,1,68,3,1,3,1,130,1,0,0,0,3,179,5,0,0,0,1,1,17,0,0,70,72,0,0,3,0,28,0,0,0,1,10,2,0,20,0,3,0,84,0,0,24,0,5,19,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,9,8,0,0,1,0,1,0,78,4,1,10,2,0,6,4,7,0,0,4,0,0,0,5,1,19,2,0,1,1,15,21,0,0,0,0,0,51,0,0,7,0,23,1,6,0,364,0,1,2,8,0,3,0,1
2023-03-14,1900,15,1,1,1,16,3,24,0,1,0,2,5,0,4,0,12,0,0,0,73,6,1,6,0,118,3,1,0,0,0,213,4,1,2,0,0,1,17,1,2,87,96,1,0,1,0,24,0,1,0,0,7,27,0,39,0,1,0,66,0,0,65,0,2,25,1,0,1,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,1,0,0,0,0,50,3,0,6,0,1,7,0,10,3,0,5,1,0,0,7,0,29,1,1,0,0,14,20,0,2,0,0,0,34,0,0,6,0,26,0,3,0,648,0,0,2,13,0,5,0,1
2023-03-15,1359,18,0,0,0,8,6,9,0,0,0,4,5,2,0,0,13,0,0,0,66,5,0,4,1,101,2,0,0,0,5,196,4,1,0,0,0,1,22,0,8,58,68,0,1,0,0,17,0,0,0,1,10,3,1,21,1,2,0,63,0,0,49,1,0,19,0,0,0,0,0,0,0,1,1,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,48,1,0,4,1,0,5,0,6,0,0,5,0,1,0,10,1,27,0,0,1,1,12,17,0,1,0,0,0,29,0,0,4,0,24,0,3,0,329,2,2,1,7,0,2,0,0
2023-03-16,1400,14,5,1,0,10,2,13,0,0,0,1,3,1,0,0,13,0,0,1,84,5,0,3,0,67,3,0,0,0,2,194,6,1,0,0,0,0,15,0,2,56,88,1,0,3,0,50,0,0,0,1,3,0,0,7,0,3,0,85,1,0,13,0,4,22,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,13,0,0,0,0,2,0,54,1,2,5,0,0,9,0,9,0,0,1,0,0,0,4,0,19,1,1,1,0,23,24,2,0,0,0,0,29,0,0,7,0,38,0,4,1,341,0,0,0,7,0,1,1,0
2023-03-17,1385,12,1,2,0,8,2,16,0,1,0,2,7,0,0,1,17,0,0,1,64,6,1,2,1,75,2,1,0,0,0,185,3,4,0,2,0,1,27,0,4,60,76,0,0,1,0,23,0,2,0,1,3,1,0,11,0,2,1,70,0,0,18,0,1,20,0,0,1,0,1,0,0,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,61,0,0,9,0,0,9,3,9,0,0,5,0,0,0,5,1,17,2,2,0,1,11,31,4,1,0,0,0,43,0,0,2,0,34,0,3,0,358,1,0,1,12,0,3,0,1
2023-03-18,1341,14,1,1,0,9,4,10,0,0,0,1,6,0,0,0,16,0,0,4,77,8,0,6,0,84,4,1,0,0,0,155,3,0,0,0,0,2,20,0,3,65,60,0,0,3,0,43,0,0,0,1,8,2,2,7,0,3,0,71,0,0,15,0,4,25,0,0,1,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,7,9,0,0,0,0,1,0,72,0,0,10,0,0,13,2,10,0,0,4,0,0,0,6,1,21,1,0,0,0,11,20,0,0,0,0,0,42,0,0,4,0,22,0,5,0,314,0,0,1,9,0,5,1,0
2023-03-19,1490,17,1,0,0,7,1,7,0,0,0,1,10,0,0,1,10,0,0,0,73,10,0,5,0,46,7,2,0,0,1,192,9,0,1,0,1,1,20,1,3,62,70,0,0,2,0,39,0,3,0,1,3,0,2,12,0,6,0,74,0,0,21,0,1,16,0,0,0,0,1,0,0,5,1,2,0,2,0,1,0,0,0,0,1,1,0,0,0,0,11,5,0,0,0,0,2,0,74,3,2,6,0,2,7,0,11,0,1,5,1,0,0,13,0,23,3,1,1,0,26,23,0,0,0,0,0,37,0,1,9,0,25,0,3,0,426,1,1,1,9,1,2,1,0
2023-03-20,1367,14,1,0,0,10,4,6,0,0,0,3,8,1,0,0,6,0,0,1,80,5,0,3,0,72,1,1,0,0,0,182,3,1,1,0,0,0,25,0,1,73,87,1,0,4,0,13,0,1,0,0,3,2,0,19,0,5,0,77,0,0,20,1,0,27,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,63,4,0,1,1,0,5,2,10,0,0,5,2,0,0,8,0,20,1,0,1,0,17,20,3,0,0,0,0,34,0,0,8,0,24,1,4,0,350,0,0,1,2,1,0,0,0
