bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BJ,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CW,CY,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GG,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MR,MT,MU,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SR,SV,SY,SZ,TG,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-05-01,1393,15,0,1,1,0,0,8,3,7,1,0,0,4,0,1,0,0,13,2,74,5,0,5,0,60,1,0,0,0,0,2,196,5,0,0,0,1,0,0,21,0,4,50,87,0,0,0,0,0,3,0,7,0,1,9,3,1,2,16,0,2,0,82,0,0,34,1,0,1,41,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,1,73,1,0,0,0,0,2,2,5,0,0,6,0,0,4,0,22,0,0,0,13,20,0,2,0,0,0,0,0,0,39,0,0,5,2,29,0,3,0,374,0,1,0,8,0,1,0,0
2023-05-02,1307,14,0,1,0,0,0,4,3,7,0,0,2,5,0,1,0,0,16,0,85,8,0,3,0,56,3,0,0,1,0,1,167,3,0,1,0,1,0,0,21,0,2,44,52,0,0,0,0,0,1,0,26,0,0,6,4,9,1,21,0,5,0,64,0,0,31,0,0,0,50,0,0,0,0,1,2,0,3,3,0,0,1,0,0,0,0,0,1,4,7,0,0,1,72,6,0,3,1,0,1,0,7,0,0,2,0,0,3,2,15,0,0,0,9,22,0,2,0,0,1,0,0,0,35,0,0,10,1,35,0,4,0,325,0,0,1,7,0,1,0,0
2023-05-03,1205,15,0,0,0,0,0,3,7,5,0,1,2,5,0,4,0,0,21,0,66,9,0,5,0,44,0,0,0,0,0,4,147,3,0,1,0,0,0,0,22,1,2,50,69,0,0,0,0,0,3,0,23,0,0,0,2,0,2,11,0,1,0,75,0,0,18,0,0,0,35,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,9,0,0,0,79,4,0,1,0,0,2,1,11,0,0,7,0,0,6,1,15,0,0,1,8,19,0,0,0,0,0,0,1,0,44,0,1,5,0,24,0,3,1,290,0,0,0,7,0,2,0,0
2023-05-04,1336,11,0,3,0,0,0,7,3,7,0,0,0,7,0,1,0,0,22,4,80,11,0,6,0,64,0,0,0,0,1,2,161,3,0,2,0,0,0,1,14,1,1,42,79,0,0,0,0,0,2,0,88,0,2,0,2,3,0,9,0,1,0,66,0,0,23,0,0,1,47,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,49,1,0,0,0,1,4,1,10,0,0,7,0,0,5,0,24,0,0,0,9,23,0,3,0,0,0,0,0,0,41,0,0,1,0,29,0,4,0,319,0,1,2,5,0,4,0,0
2023-05-05,1346,15,0,3,0,0,0,7,5,5,0,2,1,5,0,1,0,0,10,0,67,7,0,5,0,58,1,0,0,0,0,0,143,1,0,1,0,0,0,0,19,0,1,56,75,0,0,0,0,0,0,0,22,0,1,1,4,1,2,20,0,3,0,65,0,0,25,0,0,0,56,0,1,0,0,1,4,1,1,1,0,0,3,0,0,1,0,0,0,4,6,0,0,1,80,4,0,0,0,0,6,2,13,0,0,9,0,0,6,0,19,2,0,0,9,27,0,0,1,0,0,0,0,1,40,0,0,6,0,29,0,3,0,366,1,0,1,6,0,3,0,0
2023-05-06,1340,15,0,1,0,0,0,6,3,6,1,0,3,2,0,0,0,0,12,1,55,10,0,5,0,80,3,0,0,0,0,0,154,3,0,0,0,3,0,4,19,0,4,52,56,1,0,0,0,0,1,0,34,0,0,1,9,0,2,11,0,4,0,59,0,0,52,1,0,0,41,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,9,5,0,0,2,82,1,0,1,1,1,5,0,9,0,0,8,0,0,4,0,18,0,0,2,6,29,0,3,1,0,0,0,0,0,51,0,0,3,0,33,1,6,0,330,1,1,1,3,0,2,0,1
2023-05-07,1257,17,0,1,0,0,1,8,2,5,0,1,3,4,0,2,0,1,13,5,69,12,0,3,0,72,2,1,0,0,0,2,144,6,0,1,0,0,1,2,19,0,0,46,54,1,0,0,0,0,2,0,16,0,0,1,4,1,2,10,0,1,0,64,0,0,21,0,0,0,42,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,7,0,0,1,63,1,0,1,1,0,3,0,12,0,0,9,0,0,4,0,23,0,0,1,7,20,0,0,0,0,0,0,0,0,57,0,0,4,0,47,0,8,0,303,0,0,2,10,0,3,0,0
2023-05-08,1377,13,0,0,0,0,0,7,3,4,0,0,0,3,0,0,0,1,10,0,75,9,0,2,0,91,2,0,0,0,0,3,185,1,0,1,0,0,0,2,24,0,1,71,74,0,0,0,0,0,2,0,29,0,3,0,3,2,2,26,0,4,0,74,0,0,31,0,0,0,50,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,73,2,1,0,0,0,5,0,12,0,0,2,3,0,6,0,14,1,0,1,15,23,0,1,0,0,0,0,0,0,43,0,0,6,1,27,0,3,0,305,1,0,1,7,0,1,0,1
2023-05-09,1402,17,0,5,1,0,0,9,3,9,0,1,0,6,0,1,0,1,18,1,62,7,0,2,0,79,2,0,0,0,0,2,174,1,0,1,0,1,1,0,20,0,1,51,67,1,0,0,2,0,0,0,18,1,0,0,5,1,1,11,0,3,0,71,0,0,39,1,0,2,50,0,1,0,1,0,4,0,2,0,0,0,1,0,0,0,0,0,0,8,14,0,0,1,83,4,0,0,0,1,6,0,11,0,0,8,1,1,7,0,21,3,0,1,11,17,0,1,0,0,0,0,0,0,59,0,1,13,0,45,0,4,0,310,0,0,1,8,0,3,1,0
2023-05-10,1467,22,0,0,0,0,0,11,4,7,0,0,1,5,0,1,0,1,15,1,75,11,1,5,0,75,1,0,0,0,0,1,210,4,0,2,1,0,0,0,26,1,2,57,70,0,0,0,1,0,2,0,8,0,0,0,4,0,1,9,1,3,0,71,0,0,41,0,0,0,48,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,14,0,1,1,78,4,0,4,0,0,3,2,12,1,0,4,1,0,6,1,28,0,1,0,12,26,0,2,0,0,0,0,0,0,51,0,0,3,1,28,0,3,0,359,0,0,1,10,0,2,0,0
