bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GM,GR,GT,GY,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LI,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MQ,MT,MU,MW,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SN,SR,SS,SV,SY,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-02-11,1606,19,0,0,0,1,0,8,1,9,0,0,0,0,0,8,0,2,0,1,20,0,1,61,7,0,3,0,111,5,1,0,0,0,190,3,0,0,0,1,0,1,33,0,2,52,56,0,0,0,3,0,0,31,0,1,4,9,11,0,11,0,3,0,71,0,0,27,2,1,4,27,0,2,0,1,1,0,1,1,0,0,0,1,0,0,2,0,1,0,0,6,6,0,0,1,77,2,1,8,0,0,1,7,0,6,0,1,11,0,7,0,26,1,0,0,0,17,20,0,3,0,0,0,0,0,39,0,1,5,0,34,0,1,0,493,0,0,2,14,5,0,0
2023-02-12,1446,14,0,0,1,0,0,3,3,9,0,0,0,0,2,4,0,3,0,0,13,0,0,76,5,0,0,0,103,2,0,0,1,5,178,0,0,0,0,0,0,0,22,0,5,82,71,0,0,0,1,0,0,21,0,0,3,5,2,0,10,0,4,0,97,0,0,18,1,0,2,13,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,6,12,0,0,0,74,1,0,9,0,0,0,8,1,9,0,0,11,1,8,0,21,0,1,0,0,20,20,0,1,1,0,0,1,0,21,0,0,11,0,36,0,1,0,370,0,0,2,6,5,0,3
2023-02-13,1384,11,0,1,0,0,0,7,3,10,0,1,0,0,1,6,0,1,0,0,13,0,5,70,6,0,2,0,106,2,0,0,0,2,220,3,0,1,0,0,3,0,22,0,3,70,72,0,0,0,0,2,0,16,2,0,2,4,0,1,17,0,2,1,75,1,0,15,1,0,0,30,0,0,1,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,5,6,0,0,1,88,3,0,1,0,0,0,4,3,6,0,0,6,1,15,0,18,1,0,1,1,25,13,0,1,0,0,0,0,0,32,0,0,6,0,21,1,2,0,293,0,1,0,7,2,0,0
2023-02-14,1121,9,0,0,0,1,0,4,2,8,1,0,0,0,0,7,0,1,0,0,11,0,0,71,7,1,0,0,66,3,0,0,0,1,181,4,1,1,0,1,1,0,18,0,0,55,56,1,0,0,0,0,0,28,0,0,1,1,0,0,8,0,0,0,61,0,0,7,0,0,0,18,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,61,2,0,1,0,1,0,4,0,4,0,0,4,0,8,0,16,1,0,1,0,9,14,0,0,0,0,0,0,0,24,0,0,7,1,29,0,1,0,278,0,0,1,1,1,0,1
2023-02-15,1300,14,0,1,0,1,0,5,2,4,0,0,2,0,1,5,0,1,0,1,7,0,0,72,7,0,4,0,98,4,0,0,0,2,190,2,0,1,0,0,1,0,20,0,0,69,79,0,0,0,0,2,0,20,0,1,1,4,1,1,13,0,0,0,83,0,0,10,0,0,1,21,0,1,0,0,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,5,2,0,0,0,59,4,1,0,1,0,1,4,1,6,0,0,4,0,11,0,10,1,0,0,1,14,23,0,0,0,0,1,0,0,23,0,0,8,0,34,0,4,0,309,0,0,0,14,0,0,0
2023-02-16,1430,10,0,1,0,0,0,9,2,2,0,1,0,0,0,6,0,0,0,0,15,0,1,78,8,0,1,1,94,6,0,0,0,0,207,4,0,2,0,4,0,1,21,1,3,69,76,0,0,0,1,3,0,91,0,0,3,5,6,0,8,1,1,0,70,0,0,7,1,0,0,22,0,0,0,1,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,4,3,0,0,1,71,8,0,1,0,0,0,5,0,12,1,0,3,0,8,0,20,1,0,0,1,14,17,0,0,0,0,1,0,0,35,0,0,9,3,19,0,5,0,336,0,0,0,1,0,0,1
2023-02-17,1963,14,0,5,0,0,0,13,4,4,0,2,0,0,0,9,0,0,28,0,22,0,1,83,10,0,3,0,91,7,0,0,0,2,200,3,0,1,0,0,0,1,21,0,6,69,94,0,0,0,1,2,0,35,0,0,3,5,31,1,28,0,1,0,60,0,0,77,0,0,1,18,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,7,5,0,0,0,81,5,0,1,0,0,0,5,1,9,1,0,2,1,9,0,15,3,1,0,0,28,18,0,1,0,0,0,0,0,40,0,0,10,0,31,0,3,0,715,2,1,1,4,1,0,0
2023-02-18,1581,9,0,0,0,0,0,8,4,7,0,0,0,0,0,4,0,1,18,2,13,0,0,66,7,0,3,0,82,5,0,0,0,0,186,2,0,0,0,1,1,0,26,0,7,78,84,0,0,0,1,0,0,43,2,0,3,6,4,0,34,0,3,0,78,0,0,70,0,0,0,21,0,1,0,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,72,2,0,1,0,0,1,6,1,9,0,0,6,1,6,0,25,2,0,0,0,12,18,0,2,0,0,0,0,0,23,0,0,8,1,27,0,2,0,450,0,0,1,3,9,0,0
2023-02-19,1626,16,0,0,0,0,0,5,3,5,0,0,0,0,0,6,0,0,0,0,24,0,0,69,6,1,1,0,111,8,0,0,1,1,220,5,0,0,0,0,0,0,30,0,3,78,68,1,0,0,0,1,0,23,0,0,2,5,31,1,6,0,4,1,78,0,0,43,0,0,0,26,1,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,1,7,5,0,0,1,56,3,0,0,0,0,2,5,3,15,1,1,7,1,8,2,24,0,0,0,0,23,26,0,0,0,0,0,0,0,27,0,2,8,0,38,0,0,1,457,0,1,0,6,2,0,0
2023-02-20,1399,10,0,1,0,0,0,9,4,11,1,0,0,0,0,8,0,1,0,1,10,0,1,84,8,0,0,1,93,7,0,0,0,1,212,6,0,1,0,0,3,0,20,1,0,71,64,0,0,1,1,1,0,20,0,0,1,5,2,0,10,0,2,1,69,0,0,14,0,0,0,25,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,11,5,0,1,0,75,6,0,0,0,0,0,10,1,9,0,1,4,0,6,0,19,0,0,0,0,21,14,0,1,0,1,0,1,0,23,0,0,15,0,33,0,2,0,346,0,0,1,7,0,0,0
2023-02-21,1343,13,0,0,0,0,0,10,5,7,0,0,0,0,2,7,0,1,0,0,21,0,0,81,8,0,8,1,99,3,0,0,0,4,190,2,0,1,0,0,1,2,17,0,0,67,67,1,0,0,1,3,0,18,0,0,2,6,0,0,12,0,1,0,61,0,0,27,0,0,1,16,1,2,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,6,10,1,0,0,78,1,0,0,0,0,0,6,1,9,0,0,4,0,3,0,21,1,0,1,0,19,23,0,0,0,0,0,0,0,23,0,0,13,0,31,0,3,0,302,0,0,3,4,3,0,1
2023-02-22,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,3,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0
