bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BN,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MC,MD,MK,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SO,SV,SY,TG,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-11,1647,22,3,0,0,0,7,3,14,1,0,0,1,3,1,0,0,0,0,25,0,0,70,8,0,1,0,75,13,0,0,1,0,172,5,1,1,0,0,0,27,0,2,77,61,0,0,0,1,0,27,0,0,0,1,2,1,1,19,0,3,0,50,1,44,0,0,4,18,0,0,1,0,0,0,3,0,2,0,2,0,0,1,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,81,3,0,6,0,1,8,0,5,1,0,5,0,1,9,1,25,3,0,0,15,24,1,0,0,1,0,0,41,0,0,6,0,22,0,5,0,586,0,0,0,8,3,1,0
2023-04-12,1324,13,3,0,0,0,7,5,7,0,0,0,0,6,1,0,0,0,0,14,1,0,67,4,0,7,1,76,7,0,0,0,5,159,2,1,1,0,0,0,15,0,1,71,89,1,0,0,1,0,19,0,0,0,0,5,4,0,9,0,1,0,53,0,23,0,0,2,14,0,0,0,1,0,0,3,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,3,11,0,0,0,0,0,58,4,0,13,0,0,11,1,9,0,0,6,0,1,5,1,13,2,1,0,13,23,0,1,0,0,0,0,33,0,0,6,0,21,0,3,0,375,0,0,0,5,2,0,0
2023-04-13,1413,18,7,0,0,0,6,4,7,0,0,0,1,8,0,0,0,0,0,7,5,0,90,5,0,7,0,83,8,0,0,0,3,178,3,1,0,0,0,0,19,0,2,75,85,3,0,0,0,0,34,0,0,0,0,2,0,0,14,0,2,0,65,0,25,0,0,5,13,0,0,1,1,0,0,2,0,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,82,2,1,5,0,0,3,1,7,0,0,5,0,1,6,0,22,0,0,0,8,30,1,0,0,0,0,0,41,0,0,9,0,27,0,5,0,340,1,1,0,7,2,1,0
2023-04-14,1261,13,1,0,0,0,5,4,6,0,0,0,0,4,1,0,0,0,1,6,1,0,80,9,0,1,0,70,7,0,0,0,1,178,3,1,0,0,0,0,20,0,1,71,77,2,0,0,0,0,21,0,0,0,0,4,5,0,10,0,3,0,65,0,21,0,1,2,19,0,0,2,0,1,0,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,70,2,0,5,2,0,5,1,13,0,0,4,1,0,5,1,22,0,0,0,10,19,0,0,0,0,0,0,40,1,0,7,0,26,0,3,0,280,0,0,1,3,3,0,0
2023-04-15,1220,14,2,0,0,0,7,4,6,0,1,0,2,6,1,0,0,0,0,12,0,0,60,7,0,5,1,53,4,0,0,0,6,151,3,0,0,0,0,0,27,0,2,56,62,3,0,0,0,0,43,0,0,0,1,3,2,1,14,0,0,0,74,0,19,0,0,1,14,0,0,0,1,1,1,4,3,2,0,4,0,0,1,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,70,2,0,1,0,0,6,2,8,1,0,6,1,0,3,1,23,1,0,0,6,20,0,0,0,0,0,0,30,1,0,6,0,22,0,1,0,307,1,0,1,4,2,0,0
2023-04-16,1363,16,2,0,0,0,6,5,10,0,0,0,1,10,1,0,0,0,0,15,0,0,61,6,0,6,0,60,3,0,0,0,4,181,4,1,0,2,0,0,26,0,3,71,74,0,0,0,1,0,39,0,2,0,3,6,1,2,20,0,3,0,75,0,17,0,0,0,17,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,7,0,0,1,1,0,77,2,1,1,0,1,8,3,9,0,0,3,0,0,2,0,20,0,0,0,19,47,0,0,0,0,0,0,40,1,0,8,0,27,0,3,0,311,0,0,0,5,2,0,0
2023-04-17,1295,15,3,0,0,0,8,4,8,0,1,0,2,4,1,0,0,0,0,14,0,0,59,6,0,4,0,81,2,0,0,1,3,171,1,1,0,0,0,0,20,0,1,61,68,1,0,0,1,0,14,0,1,0,0,3,2,2,14,0,0,0,66,0,19,2,0,0,20,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,66,4,0,2,0,1,2,1,9,0,0,8,0,1,5,1,23,0,1,0,20,22,0,2,0,0,0,0,44,0,0,9,0,24,0,1,0,347,1,2,0,2,1,0,0
2023-04-18,1279,11,2,0,0,0,9,4,5,0,3,0,1,6,2,0,0,0,1,14,5,0,76,7,0,3,0,99,2,0,0,0,3,191,1,2,0,0,1,1,37,1,2,64,61,0,0,0,1,0,25,0,1,0,1,4,2,3,10,0,2,0,71,0,21,0,0,0,15,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,62,1,0,1,0,0,2,0,8,0,0,3,1,0,7,2,18,0,0,0,12,15,0,0,0,0,0,0,28,0,0,8,0,20,1,3,0,298,0,0,1,0,1,0,0
2023-04-19,1226,11,1,0,0,0,4,7,6,0,1,0,1,5,2,0,0,0,0,10,0,0,86,6,0,4,0,69,1,0,0,0,3,166,3,1,1,0,0,1,28,0,1,56,76,1,0,0,1,0,22,0,0,0,1,1,0,0,14,1,3,0,67,0,18,1,0,0,15,0,0,0,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,66,3,0,4,0,0,3,1,2,0,0,1,1,0,5,1,17,1,0,0,9,17,0,1,1,0,0,0,25,0,2,8,0,29,0,2,0,305,0,0,0,4,0,1,0
2023-04-20,1334,11,4,0,0,0,9,6,4,0,1,0,0,5,3,0,0,0,0,18,0,0,103,7,0,7,0,76,1,0,0,0,2,162,2,2,0,0,0,0,13,0,1,59,87,0,0,0,0,0,34,0,3,0,1,5,0,1,15,0,0,0,59,0,19,1,0,0,14,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,0,0,7,11,0,0,0,0,0,68,2,0,0,3,2,5,1,11,0,0,5,0,0,5,1,19,0,0,0,13,29,0,1,0,0,0,0,37,0,0,12,0,31,0,4,0,314,0,1,0,5,3,1,0
