bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BN,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MC,MD,MK,MM,MN,MO,MR,MU,MW,MX,MY,NA,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SV,TG,TH,TJ,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-06-11,1083,17,0,0,6,5,8,0,2,0,4,1,0,0,0,13,0,1,68,6,0,7,0,39,1,0,1,102,0,0,1,0,0,2,0,15,0,3,56,60,0,0,0,0,0,10,2,1,3,0,5,4,0,2,0,58,0,9,0,0,38,0,0,0,0,1,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,4,6,0,0,1,49,2,1,0,1,6,0,8,0,0,4,1,6,1,20,0,1,0,9,24,0,1,0,0,0,41,0,1,6,22,0,7,0,300,0,0,0,4,0,0,0
2023-06-12,1228,17,1,0,9,4,5,0,2,3,4,0,0,0,0,16,0,1,57,5,0,3,0,57,5,0,4,157,1,0,1,1,0,0,0,10,0,0,54,71,0,0,0,2,0,8,0,1,3,7,4,11,0,3,0,67,0,18,0,0,37,0,0,0,0,0,0,3,2,2,0,0,0,1,2,0,0,0,0,0,0,5,7,0,0,0,70,4,1,0,0,14,1,8,0,0,5,1,9,0,18,0,0,1,17,20,0,0,0,0,0,44,0,2,11,17,0,8,0,293,1,0,3,6,3,0,0
2023-06-13,1233,15,1,0,6,7,12,0,1,1,3,2,0,0,0,18,0,0,63,6,1,4,0,91,4,0,5,174,0,0,1,1,0,0,0,16,0,4,42,61,0,0,0,2,1,19,0,2,1,1,2,10,0,3,0,54,1,18,0,1,48,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,5,3,0,0,0,54,4,2,0,0,6,1,3,1,0,6,1,5,0,24,0,0,0,9,21,0,0,0,0,0,38,1,0,6,20,0,6,0,298,2,0,1,6,1,0,0
2023-06-14,1293,14,1,0,4,3,7,0,3,2,5,1,0,0,0,17,0,1,48,6,0,3,0,139,3,0,3,169,0,0,1,1,0,0,0,20,0,2,41,57,0,0,0,0,0,15,2,4,4,5,1,13,0,3,1,50,0,25,1,2,49,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,7,5,0,0,0,55,7,1,0,1,9,1,5,1,0,3,0,7,0,15,2,0,0,13,31,0,1,0,0,0,51,0,0,9,15,0,5,1,306,0,0,0,8,2,0,0
2023-06-15,1350,20,3,0,6,3,4,0,2,1,4,1,0,0,1,14,0,2,64,6,0,4,0,83,1,0,1,140,3,0,1,1,0,2,0,10,0,1,53,63,0,0,0,3,0,75,2,0,3,0,1,11,0,1,0,53,1,11,1,3,48,0,0,1,0,0,0,2,0,0,1,2,1,0,1,0,0,2,0,0,0,6,5,0,0,0,59,3,12,2,0,13,1,8,0,0,5,0,2,0,16,1,0,1,9,31,0,0,0,0,0,56,0,0,6,13,1,8,0,358,0,1,2,10,4,0,0
2023-06-16,1498,15,0,0,5,2,5,0,1,0,7,0,0,0,0,30,0,1,48,3,0,3,0,84,3,0,1,155,1,0,1,1,0,0,1,17,0,3,49,59,0,0,0,3,1,25,0,2,5,22,2,17,0,2,0,59,0,38,1,4,38,0,0,1,1,0,0,3,0,2,0,1,0,0,2,0,0,2,0,0,0,5,6,0,1,0,67,2,7,0,0,7,2,6,0,0,4,0,6,0,17,1,0,0,3,37,0,0,0,0,0,48,0,0,6,21,0,7,0,500,1,0,2,10,5,0,1
2023-06-17,1325,18,2,0,2,4,5,0,1,0,6,0,0,0,0,21,0,1,54,3,0,7,0,101,5,0,1,121,0,0,0,0,0,1,2,11,1,1,43,67,0,0,0,0,0,27,0,1,2,1,3,14,0,0,0,55,0,20,0,1,40,0,0,0,1,1,0,2,0,1,0,0,0,0,2,1,0,1,0,0,0,4,2,0,0,1,54,2,4,0,0,14,0,10,0,0,7,0,6,0,12,0,0,1,3,33,0,4,0,0,1,77,0,0,3,18,1,6,0,400,0,0,2,7,1,0,1
2023-06-18,1219,18,1,0,5,4,4,0,2,3,8,1,0,0,0,11,0,0,63,3,0,9,0,68,0,0,3,136,2,0,0,1,0,2,0,20,0,2,52,65,0,0,1,3,0,11,0,2,4,0,1,16,0,0,0,60,0,20,0,0,30,0,0,1,0,0,0,3,0,0,0,1,0,1,2,0,0,0,0,0,0,6,7,0,0,0,49,4,1,0,1,3,1,7,0,0,3,0,3,0,14,1,0,0,7,28,0,1,0,1,0,59,0,0,9,34,0,11,0,322,0,0,1,5,2,0,0
2023-06-19,1277,19,1,0,8,0,2,0,0,3,4,0,0,0,1,15,0,0,57,4,0,3,0,80,1,0,3,143,2,0,2,0,0,0,0,17,0,5,49,85,0,0,0,1,0,15,0,1,4,6,3,9,0,4,0,54,0,24,0,0,35,1,0,1,0,0,0,2,0,1,0,1,2,0,3,0,0,0,0,1,0,5,0,0,0,1,67,3,0,0,0,2,2,8,0,0,5,0,4,0,22,1,0,1,8,21,1,3,0,0,0,54,0,0,7,24,0,9,0,345,0,0,1,9,2,0,0
2023-06-20,1172,14,3,0,7,6,5,0,0,2,8,2,0,0,0,12,0,0,56,5,0,3,0,67,2,0,3,144,0,0,1,0,0,0,0,15,0,2,52,68,0,0,0,2,0,12,0,2,0,2,2,15,0,2,0,60,0,23,0,0,33,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,14,2,0,0,0,59,2,3,0,0,6,0,7,0,0,6,0,2,0,16,0,0,0,7,17,0,1,0,0,1,50,0,0,10,20,0,9,0,296,1,0,0,5,1,0,0
2023-06-21,1562,11,1,0,3,5,7,0,1,2,5,1,0,0,0,15,0,0,57,3,0,5,0,68,3,0,6,144,2,0,1,0,3,2,1,23,0,1,56,80,0,0,0,3,0,8,0,2,1,27,1,18,0,4,0,48,0,46,0,0,40,0,0,0,0,0,0,3,0,0,1,1,0,1,2,0,0,0,0,1,0,6,3,0,0,0,56,4,5,0,0,6,1,8,0,0,8,1,4,0,27,0,0,0,8,39,0,0,0,0,1,55,0,0,8,17,1,7,0,575,2,1,1,5,0,0,0
2023-06-22,1256,12,7,0,5,1,2,0,1,2,5,1,0,0,0,25,0,0,65,8,0,6,1,57,2,1,3,138,2,0,1,0,0,2,0,13,1,3,51,79,0,0,0,1,0,28,2,1,3,0,1,19,0,3,0,50,0,19,0,0,40,0,0,2,0,0,0,3,0,1,1,1,0,0,2,1,0,0,0,0,0,3,2,0,0,0,55,1,0,0,1,7,1,9,0,0,8,0,5,0,17,0,0,0,5,30,0,0,0,0,0,58,0,0,6,15,1,4,0,352,1,0,1,0,2,0,0
2023-06-23,1266,18,1,1,6,5,11,0,3,1,6,0,0,0,0,17,0,0,45,8,0,3,0,70,3,0,2,136,0,0,0,0,2,1,0,15,0,1,48,59,0,0,0,3,0,12,2,2,2,0,0,15,0,2,0,49,0,15,0,0,38,0,0,2,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,5,5,0,0,0,56,3,0,0,0,6,1,9,0,0,4,0,5,0,16,0,0,0,6,29,0,0,0,0,0,52,0,0,8,15,1,5,0,424,1,0,0,4,0,0,0
2023-06-24,1169,18,1,0,10,3,11,0,2,2,6,2,0,0,0,17,1,0,55,6,0,12,1,80,2,0,1,95,2,0,0,0,2,0,0,7,0,2,45,56,0,0,0,2,1,26,0,0,2,4,2,9,0,3,0,48,0,18,0,1,32,0,0,0,1,0,0,4,0,1,0,1,1,0,2,0,0,0,0,1,1,2,3,0,0,0,45,0,3,0,0,10,1,11,0,0,9,0,5,1,19,0,0,0,4,20,0,0,0,0,1,61,0,0,5,18,0,7,0,330,2,1,2,7,3,0,0
2023-06-25,1200,16,2,0,8,1,12,0,3,3,4,2,0,1,0,24,0,1,64,6,0,9,0,82,1,0,2,117,0,1,0,0,0,2,1,17,2,0,51,45,1,0,0,0,0,14,3,1,6,3,1,15,0,5,0,65,0,26,0,0,33,0,0,1,0,0,0,3,0,0,0,2,0,0,2,1,0,0,0,1,0,7,8,1,0,0,46,1,1,0,0,6,3,6,0,0,6,1,2,0,21,0,0,0,3,30,0,0,0,0,0,42,0,0,5,24,0,7,0,309,0,1,2,7,1,0,0
2023-06-26,1239,15,2,0,3,1,8,0,2,3,4,1,1,0,0,21,0,1,64,9,0,4,1,84,1,0,1,152,1,0,1,0,0,2,0,15,0,5,41,65,1,0,0,2,0,14,2,1,6,2,2,15,0,0,0,57,0,13,1,0,41,0,0,1,0,0,0,3,0,1,0,1,0,2,2,0,0,0,0,0,0,3,0,0,0,0,64,3,1,0,0,10,2,9,0,0,3,0,6,0,23,0,0,2,6,18,0,0,0,0,0,58,0,0,7,25,0,8,1,308,2,0,1,2,2,0,0
2023-06-27,1179,18,3,0,7,1,4,0,0,1,7,2,0,0,0,22,0,1,53,3,0,4,1,98,2,0,3,147,1,0,0,0,0,0,1,14,0,1,61,64,0,0,0,1,1,18,0,2,4,1,1,10,0,2,0,52,1,16,0,1,34,0,0,2,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,52,3,1,0,0,3,1,11,0,0,5,0,4,0,21,3,1,1,2,28,0,1,0,0,0,50,0,1,6,22,0,5,0,263,2,0,0,7,3,0,1
2023-06-28,1360,11,2,0,5,6,6,0,0,0,4,1,0,0,1,19,0,0,61,5,0,15,1,79,1,1,2,156,1,0,1,0,0,2,1,12,0,0,66,70,0,0,0,0,0,15,0,0,4,18,1,13,0,2,0,57,0,20,1,0,30,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,1,1,0,0,0,3,5,0,0,1,58,6,1,0,0,6,1,4,0,0,6,0,5,0,28,0,1,1,9,53,0,0,0,0,0,54,0,0,4,10,0,7,0,389,0,0,1,6,1,0,0
2023-06-29,1280,13,9,0,8,4,4,0,0,0,3,0,0,0,0,20,0,1,71,6,0,5,0,52,2,0,5,133,2,0,1,1,0,1,1,12,0,1,51,69,0,0,0,0,0,41,1,1,1,9,0,11,1,5,0,46,0,18,0,0,38,0,1,2,1,0,0,4,0,1,0,1,0,0,2,0,0,0,1,0,0,6,6,1,0,0,60,2,1,1,1,6,0,11,0,0,5,0,4,0,20,2,0,0,9,25,0,0,0,0,1,51,0,0,7,12,2,10,0,370,0,0,0,6,0,0,1
2023-06-30,1144,16,1,0,10,2,6,0,0,0,4,2,0,0,0,18,0,0,38,4,0,4,0,74,2,0,3,118,0,1,1,1,0,0,2,18,0,1,59,58,0,1,0,1,1,21,0,1,7,1,1,10,0,1,0,53,1,14,0,0,37,0,0,2,0,1,0,1,1,2,0,0,0,0,2,0,0,0,0,1,0,3,4,0,0,1,62,2,1,0,0,7,0,10,0,0,5,0,6,0,18,0,0,0,7,27,0,1,1,0,0,42,0,0,4,19,0,8,1,303,0,0,0,8,0,0,1
