bucket,total,--,AE,AF,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GL,GR,GT,HK,HN,HR,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MG,MK,MM,MN,MO,MR,MU,MW,MX,MY,NA,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SV,SY,TG,TH,TM,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,YE,ZA,ZM,ZW
2023-07-01,1226,8,0,0,0,0,0,9,5,5,0,1,0,4,3,0,0,0,0,16,0,0,63,4,0,7,0,92,5,0,0,0,1,108,0,0,0,0,0,0,18,0,3,47,44,0,0,0,0,0,40,0,0,3,4,0,0,0,10,0,1,0,59,0,32,0,0,5,0,40,2,0,0,1,1,0,1,0,0,1,0,0,1,0,2,1,1,2,0,6,5,0,0,0,0,57,0,0,6,0,0,12,1,6,0,0,5,0,0,0,1,0,26,0,1,1,0,9,22,0,0,0,0,0,54,0,1,4,21,1,9,0,317,0,0,0,0,11,0,0,0,0
2023-07-02,1301,16,2,0,0,0,0,10,4,11,0,1,0,3,7,0,1,0,1,13,0,4,63,5,2,8,1,93,0,0,0,0,1,127,2,1,0,0,2,0,10,1,7,48,51,0,0,0,0,0,30,0,0,1,5,1,1,0,18,0,0,0,48,0,34,0,0,5,0,39,1,0,0,0,3,0,1,0,0,0,0,0,2,1,0,1,0,0,0,2,5,0,0,0,0,46,2,0,18,0,0,7,0,7,0,0,4,1,0,0,2,1,26,1,1,1,0,6,24,0,0,0,1,0,56,0,0,5,32,1,9,0,341,1,0,1,0,8,0,5,1,0
2023-07-03,1344,18,0,0,0,1,0,12,3,6,0,0,0,0,5,0,2,0,0,22,0,0,52,2,2,6,0,129,2,1,0,0,4,134,2,1,1,0,1,0,15,1,3,48,75,0,0,0,0,0,25,0,1,2,9,0,1,0,15,0,2,0,53,0,20,0,0,5,0,33,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,2,4,0,0,0,0,64,3,0,17,0,1,12,1,12,0,0,3,0,0,0,2,0,24,0,0,0,0,11,15,0,1,0,0,0,69,1,0,5,21,1,7,0,331,2,1,2,0,8,1,2,0,0
2023-07-04,1583,10,1,0,0,0,0,8,2,10,1,0,0,0,4,0,3,0,1,12,0,0,65,6,1,6,0,89,2,0,0,0,5,178,3,0,1,0,1,0,23,0,2,61,65,0,0,0,0,0,23,0,1,1,5,16,0,0,21,0,0,0,44,0,54,0,0,1,0,24,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,3,0,0,0,8,8,0,0,0,0,66,3,0,7,0,0,12,0,11,0,0,4,0,0,0,2,0,13,2,0,1,0,7,39,0,0,0,0,0,58,0,0,5,23,0,10,0,531,0,0,0,0,6,0,6,1,1
2023-07-05,1193,11,0,0,0,0,0,6,4,5,0,2,0,1,7,0,4,0,3,10,0,0,56,6,0,3,0,92,0,0,0,0,2,156,0,1,1,0,0,0,13,0,1,50,57,0,0,0,2,0,7,0,1,1,7,0,0,0,11,0,1,0,54,0,25,0,0,0,0,32,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,0,1,0,58,6,0,1,0,3,5,0,10,0,0,4,1,0,0,6,1,16,1,0,0,0,6,19,0,1,0,0,0,44,0,0,4,21,0,7,0,324,0,0,0,0,4,0,3,1,1
2023-07-06,1485,12,4,0,0,0,0,6,2,7,0,0,0,1,5,0,2,0,2,16,0,4,53,6,0,4,0,76,5,0,0,0,3,124,2,1,0,0,2,0,14,0,0,56,85,0,0,0,1,1,68,0,1,0,4,3,0,0,15,5,5,0,51,0,86,0,0,0,0,31,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,1,3,5,0,1,1,0,47,2,0,2,0,0,4,1,7,0,0,6,1,0,0,5,0,15,0,0,0,0,5,30,0,0,0,0,0,54,0,0,4,18,0,8,0,484,0,1,1,0,8,0,1,0,0
2023-07-07,1241,13,1,0,0,0,0,9,6,5,1,1,0,0,5,0,6,0,0,20,0,2,61,5,1,3,0,88,5,0,0,0,2,107,1,0,0,0,0,1,13,0,1,50,55,1,0,0,0,0,81,1,0,1,6,0,1,0,18,0,2,0,43,0,23,0,0,0,0,38,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,9,4,0,0,0,0,57,1,0,1,1,0,7,2,14,0,1,3,0,0,0,6,1,17,1,0,1,0,9,24,0,0,0,0,0,43,0,0,8,21,0,6,1,318,1,0,0,0,2,0,0,0,0
2023-07-08,1143,14,2,0,0,0,0,6,2,7,0,0,0,1,2,0,3,0,0,11,0,1,65,4,0,5,0,54,0,0,0,0,1,121,0,0,0,0,0,2,13,0,3,40,48,0,0,0,0,0,52,0,0,0,4,1,0,0,19,0,2,0,49,0,21,0,0,1,0,34,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,51,2,0,2,0,0,7,0,8,0,0,6,0,0,0,3,0,13,0,0,1,0,8,19,0,2,0,0,0,65,0,1,8,25,1,13,0,306,1,0,0,0,1,0,2,0,0
2023-07-09,1165,15,0,0,0,0,0,8,2,5,0,2,0,1,4,0,1,0,0,14,0,0,63,8,1,4,0,76,0,0,0,0,4,107,1,0,0,1,2,3,17,0,3,35,61,0,0,0,0,0,28,0,1,2,5,0,0,0,18,0,3,0,62,0,19,0,0,0,0,36,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,7,0,0,1,0,51,2,0,1,1,0,3,0,11,0,0,4,0,0,1,3,1,11,0,0,1,0,6,24,0,1,0,0,0,49,0,0,8,18,0,7,0,325,0,0,1,0,4,0,1,0,0
2023-07-10,1138,11,1,0,0,0,0,4,6,6,0,1,0,3,3,0,3,0,0,8,0,0,52,6,0,3,0,79,5,0,0,0,4,120,1,2,0,0,0,0,14,0,2,40,77,0,0,0,1,0,37,0,1,3,5,1,1,0,13,0,0,0,38,0,21,0,0,1,0,38,1,0,0,0,3,0,1,2,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,61,4,0,4,1,0,7,4,15,0,0,7,0,0,0,5,0,16,3,0,0,0,6,20,0,0,0,0,0,62,0,0,6,22,1,8,0,257,1,1,1,0,1,0,0,0,0
2023-07-11,1397,9,1,0,1,0,0,9,8,2,0,2,1,2,4,0,0,0,0,13,0,0,58,4,0,4,0,98,7,0,0,0,0,152,3,0,0,0,0,0,12,2,3,51,70,0,1,0,3,0,21,0,0,3,1,7,0,0,23,0,0,0,49,1,76,1,0,0,0,29,3,0,1,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,60,2,0,1,0,0,4,0,12,0,0,5,0,0,0,3,0,18,0,0,0,0,13,16,0,0,0,0,0,45,0,0,8,18,0,7,1,425,4,0,1,0,4,0,0,0,0
2023-07-12,1198,11,0,0,0,1,0,4,12,8,0,0,0,1,4,0,1,0,0,16,0,0,63,5,0,6,0,83,3,1,0,0,2,132,0,2,0,0,3,0,20,0,4,51,69,0,1,0,2,0,22,0,1,3,4,0,2,0,8,0,1,0,39,0,29,0,0,1,0,27,2,0,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,5,3,0,0,1,0,60,1,0,1,0,0,5,0,8,0,0,3,0,0,0,3,0,18,1,0,1,0,8,25,0,1,0,0,0,40,0,0,5,19,0,5,1,322,2,0,0,0,5,0,2,1,0
2023-07-13,1277,13,3,0,0,0,0,2,3,6,0,1,1,1,5,0,4,0,1,13,0,1,50,4,0,4,0,55,4,0,0,0,0,131,3,1,0,0,1,0,15,0,1,50,82,0,0,0,3,0,85,0,2,0,2,1,1,0,9,1,1,0,45,0,20,1,0,0,0,21,2,0,1,0,2,0,1,1,1,0,0,0,2,1,0,1,0,0,0,7,3,0,0,2,0,57,1,0,1,0,1,3,1,8,0,0,6,0,0,0,3,1,13,2,0,0,0,13,43,0,0,0,0,0,55,0,0,8,16,0,5,0,360,0,1,0,0,6,1,0,1,0
2023-07-14,1116,17,2,0,0,0,0,10,2,5,0,0,0,2,7,0,1,0,1,17,0,0,41,4,0,3,0,59,1,0,0,0,0,113,0,1,0,2,1,1,13,1,1,39,54,2,0,0,5,0,29,0,2,2,6,0,0,0,14,0,1,0,51,0,20,0,0,1,0,24,2,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,2,0,0,2,0,66,2,1,3,0,0,7,0,9,0,0,3,0,0,0,1,0,12,1,0,0,0,5,23,1,0,0,0,0,44,0,0,6,30,0,5,0,316,2,0,2,0,5,0,1,0,0
2023-07-15,1119,14,0,0,0,0,1,7,3,4,0,0,0,1,3,0,1,0,0,17,0,0,58,7,0,6,1,85,9,0,0,1,4,105,2,0,0,1,1,0,9,0,2,45,43,0,0,0,2,0,22,0,0,0,3,2,0,0,12,0,2,0,48,0,10,0,0,0,0,29,1,0,2,1,2,1,1,1,0,0,0,0,2,0,0,1,0,0,0,2,5,0,0,0,0,59,1,1,1,0,2,3,0,13,0,0,2,1,0,0,5,0,17,2,0,1,0,9,16,0,0,0,0,0,49,0,0,9,14,0,3,0,325,0,0,2,0,2,0,1,1,1
2023-07-16,1745,21,1,0,0,0,0,14,7,4,1,0,0,1,5,0,1,0,0,21,1,4,73,10,0,7,0,113,1,0,0,0,4,149,1,2,0,0,0,1,9,2,4,51,57,1,1,0,0,1,23,0,0,2,12,11,0,0,36,0,4,0,44,0,90,1,0,0,0,31,1,1,1,0,3,0,1,1,0,2,0,0,2,0,1,0,0,0,1,5,10,0,0,0,0,56,0,0,1,0,0,9,1,8,0,0,5,1,0,0,6,0,24,5,1,1,1,4,44,0,0,0,1,0,55,0,2,8,20,0,6,1,617,1,0,2,0,13,0,1,0,0
2023-07-17,1641,19,0,0,0,0,0,7,4,7,0,0,0,1,5,0,1,0,0,20,0,1,60,4,0,0,0,98,1,0,1,0,0,158,3,1,0,1,1,0,12,0,2,53,74,0,0,0,3,0,31,1,2,1,6,9,0,0,22,0,0,0,42,0,90,1,0,0,0,30,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,65,2,0,4,0,0,4,1,10,0,0,7,0,0,0,6,0,23,4,0,1,0,6,49,0,0,0,0,0,52,0,0,5,15,1,5,0,596,1,1,1,0,1,0,0,0,0
2023-07-18,1592,19,2,0,0,0,0,11,3,3,0,0,0,1,4,0,0,0,2,21,0,1,57,6,0,1,0,89,1,0,0,0,0,158,1,1,0,0,1,0,12,0,2,48,61,0,0,0,4,0,25,0,2,2,4,18,0,0,23,0,0,0,43,0,73,0,1,0,0,35,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,59,5,0,0,0,0,3,0,10,0,0,7,0,1,0,6,0,14,0,0,1,0,10,39,0,0,0,0,0,40,0,1,4,28,1,4,1,600,2,0,0,0,5,0,3,0,0
2023-07-19,1414,14,2,0,0,0,0,4,3,6,0,1,0,2,3,0,1,0,1,9,0,1,51,5,0,2,0,75,1,0,0,0,0,163,2,1,0,0,2,1,12,1,4,47,56,0,0,0,1,0,17,0,1,1,4,15,0,0,6,0,2,0,47,0,38,0,0,0,0,35,3,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,54,3,0,1,0,1,2,0,6,0,0,3,0,0,0,6,3,14,0,0,1,0,7,47,0,1,0,0,1,37,0,1,3,22,0,4,0,538,0,1,0,0,4,0,2,1,0
2023-07-20,1470,22,4,1,0,0,0,3,0,2,1,2,0,4,6,0,1,0,0,17,0,0,58,4,1,7,0,91,5,0,0,0,2,132,2,1,0,0,0,0,15,0,3,50,78,1,0,0,2,0,64,0,1,0,3,8,2,0,16,0,1,0,48,0,30,1,0,1,0,27,0,0,0,0,3,0,1,2,0,0,0,1,0,1,0,2,0,0,0,4,8,0,0,2,0,63,4,0,4,0,2,10,0,8,0,0,5,1,0,0,3,0,23,0,1,0,0,11,33,0,0,0,0,0,37,0,0,4,22,2,4,1,476,2,1,1,1,7,0,2,0,1
2023-07-21,1381,11,0,0,0,1,0,3,1,7,1,1,0,1,6,1,0,0,0,11,0,0,47,6,0,0,0,77,5,1,0,0,2,116,2,0,0,0,1,0,21,1,2,51,54,2,0,0,1,0,40,0,0,3,4,4,0,0,14,0,2,0,42,0,47,1,0,2,0,16,2,0,0,2,0,1,1,2,0,0,1,0,1,0,0,1,0,0,0,6,5,1,0,1,0,59,2,1,12,0,0,9,1,10,0,0,8,1,0,0,4,0,17,0,0,1,0,2,27,0,0,0,0,0,72,1,0,1,22,0,7,0,478,1,1,0,0,8,0,3,1,0
2023-07-22,1351,16,2,0,0,0,0,9,1,6,0,1,0,3,6,0,1,0,1,25,0,1,66,5,0,7,0,82,5,0,0,0,2,99,1,0,0,0,1,0,24,1,2,48,51,0,0,1,0,0,42,0,0,2,6,0,0,0,24,1,2,0,41,1,16,4,0,1,0,24,1,2,1,0,2,0,1,1,0,0,0,0,0,2,1,4,0,1,0,6,9,0,0,0,1,53,1,0,17,1,0,11,2,13,0,0,3,0,1,0,4,0,18,0,0,0,0,6,19,0,0,0,0,0,57,1,0,4,30,0,6,0,426,1,0,0,0,9,0,4,0,1
