bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RE,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-07-30T13,111,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,6,0,0,0,0,0,13,0,0,0,0,0,1,0,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,0,2,0,4,0,0,1,5,0,12,0,0,4,0,24,0,0,0,1,0,0
2023-07-30T14,128,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,18,0,0,0,0,0,1,0,11,9,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,2,0,3,0,1,2,0,3,0,0,0,5,0,15,0,0,5,0,20,0,0,0,0,0,0
2023-07-30T15,137,2,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,17,0,0,0,0,0,2,0,12,10,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,2,0,0,1,0,4,0,0,0,0,5,0,0,0,5,0,16,0,0,5,2,22,0,0,0,0,0,0
2023-07-30T16,144,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,12,0,0,0,0,0,22,0,0,0,0,0,6,0,10,10,0,0,0,0,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,6,0,13,0,0,3,1,18,0,0,0,0,0,0
2023-07-30T17,162,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,15,0,0,0,0,0,33,0,0,0,0,0,5,1,10,10,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,2,0,0,0,0,5,0,0,0,5,0,12,0,0,1,1,24,0,0,0,0,0,0
2023-07-30T18,170,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,7,1,1,0,10,0,0,0,0,0,35,0,0,0,0,0,3,0,8,12,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,2,0,1,0,3,0,0,3,5,0,10,0,0,0,0,30,0,0,0,0,0,0
2023-07-30T19,160,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,1,1,0,15,0,0,0,0,0,22,2,0,0,0,0,2,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,2,1,0,0,0,5,0,0,2,5,0,6,0,0,0,1,25,0,0,0,0,0,0
2023-07-30T20,142,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,8,3,0,0,15,0,0,0,0,0,25,0,0,0,0,0,3,0,7,8,0,0,1,0,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,0,2,0,0,0,1,25,0,0,0,1,0,0
2023-07-30T21,107,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,7,1,0,0,13,0,0,0,0,1,10,0,0,0,0,0,2,1,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,6,0,1,0,0,0,0,19,0,0,0,0,0,0
2023-07-30T22,96,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0,12,0,0,0,0,0,5,1,0,0,0,0,1,1,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,6,0,1,0,0,0,0,23,0,0,0,0,0,0
