bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-12-17T13,120,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,1,0,0,0,19,0,0,0,0,0,2,1,3,7,0,0,0,0,2,0,0,1,0,0,3,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,0,2,0,3,0,0,0,1,0,2,0,0,5,0,11,0,0,4,0,0,16,0,0,0,1,0
2023-12-17T14,101,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,7,7,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,0,1,0,0,0,1,0,4,0,1,5,0,10,0,0,2,1,0,13,0,0,0,0,0
2023-12-17T15,118,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,5,0,0,0,0,22,0,0,0,0,0,1,0,12,6,0,0,0,0,0,0,0,0,0,1,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,0,0,0,6,0,2,5,0,5,0,1,3,0,0,14,0,0,0,0,0
2023-12-17T16,144,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,1,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0,0,0,7,0,1,0,2,0,3,0,4,5,0,6,0,1,1,0,0,27,0,0,0,0,0
2023-12-17T17,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,5,0,0,0,0,30,0,0,0,0,0,4,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,1,0,2,0,3,0,8,5,0,6,0,0,1,0,0,21,0,0,0,0,0
2023-12-17T18,174,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,9,2,0,0,0,9,0,0,0,0,30,1,0,0,0,0,5,2,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,0,3,0,1,0,1,0,3,0,5,5,1,8,0,0,2,0,0,29,0,0,0,0,0
2023-12-17T19,191,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9,3,0,0,0,9,0,0,0,0,26,1,0,0,0,0,4,0,11,12,0,0,0,0,2,0,0,1,0,0,2,0,1,12,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0,0,1,0,4,0,1,0,3,0,3,1,2,5,2,4,1,0,0,0,0,34,0,0,0,2,0
2023-12-17T20,173,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,6,6,0,0,0,11,0,0,0,0,27,2,0,0,0,0,4,0,10,16,2,0,0,0,2,0,0,1,0,1,2,0,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,0,3,0,0,0,2,0,2,0,2,5,1,5,1,0,0,0,0,22,0,0,0,2,0
2023-12-17T21,137,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6,3,0,0,0,3,0,0,0,0,25,0,0,0,0,0,1,0,6,9,0,0,1,0,1,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,1,0,0,1,1,0,4,0,1,0,0,0,1,0,1,6,0,1,0,0,0,0,0,29,0,0,0,1,0
2023-12-17T22,151,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,0,1,0,20,0,0,0,0,18,0,0,0,0,0,2,0,4,12,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,1,0,0,0,3,1,1,5,0,1,0,1,0,1,0,40,0,0,0,0,0
