bucket,total,--,AD,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GE,GM,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,SN,SV,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-10-08T00,105,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,8,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,2,0,0,0,41,0,0,0,0,0,0
2023-10-08T01,81,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,1,0
2023-10-08T02,102,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,48,0,0,0,1,1,0
2023-10-08T03,97,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,50,0,0,0,1,0,0
2023-10-08T04,95,3,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,8,1,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,5,0,0,0,1,0,0,0,38,0,0,1,0,0,0
2023-10-08T05,82,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,0,0,0,7,0,0,0,3,1,0,0,0,1,1,0,0,0,3,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,0,0,0,1,0,1,0,25,0,0,0,0,0,0
2023-10-08T06,80,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,4,0,0,0,2,0,0,0,5,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,5,0,0,0,4,0,0,0,24,0,0,0,0,1,0
2023-10-08T07,94,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,8,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,1,0,0,0,2,0,3,5,0,0,0,0,7,0,0,0,3,0,0,0,24,0,0,1,0,0,0
2023-10-08T08,103,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,4,0,0,0,9,0,0,0,0,0,2,0,1,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,1,2,0,0,1,0,0,0,2,0,3,5,0,0,0,0,5,0,0,0,5,0,0,0,19,0,0,0,0,0,0
2023-10-08T09,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0,8,0,0,0,0,0,4,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,5,0,0,0,0,8,0,0,0,2,0,0,0,19,0,0,0,2,0,0
