bucket,total,--,AE,AL,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FR,GB,GE,GH,GQ,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MR,MW,MX,MY,NE,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,XK,ZA
2023-08-13T00,91,3,0,0,0,2,1,0,0,0,0,0,0,1,0,5,1,0,2,0,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,1,2,0,0,25,0,0,0,0,0
2023-08-13T01,84,1,0,0,0,1,0,0,0,0,1,0,0,4,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,25,0,0,0,0,0
2023-08-13T02,120,3,0,0,0,1,0,1,0,0,1,0,0,3,0,5,0,0,0,0,3,1,0,0,1,6,1,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,5,0,0,0,0,0,1,3,0,0,59,0,0,0,0,0
2023-08-13T03,73,2,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,3,0,0,33,0,0,0,0,0
2023-08-13T04,88,2,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,1,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,4,1,0,28,0,0,0,0,1
2023-08-13T05,82,5,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,18,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,2,0,0,26,0,0,1,0,1
2023-08-13T06,84,4,0,0,0,0,1,1,1,0,0,0,0,3,0,3,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,4,0,0,5,0,0,17,0,0,1,0,0
2023-08-13T07,76,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,0,0,2,0,0,3,0,0,22,0,0,0,0,0
2023-08-13T08,99,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,7,1,0,0,3,0,0,5,0,0,18,0,0,0,0,0
2023-08-13T09,109,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17,0,0,0,0,19,1,0,0,0,0,0,3,0,0,0,6,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,7,1,0,0,4,0,0,2,0,0,19,0,0,0,0,0
2023-08-13T10,97,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0,0,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,1,6,0,0,0,1,0,1,4,0,0,24,0,0,0,0,1
2023-08-13T11,95,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,15,1,0,0,0,0,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,6,0,0,0,4,0,0,6,2,0,13,0,0,0,0,0
2023-08-13T12,136,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,5,0,0,2,1,0,41,0,0,1,0,0
2023-08-13T13,122,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,6,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,0,2,0,0,0,0,1,0,2,0,0,0,3,7,1,0,0,11,0,0,6,1,0,19,0,0,0,0,0
2023-08-13T14,137,2,0,0,0,1,1,0,0,0,0,0,1,4,0,3,1,0,0,0,12,1,1,0,0,18,0,0,0,0,0,0,4,0,0,0,10,7,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,12,0,0,4,0,0,20,0,0,0,0,1
2023-08-13T15,163,4,0,0,0,0,1,0,0,0,0,1,0,3,0,4,1,0,1,0,14,0,1,0,0,23,0,0,0,0,2,0,4,0,0,0,5,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,2,0,0,1,0,4,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,14,0,0,2,0,0,34,0,0,0,0,0
2023-08-13T16,154,3,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,8,0,0,0,0,19,0,0,0,0,1,0,4,0,1,0,9,6,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,7,5,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,1,0,3,0,0,0,0,1,0,3,0,0,0,0,8,0,0,0,15,0,0,3,1,0,31,0,0,0,0,0
2023-08-13T17,152,4,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,7,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,9,0,0,0,10,0,1,1,0,0,33,0,0,0,0,0
2023-08-13T18,155,4,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,6,0,0,0,0,27,2,0,0,0,0,0,2,0,0,0,9,13,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,8,0,0,0,8,0,2,1,0,0,20,0,0,1,0,0
2023-08-13T19,143,3,0,0,0,1,0,0,1,0,2,0,0,4,0,4,1,0,0,0,2,1,0,0,0,21,1,0,0,0,0,0,2,0,0,0,4,13,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,10,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,7,0,1,1,0,0,32,0,0,0,0,1
2023-08-13T20,150,4,0,0,0,1,0,0,0,0,1,0,0,4,0,7,0,0,0,0,6,1,0,0,1,27,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,9,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,2,0,3,3,0,0,35,0,0,0,0,0
2023-08-13T21,118,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,5,0,0,1,0,0,28,0,0,0,0,1
