bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GM,GP,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MK,MM,MN,MU,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-10-16T03,73,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,6,0,0,1,0,0,0,2,0,0,0,27,0,0,0,0,0,0
2023-10-16T04,63,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,6,0,0,2,0,0,0,1,0,0,0,17,0,0,0,0,0,0
2023-10-16T05,76,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,6,0,0,1,0,1,0,2,0,0,0,24,0,0,0,0,0,0
2023-10-16T06,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,1,0,0,0,32,0,0,0,1,0,0
2023-10-16T07,79,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,6,0,0,1,0,2,0,1,0,1,0,24,0,0,0,1,0,0
2023-10-16T08,77,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,10,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,3,0,1,0,2,0,1,0,19,0,0,0,0,0,0
2023-10-16T09,106,6,0,0,1,1,1,0,0,0,2,0,0,0,2,0,0,0,4,0,0,1,0,9,0,0,0,0,4,0,1,0,0,0,1,0,1,3,7,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,6,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,2,0,3,0,0,0,7,0,0,1,0,1,0,4,1,0,0,19,0,0,0,0,1,0
2023-10-16T10,101,4,0,0,0,1,2,0,0,0,2,0,0,0,3,0,0,0,4,1,0,0,0,9,0,0,0,0,5,0,1,0,0,0,4,0,1,2,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,4,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,8,0,0,1,0,0,0,2,0,0,0,18,0,0,0,0,0,0
2023-10-16T11,85,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,1,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,0,2,0,6,0,0,0,19,0,0,0,0,0,0
2023-10-16T12,101,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,1,0,0,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,4,0,0,1,6,0,0,13,0,2,0,4,0,0,0,19,0,0,0,0,0,0
