bucket,total,--,AE,AM,AR,AT,AU,AW,BA,BB,BD,BE,BG,BH,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MR,MT,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RU,RW,SA,SC,SD,SE,SG,SI,SK,SO,TH,TJ,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-09-17T00,99,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,6,0,0,0,1,0,0,0,1,0,0,32,0,0,0,0,0,0,0
2023-09-17T01,87,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,7,0,0,0,1,0,0,1,2,0,0,27,0,0,1,0,0,0,0
2023-09-17T02,81,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,29,0,0,1,1,0,0,0
2023-09-17T03,79,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,4,0,0,0,1,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,2,0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,30,0,1,0,0,0,0,0
2023-09-17T04,76,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,2,1,0,27,0,0,0,0,0,0,0
2023-09-17T05,78,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,2,0,0,24,0,0,0,1,0,0,0
2023-09-17T06,82,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,7,0,0,22,0,0,0,0,0,0,0
2023-09-17T07,82,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,1,0,0,0,8,0,0,0,0,0,7,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,0,0,0,1,0,0,0,4,0,0,20,0,0,0,0,0,0,0
2023-09-17T08,88,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,7,0,0,0,3,0,0,0,4,0,0,22,0,0,0,0,1,0,0
2023-09-17T09,97,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,4,0,0,16,0,0,0,1,0,0,0
2023-09-17T10,85,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,2,0,0,15,0,0,0,2,0,0,0
2023-09-17T11,102,4,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,6,6,0,0,0,0,0,0,1,0,0,0,3,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,4,0,2,0,0,1,1,0,0,0,0,7,0,0,0,5,0,0,0,6,1,0,14,0,0,0,0,0,0,0
2023-09-17T12,125,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,4,0,1,0,0,0,20,0,0,0,0,0,0,2,0,0,14,2,0,0,0,0,3,0,2,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,6,0,0,0,11,0,0,0,3,1,0,19,0,0,0,0,0,0,0
2023-09-17T13,131,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,4,2,0,0,0,0,10,0,0,0,0,0,0,1,0,0,9,5,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,4,0,4,0,2,0,0,1,0,0,0,0,0,6,0,0,0,16,0,0,0,7,0,0,17,0,0,0,1,0,0,0
2023-09-17T14,135,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,2,0,0,14,8,0,0,0,0,5,0,0,0,0,0,1,0,0,6,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,5,1,0,15,0,0,0,0,0,0,0
2023-09-17T15,151,1,0,0,0,1,0,0,0,0,0,0,1,0,5,2,6,0,0,1,0,4,0,0,0,0,1,16,0,0,1,0,0,0,3,0,2,12,10,0,0,0,0,3,0,1,0,0,0,1,0,0,15,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,4,0,1,0,0,1,0,1,0,0,2,5,0,0,0,11,0,0,0,2,1,0,22,0,0,0,0,0,0,0
2023-09-17T16,157,2,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,3,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,12,11,0,0,0,1,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,4,0,1,0,0,2,0,0,0,0,0,6,0,0,0,11,0,0,0,3,1,0,27,0,0,0,1,0,0,0
2023-09-17T17,155,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,27,1,0,0,0,0,0,3,0,1,12,15,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,0,2,0,0,3,0,0,0,0,0,6,0,0,0,9,0,0,0,3,0,0,33,0,0,0,0,0,0,0
2023-09-17T18,220,4,1,0,2,0,1,0,0,0,0,2,0,0,5,1,6,0,0,0,0,10,0,0,0,0,0,36,2,0,0,0,0,0,8,1,0,8,17,0,0,0,0,0,0,0,0,2,1,1,0,0,12,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,16,0,0,2,0,1,1,0,4,0,1,0,0,3,0,0,0,0,1,6,0,0,0,5,0,0,2,3,0,0,38,0,0,0,2,0,0,0
2023-09-17T19,182,3,0,0,2,1,0,0,0,0,0,1,0,0,6,1,11,0,0,0,0,9,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,11,11,0,0,0,0,3,0,0,0,2,1,0,0,0,7,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,11,2,0,1,0,1,1,0,6,0,2,0,0,1,0,0,0,0,2,6,1,0,0,2,0,0,2,3,1,0,26,0,0,0,2,0,0,0
2023-09-17T20,159,3,0,0,2,0,0,0,0,0,0,1,0,0,6,1,9,0,0,1,0,3,1,0,0,0,0,18,1,0,0,0,0,0,1,0,0,9,8,0,0,0,0,3,0,0,0,1,0,3,0,0,13,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,5,2,0,0,0,1,0,0,4,0,2,0,0,2,0,0,0,0,1,6,1,1,0,1,0,0,1,1,0,0,34,0,0,0,2,0,0,0
2023-09-17T21,142,3,0,0,1,0,0,0,0,0,0,1,0,0,3,0,5,0,1,0,0,2,4,0,0,0,0,13,0,0,0,0,0,0,5,0,0,9,11,0,0,0,0,4,0,0,0,0,1,1,0,0,15,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1,7,1,0,0,0,0,0,1,3,0,0,23,0,0,1,1,1,0,0
2023-09-17T22,122,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,1,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,5,11,0,0,0,0,1,0,0,2,0,0,1,0,0,8,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,8,0,0,0,2,0,0,1,3,0,0,21,0,0,1,0,2,0,0
2023-09-17T23,109,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,2,1,0,30,0,0,0,1,0,0,0
2023-09-18T00,110,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,6,1,0,0,0,11,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,6,0,0,0,3,0,0,0,1,0,0,40,0,0,1,2,0,0,0
2023-09-18T01,170,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,9,0,0,0,0,14,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,8,0,0,0,2,0,0,0,3,0,0,73,0,0,0,0,0,0,0
2023-09-18T02,151,2,0,0,0,0,2,0,0,0,1,0,0,1,4,0,9,2,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,1,0,1,0,6,0,2,0,1,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,1,0,0,0,3,0,0,55,0,0,1,2,0,0,0
2023-09-18T03,114,3,1,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,2,0,0,56,0,0,0,1,0,0,0
2023-09-18T04,111,3,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,13,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,4,0,0,50,0,0,0,1,0,0,0
