bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW
2023-07-09T12,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,1,12,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,6,0,0,8,2,3,0,2,0,16,0,0,0,0,0,0,0,0
2023-07-09T13,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,16,0,0,0,0,0,1,0,0,5,5,0,0,0,4,0,0,0,0,0,2,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,5,0,0,12,1,4,0,0,0,11,0,0,0,0,0,0,0,0
2023-07-09T14,117,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,7,0,0,0,0,13,0,0,0,0,0,3,0,0,1,7,0,0,0,5,0,0,0,0,0,4,0,1,7,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,2,0,3,0,0,0,1,1,0,0,0,1,5,0,1,13,1,3,0,0,0,14,0,0,0,0,0,0,0,0
2023-07-09T15,119,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,11,0,0,0,0,18,0,0,0,1,0,2,0,0,6,10,0,0,0,7,0,0,0,0,0,3,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,6,0,0,5,1,3,0,2,0,12,0,0,0,0,0,0,0,0
2023-07-09T16,136,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,6,0,0,0,0,14,0,0,0,1,0,6,0,0,8,11,0,0,0,7,0,0,0,0,0,2,0,0,16,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,6,0,0,9,1,7,0,1,0,14,0,0,0,1,0,0,0,0
2023-07-09T17,147,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,0,0,0,0,5,0,0,0,1,17,0,0,0,0,0,6,0,0,13,20,0,0,0,9,0,0,0,0,0,0,0,0,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,5,0,0,7,3,3,0,2,0,16,0,0,0,1,0,0,0,0
2023-07-09T18,162,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,4,0,0,0,0,31,0,0,0,0,0,7,0,0,9,17,0,0,0,1,0,0,0,0,0,1,0,0,11,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,5,0,0,0,3,0,1,0,0,2,7,0,0,6,3,1,0,2,0,29,0,0,0,1,0,0,0,0
2023-07-09T19,134,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,1,0,0,0,4,0,0,0,0,24,0,0,0,0,0,5,0,0,11,7,0,0,0,0,1,2,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,3,0,0,0,2,0,1,0,0,1,5,0,0,5,0,1,0,1,0,23,0,0,0,0,0,0,0,0
2023-07-09T20,145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,21,0,0,0,0,0,3,0,0,10,15,0,0,0,1,0,1,0,0,0,1,0,0,17,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,6,0,0,5,1,3,0,4,0,24,0,0,0,0,0,0,0,0
2023-07-09T21,158,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,0,0,0,3,0,0,0,0,17,0,0,0,0,0,3,0,0,8,16,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,3,2,0,0,1,0,2,0,0,1,7,0,0,3,0,1,0,0,0,57,0,0,0,0,0,0,0,0
