bucket,total,--,AE,AL,AM,AR,AT,AU,AW,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DM,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MM,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SA,SC,SD,SE,SG,SK,SN,SS,SV,TH,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-02-17T08,113,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,10,1,0,0,0,0,0,0,0,0,2,11,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,52,0,0,0,0,0,0
2023-02-17T09,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,13,1,0,0,0,0,0,1,0,0,4,9,0,0,0,2,0,0,1,0,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,1,0,4,0,0,35,0,0,0,0,0,0
2023-02-17T10,132,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,11,1,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,7,1,0,0,0,1,0,0,1,0,0,44,0,0,1,2,0,0
2023-02-17T11,105,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,4,1,0,0,10,0,0,0,0,0,0,0,0,0,4,5,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,3,0,0,6,0,0,33,0,0,1,1,0,0
2023-02-17T12,161,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,1,0,0,5,12,0,0,0,18,0,0,0,0,0,0,8,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,2,0,0,3,0,1,60,0,0,0,1,0,0
2023-02-17T13,221,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,3,0,0,0,26,2,0,1,0,0,0,0,0,0,5,14,0,0,0,10,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,6,0,0,3,0,0,108,0,0,0,1,0,0
2023-02-17T14,170,4,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,7,2,0,0,0,9,0,0,0,26,2,0,0,0,0,0,2,0,0,8,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,4,6,0,0,0,0,7,1,0,5,0,0,34,0,0,0,0,0,0
2023-02-17T15,256,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,14,0,0,0,33,0,0,0,0,0,0,4,0,0,7,12,0,0,0,3,0,0,0,0,4,0,6,0,0,0,3,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,4,6,0,0,0,0,10,0,0,3,0,0,104,0,0,0,0,0,0
2023-02-17T16,206,4,4,0,0,0,1,0,0,0,0,0,2,0,14,0,0,0,7,0,0,0,0,10,0,0,0,35,1,0,0,0,0,0,6,0,0,11,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,12,0,0,2,0,0,58,0,0,0,0,0,0
2023-02-17T17,195,3,1,0,0,2,0,0,0,0,0,0,0,0,8,0,1,0,5,2,0,0,0,3,0,0,0,42,1,0,0,0,0,0,4,0,4,20,8,0,0,0,2,0,0,1,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,5,0,0,0,0,13,0,0,1,0,0,35,0,1,0,0,0,0
2023-02-17T18,264,2,0,0,0,2,1,0,0,0,0,0,1,0,10,0,4,0,6,1,0,0,0,6,0,0,1,52,1,0,0,0,0,0,9,0,2,14,9,0,1,0,0,0,0,2,0,6,0,1,0,1,0,9,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,4,5,0,0,0,0,4,1,0,0,0,0,71,0,1,0,0,0,0
2023-02-17T19,273,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,6,1,0,0,0,3,0,0,0,52,1,0,0,0,0,0,4,0,0,12,29,0,1,0,1,0,0,0,0,1,0,0,0,1,0,7,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,2,5,0,0,0,0,3,2,0,2,0,0,80,1,0,0,0,0,0
2023-02-17T20,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,2,0,3,0,0,1,48,0,0,0,0,0,1,3,0,1,15,14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,5,0,0,0,1,2,1,1,0,0,3,6,0,0,0,0,5,4,0,0,0,0,33,0,0,0,0,0,0
2023-02-17T21,230,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,6,2,0,2,0,2,0,0,1,35,0,0,0,0,0,0,1,0,1,11,23,0,0,0,2,0,0,0,0,0,0,3,0,0,0,14,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,20,2,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,0,3,8,0,0,0,0,1,2,0,0,0,0,64,0,0,0,1,0,0
2023-02-17T22,262,4,0,0,0,4,0,0,0,0,0,0,2,0,18,0,3,1,6,2,0,0,0,5,0,0,0,25,1,0,0,0,0,0,3,0,1,13,18,0,0,0,3,0,0,0,1,0,0,1,0,0,0,15,0,35,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0,1,0,2,0,1,0,1,3,0,0,0,0,2,7,0,0,0,0,0,3,0,0,0,0,62,0,0,0,1,0,0
2023-02-17T23,201,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,5,2,0,0,0,4,1,0,0,28,1,0,0,0,0,0,1,0,1,10,12,0,0,0,3,0,0,0,1,2,0,0,0,0,0,15,0,10,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,4,0,1,0,2,2,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,67,0,0,0,0,1,0
2023-02-18T00,141,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,1,0,0,11,1,0,0,0,0,0,1,0,0,5,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0
