bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LT,LV,LY,MA,MD,MK,ML,MM,MO,MU,MX,MY,MZ,NE,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SC,SE,SG,SK,SO,SR,SV,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZW
2023-08-28T00,85,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,1,0,0,3,4,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,2,2,0,0,2,5,0,0,0,0,0,0,0,0,1,2,0,28,0,0,0,1,0,0,0
2023-08-28T01,93,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,2,0,0,0,0,4,1,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,2,1,0,0,3,6,0,0,0,0,1,0,0,0,2,0,0,34,0,1,0,2,0,0,0
2023-08-28T02,93,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,3,0,0,0,0,8,1,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,1,0,0,2,0,3,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,6,0,0,0,0,1,0,0,0,1,1,0,25,0,1,0,1,0,0,0
2023-08-28T03,76,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,1,0,0,5,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,9,0,0,0,0,1,0,0,0,2,0,0,28,0,0,0,1,0,0,0
2023-08-28T04,86,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,6,0,0,1,0,14,0,1,0,0,3,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,1,0,0,0
2023-08-28T05,85,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,16,0,0,0,0,6,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,1,1,0,0,2,5,0,0,0,0,1,0,0,0,4,0,0,26,0,0,0,0,0,1,0
2023-08-28T06,79,3,0,0,1,1,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,17,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,0,0,2,5,0,1,0,0,1,0,1,0,3,0,0,17,0,0,0,1,0,0,0
2023-08-28T07,84,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,19,1,0,0,0,5,1,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,3,0,0,24,0,0,0,1,0,0,0
2023-08-28T08,94,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,16,1,0,0,0,8,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,6,0,0,0,0,2,0,1,0,3,0,0,24,0,0,0,0,0,0,0
2023-08-28T09,86,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,15,1,0,0,0,5,1,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,2,0,0,0,2,6,0,0,0,0,1,0,1,0,3,0,0,16,0,0,0,2,0,0,0
2023-08-28T10,99,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,13,0,0,0,0,5,1,0,0,0,0,1,0,0,5,4,0,0,2,0,0,0,0,0,1,1,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,1,0,0,2,7,0,0,0,0,4,0,1,0,4,0,0,15,0,0,0,2,0,1,0
2023-08-28T11,99,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,9,1,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,1,0,3,2,0,0,2,5,0,0,0,0,4,0,0,0,8,0,0,20,0,0,0,0,0,0,0
2023-08-28T12,104,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,13,0,0,0,0,10,2,0,0,0,0,1,0,0,3,7,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,1,1,0,0,2,7,0,0,0,0,11,0,2,0,6,0,0,15,0,0,0,0,0,0,0
2023-08-28T13,110,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,13,0,0,0,0,10,1,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,3,0,4,0,0,0,3,1,0,0,2,6,0,0,0,0,9,0,0,0,7,1,0,17,0,0,0,1,0,1,0
2023-08-28T14,156,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,0,17,1,0,0,0,8,1,0,0,0,0,0,0,0,5,10,0,0,2,0,1,0,5,0,1,1,0,1,0,10,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,1,3,0,0,2,0,0,0,3,5,0,0,0,1,10,0,0,0,7,0,0,31,0,0,1,0,0,0,0
2023-08-28T15,162,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,17,1,0,0,0,12,1,0,0,0,0,3,0,0,4,10,0,0,1,0,0,0,3,0,0,4,0,1,0,8,0,4,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,7,2,0,0,0,2,0,0,1,0,0,2,0,0,0,3,8,0,0,0,1,14,0,0,0,7,0,0,25,0,0,0,0,0,1,1
2023-08-28T16,137,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,2,1,0,0,0,16,1,0,0,0,0,4,0,1,9,5,0,0,1,0,0,0,0,0,2,1,0,1,0,14,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,1,0,0,3,0,0,0,2,1,0,0,2,8,0,0,0,0,17,0,0,0,9,0,0,15,0,0,0,0,0,0,1
2023-08-28T17,174,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,0,3,0,0,0,0,37,1,0,0,0,0,3,0,0,13,12,0,0,1,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5,0,2,0,1,0,0,0,1,5,0,0,0,0,11,0,0,0,3,0,0,40,0,0,0,0,0,0,1
