bucket,total,--,AE,AM,AR,AT,AU,BB,BD,BE,BG,BH,BO,BR,BS,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,LV,LY,MA,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NI,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-03-26T12,176,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,3,0,0,16,0,0,0,0,15,1,0,0,0,0,0,3,0,1,13,12,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,0,3,0,0,2,0,3,0,0,0,2,6,0,0,0,7,0,1,0,2,0,0,33,0,0,0,0,0,8
2023-03-26T13,206,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,11,0,0,0,0,30,1,0,0,0,0,0,2,0,1,19,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,4,0,0,1,0,4,0,0,0,4,7,0,0,0,7,0,0,0,3,0,0,44,0,0,0,0,0,1
2023-03-26T14,252,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,15,0,0,0,0,58,0,0,0,0,0,0,3,0,1,17,12,0,0,0,0,5,0,0,0,0,0,0,1,11,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,3,0,4,1,0,2,0,0,0,0,0,2,8,0,0,0,7,0,1,0,3,0,0,45,0,0,0,0,0,0
2023-03-26T15,240,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,18,0,0,0,0,40,0,0,0,0,0,0,10,0,0,13,17,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18,0,1,0,0,1,0,4,1,0,3,0,1,0,0,0,3,6,0,0,0,10,0,2,0,3,0,0,53,0,0,0,0,0,0
2023-03-26T16,198,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,3,0,0,0,0,37,0,0,0,0,0,0,3,0,2,22,13,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,3,1,0,1,0,1,0,0,0,4,6,0,0,0,6,0,0,0,1,0,0,53,0,0,1,0,0,0
2023-03-26T17,232,2,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,9,4,0,0,0,0,0,0,0,51,0,0,0,0,0,0,6,0,0,22,10,0,0,1,0,2,0,0,0,0,0,1,1,6,0,0,0,26,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,3,1,0,3,0,6,0,1,0,2,5,0,0,0,6,0,0,0,0,0,0,37,0,0,0,0,0,0
2023-03-26T18,267,2,0,0,0,0,32,0,1,0,0,0,0,5,0,0,0,11,5,0,1,4,0,0,0,0,49,1,0,0,0,0,0,4,0,0,17,10,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,18,0,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,3,1,0,3,0,3,0,0,0,2,5,0,0,0,3,0,1,0,1,0,1,52,0,0,0,3,0,0
2023-03-26T19,213,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,10,3,0,1,3,0,0,0,0,40,0,0,0,0,0,0,5,0,0,6,14,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,23,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,3,1,0,4,0,0,0,0,0,2,6,0,0,0,4,0,1,0,0,0,0,54,0,0,0,4,0,0
2023-03-26T20,182,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,11,4,0,0,1,0,0,0,0,36,0,0,0,0,0,0,2,0,0,5,16,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,3,7,0,0,0,1,0,0,0,0,0,1,45,0,0,0,1,0,0
2023-03-26T21,143,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,3,0,0,0,0,20,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,0,0,0,1,0,2,0,0,0,1,47,0,0,0,2,0,0
