bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BT,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,ES,ET,FI,FJ,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,LY,MA,MD,MK,ML,MM,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,SV,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA
2023-08-20T00,80,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,3,0,0,0,0,6,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,1,0,0,3,0,0,0,25,0,0,0,0
2023-08-20T01,77,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0,0,0,0,5,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0
2023-08-20T02,100,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,13,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,2,0,0,0,39,0,0,0,1
2023-08-20T03,109,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,64,0,0,0,0
2023-08-20T04,93,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,5,0,0,0,0,2,0,0,1,0,0,0,32,0,0,0,0
2023-08-20T05,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,5,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,37,0,0,0,0
2023-08-20T06,86,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,13,0,0,0,0,8,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,3,0,0,0,25,0,0,0,0
2023-08-20T07,94,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,5,1,0,15,0,0,0,0,12,0,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0,21,0,0,0,0
2023-08-20T08,117,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15,0,0,0,0,11,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,1,0,0,2,0,0,0,2,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,3,6,0,0,0,0,6,0,0,2,0,1,0,29,0,0,0,0
2023-08-20T09,137,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,13,0,0,0,0,14,0,0,0,0,2,0,0,0,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,8,0,0,0,0,2,0,1,4,0,0,0,50,0,0,0,0
2023-08-20T10,104,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,15,0,0,0,0,8,0,0,0,1,2,0,0,0,8,1,0,0,0,1,0,0,0,4,0,0,0,0,0,3,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,3,0,0,3,0,0,0,19,0,0,2,0
2023-08-20T11,118,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13,0,0,0,0,12,0,0,0,1,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,8,0,0,2,0,0,0,42,0,0,2,0
2023-08-20T12,106,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,13,0,0,1,0,14,0,0,0,0,0,0,0,0,7,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,14,0,0,6,0,0,0,11,0,0,0,0
2023-08-20T13,130,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,14,0,0,0,0,12,0,0,0,0,1,0,0,0,8,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0,6,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,14,0,0,6,0,0,0,35,0,0,0,0
2023-08-20T14,149,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,15,0,1,0,0,29,0,0,0,0,1,0,0,0,7,3,0,0,0,5,0,0,1,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,2,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,13,0,0,5,0,0,0,35,0,0,1,0
