bucket,total,--,AE,AR,AT,AU,BE,BG,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DZ,ES,ET,FI,FJ,FR,GB,GE,GR,HK,HU,ID,IE,IN,IR,IT,JP,KH,KR,KZ,LB,MA,MD,MK,MM,MU,MX,MY,MZ,NL,NO,NP,NZ,OM,PA,PH,PK,PL,PT,RO,RU,RW,SE,SG,SK,TH,TM,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA
2023-01-15T18,190,2,0,0,0,1,1,0,0,1,7,0,0,2,0,0,0,45,0,0,7,0,0,0,10,17,1,0,2,0,0,1,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,5,0,2,0,0,2,7,1,4,0,0,2,2,0,0,30,0,0,1,0
2023-01-15T19,221,5,0,0,1,0,2,0,0,0,9,0,0,2,0,0,1,45,0,0,6,0,1,0,16,20,0,0,2,1,1,0,0,0,13,2,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,3,1,5,2,0,3,7,0,6,0,0,5,5,0,0,32,0,0,0,0
2023-01-15T20,222,2,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,43,0,0,1,0,0,0,12,13,0,0,3,0,1,0,0,0,16,3,0,4,1,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,3,1,5,5,0,5,8,0,4,0,0,4,2,0,1,59,0,0,0,0
2023-01-15T21,153,2,0,0,0,0,1,0,1,0,9,0,0,2,0,0,0,34,0,0,1,0,1,0,5,10,0,0,0,0,0,1,0,0,18,1,0,3,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,1,1,1,0,3,6,0,1,0,0,1,1,0,0,32,0,0,1,0
2023-01-15T22,154,3,0,0,0,0,0,0,3,0,4,0,0,1,0,0,1,21,0,0,3,0,1,0,8,10,0,0,2,0,1,0,0,0,18,3,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,1,2,1,2,0,2,8,0,0,0,0,4,4,0,0,37,0,0,0,0
2023-01-15T23,136,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,12,0,0,3,0,1,0,5,9,0,0,3,0,0,0,0,0,16,3,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,2,1,2,0,1,6,0,2,0,0,3,1,0,0,43,0,0,0,0
2023-01-16T00,117,3,0,0,0,1,0,0,2,0,11,1,0,1,0,0,0,12,0,0,2,0,1,0,3,6,0,0,3,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,1,1,0,1,0,2,8,1,1,0,0,0,3,0,0,35,0,0,0,0
2023-01-16T01,95,3,0,0,0,0,0,0,0,0,11,2,0,7,0,0,0,4,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,4,5,0,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,7,0,0,0,0,0,2,0,0,29,0,0,0,0
2023-01-16T02,95,3,0,1,0,1,0,0,1,0,14,0,0,2,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,3,0,2,3,0,4,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,6,0,0,0,0,1,1,0,0,36,0,1,0,0
2023-01-16T03,80,4,0,0,0,1,0,0,2,0,11,0,0,1,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,1,1,6,0,0,0,0,0,2,0,0,31,0,0,0,0
2023-01-16T04,59,2,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,0,1,6,0,1,0,0,0,1,0,0,21,0,0,0,0
2023-01-16T05,64,4,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,6,0,0,0,0,2,4,0,0,25,0,0,0,0
2023-01-16T06,77,2,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,2,11,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,8,0,0,0,0,1,2,0,0,30,0,0,1,0
2023-01-16T07,102,3,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,3,14,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5,0,3,0,0,0,4,0,0,46,0,0,1,0
2023-01-16T08,86,3,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,10,0,0,0,0,0,0,1,7,0,0,3,0,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,1,8,0,2,0,0,0,3,0,0,27,0,0,0,0
2023-01-16T09,82,3,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,13,0,1,0,0,0,0,4,3,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,2,0,1,5,1,3,0,0,0,4,0,0,24,0,0,0,0
2023-01-16T10,85,5,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,12,0,0,1,0,0,0,6,6,0,0,0,0,0,1,0,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,2,1,0,1,7,0,1,0,0,0,1,0,0,17,0,0,1,1
2023-01-16T11,131,4,0,1,1,1,0,0,10,0,3,0,0,5,1,0,1,8,0,0,0,0,0,0,2,5,0,0,0,0,0,1,1,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,1,1,0,1,5,0,3,0,0,1,6,0,0,52,0,0,0,0
2023-01-16T12,68,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,1,1,0,0,1,3,0,1,7,0,1,0,0,1,4,0,0,9,0,0,0,0
