bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RU,RW,SC,SE,SG,SK,SV,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-06-04T10,115,3,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,13,0,0,11,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,0,3,1,0,2,0,1,0,2,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,5,0,0,9,0,0,6,0,1,20,0,0,2,1,0,0,0
2023-06-04T11,108,3,0,0,1,1,0,0,0,0,0,0,2,0,0,3,0,9,0,0,12,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,6,0,0,6,0,4,24,0,0,0,1,0,0,0
2023-06-04T12,103,2,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,8,0,0,14,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,0,0,9,0,0,6,0,0,22,0,0,0,0,0,0,0
2023-06-04T13,180,5,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,29,0,0,18,0,0,0,0,0,0,1,0,0,17,11,0,0,0,0,2,0,1,1,0,0,0,0,0,0,5,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,8,0,0,17,0,1,11,0,1,23,1,0,0,0,0,0,0
2023-06-04T14,195,4,0,0,0,1,0,1,0,1,0,0,2,0,1,3,0,33,0,0,21,0,0,0,0,0,0,2,0,0,10,7,0,0,0,0,2,0,2,0,0,1,2,0,2,0,10,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,5,0,0,21,0,0,9,0,2,25,0,0,0,0,1,0,0
2023-06-04T15,178,2,0,0,0,0,0,0,0,1,0,0,3,0,2,2,2,24,0,0,23,0,0,0,0,0,0,4,0,1,14,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,4,6,0,0,18,0,0,5,0,2,17,0,0,0,0,1,0,0
2023-06-04T16,170,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,29,1,0,16,0,0,0,0,0,0,3,0,0,10,14,0,0,0,0,2,0,0,1,0,1,0,0,0,0,19,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,6,0,0,16,0,1,2,0,4,21,0,0,0,0,0,0,0
2023-06-04T17,200,7,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,25,1,0,29,0,0,0,0,0,0,3,0,0,11,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,8,0,0,17,0,0,2,0,4,24,0,0,0,0,0,0,0
2023-06-04T18,177,2,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,21,1,0,38,0,0,0,0,0,0,3,0,0,13,16,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,6,0,0,3,0,0,0,0,4,24,0,0,0,0,1,0,0
2023-06-04T19,185,2,1,0,0,0,0,0,0,1,0,0,2,0,8,3,0,27,0,0,27,0,0,0,0,0,1,5,0,0,7,12,2,0,0,0,1,0,0,0,0,1,3,0,0,0,19,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,6,0,0,6,0,0,0,0,1,21,0,0,0,0,0,0,0
2023-06-04T20,189,1,0,0,0,1,0,0,0,1,0,0,5,0,3,1,0,27,0,0,35,0,0,0,0,0,0,3,0,0,9,10,0,0,0,0,2,0,0,1,0,0,3,0,0,0,14,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,2,0,0,2,0,2,2,0,1,1,8,0,0,5,1,1,0,0,0,26,0,0,0,1,1,0,0
2023-06-04T21,148,3,0,1,0,0,0,0,0,1,0,0,4,0,6,2,1,5,0,0,20,0,0,0,0,0,0,2,0,0,4,8,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13,5,0,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,8,0,0,6,1,0,1,0,3,27,0,0,0,1,0,0,0
2023-06-04T22,114,3,0,3,0,0,0,0,0,2,0,0,1,0,8,1,1,4,0,0,9,0,0,0,0,0,0,2,0,0,2,11,0,0,0,0,1,0,0,2,0,0,1,0,1,0,13,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,24,0,0,0,2,0,0,0
2023-06-04T23,99,5,0,1,0,0,0,0,0,0,0,0,2,0,7,1,0,7,0,0,8,0,0,0,0,0,0,1,0,1,6,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0
2023-06-05T00,97,2,0,0,0,1,0,0,0,0,0,0,1,0,6,1,0,7,0,0,9,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,0,1,0,0,0,0,0,37,0,1,0,0,0,0,0
2023-06-05T01,112,2,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,5,0,0,17,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,53,0,0,0,0,0,0,0
