bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GF,GH,GI,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2023-11-26T12,108,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,12,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,3,0,0,37,0,0,0,2,0,0
2023-11-26T13,148,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,1,13,0,0,0,1,0,0,0,6,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,2,0,0,0,3,0,3,1,0,0,0,13,0,0,11,0,0,3,0,0,45,0,0,0,1,0,0
2023-11-26T14,114,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,0,7,0,0,0,1,11,0,0,0,1,0,0,0,11,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,3,0,3,0,0,1,1,6,0,0,9,0,0,3,0,0,19,0,0,0,0,1,0
2023-11-26T15,134,1,0,0,0,1,0,0,0,1,1,0,0,3,0,0,2,1,0,0,4,0,0,0,0,20,0,0,0,1,1,0,0,8,11,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,2,0,1,0,0,0,4,6,0,0,11,0,0,5,0,0,22,0,0,0,0,0,0
2023-11-26T16,163,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,4,0,0,0,0,32,0,0,0,0,2,0,0,13,10,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,3,0,0,0,2,0,2,0,0,0,0,6,0,0,14,0,1,3,1,0,30,0,0,0,1,0,0
2023-11-26T17,166,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,10,1,0,0,0,28,0,0,0,0,3,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,2,0,5,0,2,0,1,0,2,0,0,0,3,5,0,0,14,0,0,3,0,0,23,0,0,0,0,0,0
2023-11-26T18,186,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,4,0,1,0,7,1,0,0,0,37,2,0,0,0,7,0,0,9,11,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,3,0,3,0,2,0,0,0,2,6,0,0,4,0,0,1,0,0,44,0,0,0,0,0,0
2023-11-26T19,163,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,6,3,1,0,2,0,0,0,1,29,1,0,0,0,5,0,0,7,13,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,4,0,2,0,1,0,1,0,0,0,3,5,0,0,3,0,2,1,0,0,36,0,0,0,0,0,0
2023-11-26T20,150,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,2,1,0,0,1,0,0,0,27,1,0,0,0,3,0,0,12,16,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,6,0,0,2,0,2,1,0,1,26,0,0,0,0,0,0
2023-11-26T21,150,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,3,2,0,0,0,27,0,0,0,0,1,0,0,9,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,2,0,0,0,3,2,0,0,2,7,0,0,4,0,1,0,0,0,26,0,0,0,0,0,0
2023-11-26T22,109,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,2,0,0,3,1,0,0,0,10,1,0,0,0,1,0,0,5,9,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,13,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,3,0,2,0,0,0,1,0,0,0,2,5,0,0,0,0,1,1,0,0,27,0,0,0,0,0,0
2023-11-26T23,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,3,0,0,0,0,11,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,6,0,0,1,0,0,1,0,0,25,0,0,0,1,0,0
2023-11-27T00,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,1,0,0,0,0,8,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,48,0,0,0,1,0,0
2023-11-27T01,84,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,3,0,0,0,0,4,1,0,0,0,2,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,44,0,0,0,1,0,0
2023-11-27T02,90,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,11,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0
2023-11-27T03,77,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,9,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,1,0,0,1,0,0,34,0,0,0,0,1,0
2023-11-27T04,69,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,1,0,0,24,0,0,0,1,1,0
2023-11-27T05,87,3,2,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,29,0,0,0,1,0,0
2023-11-27T06,95,5,1,0,1,0,0,0,0,1,0,0,0,3,0,0,4,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,31,0,0,0,3,0,0
2023-11-27T07,94,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,6,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,1,0,0,32,0,0,0,3,0,0
2023-11-27T08,79,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0,27,0,0,0,0,0,0
2023-11-27T09,87,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,3,5,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,5,0,0,1,0,0,1,0,0,36,0,0,0,0,1,0
2023-11-27T10,80,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,2,0,0,3,5,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,2,1,2,0,20,0,0,0,0,0,0
2023-11-27T11,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,7,0,0,3,0,1,4,1,0,20,0,0,0,0,0,0
2023-11-27T12,90,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,0,0,0,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,8,0,0,4,1,0,25,0,0,0,0,0,0
2023-11-27T13,98,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,11,2,0,0,0,12,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,13,0,0,2,0,0,20,0,0,0,0,0,0
2023-11-27T14,141,2,0,0,0,0,2,0,0,1,1,0,0,2,0,0,4,1,1,0,11,0,0,0,0,10,0,0,0,0,0,0,0,8,6,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,4,0,7,0,0,0,1,7,0,0,18,0,0,2,0,0,33,0,0,0,0,0,0
2023-11-27T15,132,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,1,0,7,0,0,0,0,14,0,0,0,0,0,0,0,8,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1,0,8,0,0,0,2,5,0,0,18,0,0,3,0,0,27,0,0,0,0,0,0
2023-11-27T16,142,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,12,0,0,1,0,16,0,0,0,0,1,0,1,11,13,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,4,5,0,0,16,0,0,4,1,0,21,0,0,0,0,0,0
2023-11-27T17,137,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,17,1,0,0,0,23,0,0,0,0,2,0,0,14,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,8,5,0,0,11,0,0,1,1,0,23,0,0,0,0,0,0
2023-11-27T18,172,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1,0,1,17,1,0,0,0,42,0,1,0,0,4,0,0,12,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,4,6,0,0,10,0,1,4,0,0,20,1,0,0,0,0,0
