bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2023-10-01T00,128,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,8,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,2,0,1,1,0,1,2,0,1,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,8,0,0,2,0,0,2,0,52,0,0,0,1,0
2023-10-01T01,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,2,0,33,0,0,0,0,0
2023-10-01T02,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0,1,5,0,32,0,0,0,1,1
2023-10-01T03,97,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,6,0,0,0,0,1,2,0,42,0,0,0,2,1
2023-10-01T04,72,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,29,0,0,0,0,1
2023-10-01T05,70,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,2,0,0,2,0,26,0,0,1,0,2
2023-10-01T06,83,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,5,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,6,0,30,0,0,1,0,0
2023-10-01T07,86,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1,1,0,0,6,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,3,0,0,5,0,23,0,0,1,1,1
2023-10-01T08,84,2,0,0,0,1,2,0,0,1,1,0,0,0,0,0,2,0,0,0,4,1,0,0,0,13,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,5,0,0,3,0,0,3,0,19,0,0,0,2,0
2023-10-01T09,86,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,10,0,0,0,0,0,0,8,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,1,6,0,0,5,0,0,4,0,14,0,0,0,0,0
2023-10-01T10,103,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,2,1,0,0,0,10,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,4,5,0,0,6,0,0,3,0,19,0,0,0,0,0
2023-10-01T11,97,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,1,1,0,0,0,0,5,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,2,5,0,0,8,0,2,4,0,18,0,0,0,1,0
2023-10-01T12,128,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,12,6,0,0,0,0,4,0,0,0,1,0,3,0,1,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,4,1,1,0,1,0,1,0,2,0,0,0,5,0,0,9,0,1,7,0,28,0,0,1,0,0
2023-10-01T13,126,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,14,5,0,0,0,0,6,0,0,0,1,0,3,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,2,6,0,0,13,0,0,4,0,22,0,0,0,0,0
2023-10-01T14,135,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,1,0,0,6,1,0,0,0,12,0,0,0,0,0,0,3,0,0,0,12,11,0,0,0,0,3,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,9,0,0,16,0,1,3,0,23,0,0,0,1,0
2023-10-01T15,134,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,7,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,11,8,0,0,0,0,4,0,0,1,0,0,1,0,0,13,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,7,0,0,9,0,1,2,0,29,0,0,0,0,1
2023-10-01T16,164,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2,0,0,4,0,0,0,1,18,0,0,0,0,0,0,5,0,0,0,13,8,0,0,1,0,4,0,0,1,0,0,1,0,0,24,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,2,1,0,0,1,0,4,0,0,0,1,0,2,0,0,4,7,0,0,10,0,1,1,0,22,0,0,0,0,0
2023-10-01T17,190,2,0,0,1,0,0,0,0,1,2,0,0,0,2,0,4,2,0,0,4,0,0,0,0,28,0,0,0,0,0,0,5,0,0,0,10,13,0,0,0,0,3,0,0,1,0,0,1,0,1,23,0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,2,0,5,0,1,0,1,0,2,0,0,5,7,1,0,12,0,0,1,0,26,0,0,0,0,0
2023-10-01T18,184,1,0,0,1,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,7,0,0,0,0,31,1,0,0,0,0,0,4,0,0,0,6,13,0,0,0,0,2,0,1,1,0,0,1,0,0,22,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,17,1,1,0,0,1,0,3,0,3,0,1,0,2,0,0,2,5,0,0,13,0,0,1,0,22,0,0,0,1,1
2023-10-01T19,173,1,0,0,1,0,0,0,0,0,3,1,0,0,1,0,4,1,0,1,5,0,0,0,0,26,1,0,0,0,0,0,3,0,0,0,10,12,0,0,0,0,3,0,1,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,6,0,2,0,0,0,5,0,0,2,6,0,0,10,0,0,1,1,22,0,0,0,1,1
2023-10-01T20,163,3,0,0,2,0,0,0,0,0,1,1,0,0,2,0,4,0,0,0,6,2,0,0,0,33,1,0,0,0,0,0,2,0,0,0,9,7,0,0,0,0,2,0,0,0,0,1,0,0,0,19,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,0,3,0,1,0,0,0,3,0,0,3,7,0,0,5,0,0,1,2,23,0,0,0,2,0
2023-10-01T21,138,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,3,0,0,0,14,0,0,0,0,0,0,1,0,1,0,7,9,0,0,0,0,1,0,0,0,0,1,1,0,0,16,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,1,0,0,0,4,2,0,2,6,0,0,5,0,0,0,2,35,0,0,0,0,0
2023-10-01T22,125,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,9,0,0,1,8,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,4,10,0,0,1,0,1,0,0,0,0,0,1,0,1,11,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,6,0,0,2,0,0,0,1,32,1,0,0,2,0
2023-10-01T23,134,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,1,13,1,0,0,0,6,1,0,0,1,0,0,2,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,1,0,1,8,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,2,6,0,0,2,0,0,1,0,45,0,0,0,3,0
2023-10-02T00,114,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,7,0,0,1,8,1,0,0,0,7,0,0,0,1,0,0,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,5,0,0,3,0,0,0,0,38,0,0,0,2,1
2023-10-02T01,134,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,11,1,0,1,13,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6,0,0,2,0,1,0,1,55,0,0,0,0,0
2023-10-02T02,108,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,11,0,0,0,9,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,6,0,0,3,0,0,2,1,41,0,0,0,0,0
2023-10-02T03,102,1,0,0,0,0,3,0,0,1,0,1,0,0,2,0,10,0,0,0,8,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,5,0,0,2,0,0,0,0,45,0,0,0,0,0
2023-10-02T04,92,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,5,0,0,0,4,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,5,0,0,2,0,0,0,0,37,0,0,0,0,0
2023-10-02T05,83,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,3,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,2,0,30,0,0,0,0,0
2023-10-02T06,73,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,6,0,0,2,0,0,1,0,30,0,0,0,2,0
2023-10-02T07,64,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,0,0,2,0,0,1,0,20,0,0,0,1,0
2023-10-02T08,90,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,2,1,0,0,0,1,1,0,1,2,0,7,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,2,6,0,0,2,0,0,1,0,21,0,0,0,1,0
2023-10-02T09,112,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,2,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,6,0,0,2,0,0,0,1,52,0,0,0,1,0
2023-10-02T10,109,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,5,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,5,0,0,3,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,6,0,0,5,0,0,1,0,28,1,0,1,1,0
2023-10-02T11,99,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,1,0,0,3,0,0,2,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,0,0,5,0,1,6,0,23,0,0,1,0,0
2023-10-02T12,100,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,6,8,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,3,0,0,0,0,0,1,0,0,2,6,0,1,10,0,1,3,0,25,0,0,0,0,0
2023-10-02T13,150,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,3,0,2,0,0,0,9,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,2,5,0,0,12,0,7,6,0,39,0,0,1,0,1
2023-10-02T14,157,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,5,0,0,1,11,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,5,6,0,0,0,0,4,0,1,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,2,7,0,0,14,0,0,5,0,45,0,1,0,1,1
2023-10-02T15,172,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,13,0,0,0,0,14,0,0,0,0,0,0,2,0,1,0,6,8,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,15,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,6,0,0,14,0,0,3,0,46,0,1,0,2,0
2023-10-02T16,185,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,0,1,16,0,0,0,0,20,0,0,0,0,0,0,1,0,1,0,12,7,0,0,0,0,2,1,0,1,0,0,0,0,0,17,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,2,5,0,0,11,0,1,5,1,46,0,0,0,1,0
