bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SC,SE,SG,SK,SN,TG,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-25T12,116,1,1,0,0,1,1,1,0,0,0,1,0,1,0,2,2,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,7,0,0,0,10,0,1,2,0,0,0,21,0,0,0,0,0,0
2023-06-25T13,104,1,0,0,0,1,1,1,1,0,0,1,0,0,0,4,0,0,0,12,0,0,0,11,0,0,0,0,0,0,1,0,0,9,7,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,6,0,0,0,11,0,1,2,0,0,0,12,0,0,0,0,0,0
2023-06-25T14,130,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,4,0,10,0,0,0,18,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,4,1,1,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,6,0,0,0,9,0,0,4,0,2,0,19,0,0,0,1,0,0
2023-06-25T15,137,2,0,0,1,0,1,1,1,0,0,0,0,2,0,3,1,0,0,8,0,0,0,23,0,0,0,0,2,0,1,0,0,9,11,1,0,0,0,1,0,1,0,1,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,1,0,3,0,0,0,0,6,0,0,0,7,0,1,5,0,3,0,16,0,1,0,1,0,0
2023-06-25T16,156,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,21,0,0,1,23,0,0,0,0,1,0,4,0,0,7,9,1,0,0,0,4,0,1,0,0,0,0,0,0,17,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,4,0,0,0,1,8,0,0,0,3,0,1,4,0,0,0,26,0,0,0,0,0,0
2023-06-25T17,146,1,0,0,0,0,0,1,0,1,0,0,0,3,0,4,1,1,0,16,0,0,0,22,0,0,0,0,0,0,5,0,0,3,9,0,0,0,0,2,0,1,1,0,0,0,0,0,14,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,4,1,1,2,5,0,0,0,1,7,0,0,0,5,0,2,0,0,1,0,17,0,0,0,1,0,0
2023-06-25T18,159,2,0,0,0,0,0,1,1,0,0,0,0,2,0,4,2,1,0,20,0,0,0,25,0,0,0,0,0,0,5,0,0,5,11,0,0,0,0,2,0,1,0,0,0,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,10,1,0,0,0,0,0,3,1,0,2,5,0,0,0,0,5,0,0,0,4,0,2,2,0,0,0,24,0,0,0,0,0,0
2023-06-25T19,150,1,0,0,0,0,1,1,3,0,0,0,0,1,0,5,1,0,0,18,0,0,0,29,0,0,0,0,0,0,2,0,0,9,8,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,6,0,0,0,6,0,1,0,0,0,0,18,0,0,0,0,0,0
2023-06-25T20,124,2,0,1,0,0,1,1,2,0,0,0,0,1,0,6,0,0,0,20,0,0,0,14,0,0,0,0,0,0,2,0,0,9,15,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,1,0,1,0,0,1,0,14,0,0,0,0,0,0
2023-06-25T21,147,1,0,1,0,0,1,1,2,0,0,0,0,3,0,2,1,1,0,18,0,0,0,19,0,0,0,0,0,0,1,1,0,8,16,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,1,2,0,0,3,0,0,0,0,7,0,0,0,1,0,1,0,0,1,0,20,0,0,0,0,0,0
