bucket,total,--,AD,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BF,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JE,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MG,MM,MO,MQ,MT,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SR,TH,TM,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-02-05T11,123,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1,0,0,0,15,0,0,0,0,0,0,4,0,8,4,0,0,0,0,2,0,0,1,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,2,5,0,0,0,0,6,0,0,1,0,5,0,0,17,0,1,0,0,1,0,0
2023-02-05T12,134,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,1,0,1,0,20,0,1,0,0,0,16,1,0,0,0,0,0,2,0,8,4,0,0,0,0,2,0,0,0,1,1,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,7,0,0,0,0,4,0,0,2,0,8,0,0,14,0,1,0,0,0,0,0
2023-02-05T13,145,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,22,0,0,0,0,2,21,0,0,0,0,0,0,3,0,7,6,0,0,0,0,3,0,0,0,1,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,1,10,0,1,0,0,3,0,0,0,0,9,0,0,19,0,0,0,0,0,0,0
2023-02-05T14,159,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,3,0,0,19,0,0,0,0,0,18,0,0,0,0,0,0,2,0,7,8,0,0,0,0,1,0,0,0,1,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,4,8,0,0,0,0,7,1,0,0,0,15,0,1,17,0,0,0,0,0,0,0
2023-02-05T15,184,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,7,1,0,0,15,0,0,0,0,0,27,0,0,0,1,0,0,1,0,17,13,0,0,0,0,2,0,2,1,0,0,1,0,0,10,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,0,7,6,0,0,0,0,11,1,0,0,0,9,0,1,19,0,0,0,0,0,0,0
2023-02-05T16,187,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,1,0,6,0,0,0,0,0,29,0,0,0,1,0,0,4,0,14,7,0,0,0,0,2,0,1,1,0,0,3,0,0,14,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,2,1,0,2,0,6,0,0,0,4,7,0,0,0,0,14,0,0,3,0,4,0,0,28,0,0,0,0,1,0,0
2023-02-05T17,190,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,3,0,1,0,2,0,0,0,0,0,33,0,0,1,0,0,0,4,1,28,8,0,0,0,0,1,0,1,0,0,0,1,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,4,1,0,1,0,4,0,0,0,8,7,0,0,0,0,5,0,0,3,0,4,0,0,32,0,0,0,0,0,0,0
2023-02-05T18,195,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,1,1,0,4,1,0,0,0,0,40,2,0,1,0,0,0,10,0,18,15,0,0,0,0,1,0,1,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,3,1,0,1,1,3,0,0,0,5,5,0,0,0,0,5,0,0,3,0,1,0,0,24,0,0,0,0,0,0,0
2023-02-05T19,198,3,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,1,11,0,0,0,5,1,0,0,0,0,41,2,0,0,0,0,0,8,0,17,17,0,0,0,0,3,0,1,0,0,0,2,0,0,14,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,4,0,0,3,0,1,0,0,0,1,5,0,0,0,0,2,0,0,2,0,1,0,0,23,0,0,0,1,0,0,0
2023-02-05T20,204,4,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,11,1,1,0,3,0,0,0,0,0,45,0,0,0,0,0,0,5,0,15,16,0,1,0,0,0,0,1,0,0,0,3,0,0,18,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,6,5,0,0,0,0,1,0,0,2,0,1,0,0,27,0,0,0,0,0,0,0
2023-02-05T21,149,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,3,0,7,16,0,0,0,0,2,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,2,8,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0
2023-02-05T22,149,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,13,0,0,0,0,0,26,0,0,0,0,0,0,2,0,2,14,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0
2023-02-05T23,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,2,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,3,0,4,9,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,25,0,0,0,0,0,0,0
2023-02-06T00,131,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,19,1,0,0,17,0,0,0,0,0,10,0,0,0,0,0,0,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,3,0,0,39,0,0,0,0,0,0,0
2023-02-06T01,122,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,19,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,45,0,0,0,0,0,0,0
2023-02-06T02,92,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,14,0,1,0,0,0,5,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,1,0,1,0,0,33,0,0,0,0,0,0,0
2023-02-06T03,89,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,0,0,44,0,0,0,0,0,0,0
2023-02-06T04,77,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,9,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0
2023-02-06T05,90,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,4,0,0,0,4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,1,0,4,0,0,34,0,0,0,0,0,0,0
