bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SO,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-08-06T12,120,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,28,0,0,0,0,0,0,0,1,4,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,6,0,0,0,9,0,1,4,0,0,23,0,0,0,0,0,0
2023-08-06T13,142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,24,0,0,0,0,0,0,0,0,7,3,0,0,1,3,0,0,0,0,0,1,4,0,0,3,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,2,0,3,0,0,0,6,0,0,0,10,0,1,5,0,1,32,0,0,0,0,0,1
2023-08-06T14,139,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,18,0,0,0,0,0,1,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,0,4,0,1,0,0,0,1,0,4,0,1,1,6,0,0,0,13,0,1,5,0,1,33,0,0,0,1,0,0
2023-08-06T15,141,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,19,0,0,0,1,0,1,0,0,4,7,0,0,0,1,0,0,1,0,0,0,0,0,1,10,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,1,2,0,3,0,0,0,1,0,6,0,0,1,8,0,0,0,12,0,2,3,0,0,25,0,0,0,2,0,2
2023-08-06T16,166,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,11,0,0,0,1,22,0,0,0,0,0,2,0,0,9,9,0,0,0,1,0,0,1,0,0,0,1,0,1,11,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,1,2,0,3,0,1,0,0,0,3,0,0,1,9,0,0,0,9,0,1,4,0,1,31,0,0,0,2,0,1
2023-08-06T17,163,2,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,12,0,0,0,0,39,0,0,0,0,1,2,0,0,5,11,0,0,1,1,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,3,0,0,0,2,0,3,0,0,3,5,0,0,0,10,0,0,1,0,0,29,0,0,0,0,0,0
2023-08-06T18,168,3,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,4,1,0,0,0,13,0,0,0,0,35,0,0,0,0,0,0,0,0,5,16,0,0,1,1,0,0,0,1,1,0,1,0,0,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,2,0,0,1,0,3,0,1,0,2,0,4,0,0,3,5,0,0,0,6,0,0,2,0,1,26,0,0,0,0,0,1
2023-08-06T19,197,2,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,19,0,0,0,0,22,0,0,0,0,0,0,0,0,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,1,5,0,0,0,8,0,0,0,0,0,74,0,0,0,0,0,1
2023-08-06T20,132,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,1,0,14,0,0,0,0,20,0,0,0,0,0,0,0,0,6,8,0,0,1,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,4,0,0,0,1,1,2,0,0,0,5,0,0,0,3,0,1,0,0,2,23,1,0,0,0,0,0
2023-08-06T21,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,12,0,0,0,0,20,0,0,0,0,1,1,0,0,6,13,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,6,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,1
