bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CY,CZ,DE,DK,DM,DO,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MN,MO,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,SY,TH,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-05-14T00,133,3,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,4,0,1,1,25,1,0,0,0,8,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0,0,5,0,0,0,4,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,8,0,0,0,0,0,1,0,1,0,1,0,34,0,0,0,1,0,0,0,0
2023-05-14T01,101,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,0,1,0,20,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,2,0,0,0,0
2023-05-14T02,91,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,18,1,1,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0
2023-05-14T03,90,4,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,9,0,0,0,20,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0
2023-05-14T04,77,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,5,0,0,1,9,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0
2023-05-14T05,71,3,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,8,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,4,0,0,8,0,0,0,16,0,0,0,1,0,0,0,0
2023-05-14T06,82,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,5,0,0,0,0,2,0,0,8,0,0,0,21,0,0,0,0,0,0,0,0
2023-05-14T07,80,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,10,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,3,0,1,0,20,0,0,0,0,0,0,0,0
2023-05-14T08,117,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,12,0,0,0,0,14,0,0,0,0,1,1,0,3,3,0,0,0,4,0,0,0,0,7,0,2,0,0,0,7,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,4,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0
2023-05-14T09,106,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,7,0,0,0,0,18,0,0,0,0,0,7,0,3,2,0,0,0,2,0,0,0,0,3,0,2,0,0,0,8,0,2,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,3,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0
