bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GG,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MK,MM,MN,MU,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-05-08T18,233,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,9,2,0,0,22,0,0,0,1,72,1,0,0,0,0,0,5,0,0,12,15,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,9,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,4,6,0,0,0,5,0,1,0,0,0,0,25,1,0,0,0,0,0,0
2023-05-08T19,216,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0,17,0,0,0,0,45,1,1,0,0,0,1,5,0,0,18,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,3,6,0,0,0,8,0,2,0,2,0,0,18,0,0,0,0,0,0,0
2023-05-08T20,176,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,17,0,0,0,1,32,1,0,0,0,0,0,4,0,0,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,6,0,0,0,5,0,2,0,1,0,0,32,0,0,0,1,0,0,1
2023-05-08T21,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,18,0,0,0,0,15,0,0,0,0,0,0,3,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,20,0,0,1,0,0,0,0
2023-05-08T22,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,6,0,0,0,0,13,0,0,0,0,0,0,2,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,9,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0
2023-05-08T23,126,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,13,1,0,0,6,0,0,0,0,13,0,0,0,0,0,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,38,0,0,0,1,0,0,0
2023-05-09T00,85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,1,4,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,0,34,0,0,0,1,0,0,0
2023-05-09T01,75,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,1,0,1,0,0,27,0,0,0,0,1,0,0
2023-05-09T02,92,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,8,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,32,0,0,0,0,0,0,0
2023-05-09T03,88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,2,0,0,34,0,0,1,0,0,0,0
2023-05-09T04,87,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,5,0,0,21,0,0,0,1,0,0,0
2023-05-09T05,97,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,6,0,2,0,3,0,0,24,0,0,0,0,0,0,0
2023-05-09T06,97,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,5,0,1,0,0,0,0,27,0,0,0,0,0,0,0
2023-05-09T07,102,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,1,0,3,1,0,25,0,0,0,1,0,0,0
2023-05-09T08,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,6,0,0,0,2,0,2,0,0,2,0,22,0,0,0,0,0,0,0
2023-05-09T09,87,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,6,1,0,0,1,0,0,15,0,0,1,0,1,0,0
2023-05-09T10,109,2,1,0,0,0,2,0,3,0,0,0,0,0,1,1,1,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,1,0,0,5,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,6,0,0,0,4,0,0,0,1,0,0,19,0,0,0,0,0,1,0
2023-05-09T11,136,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,14,0,0,0,0,16,0,0,0,0,0,0,2,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,1,0,0,1,6,0,0,0,5,0,0,0,10,0,0,28,0,0,0,0,0,1,0
2023-05-09T12,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,20,0,0,0,0,17,0,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,6,0,1,0,7,0,0,16,0,0,0,0,0,0,0
2023-05-09T13,113,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,14,0,0,0,1,0,0,0,0,0,8,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,6,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,9,0,1,0,6,0,0,14,0,0,0,0,0,0,0
2023-05-09T14,147,3,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,18,0,0,0,0,14,0,0,0,0,1,0,1,0,1,4,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,2,6,0,0,0,11,0,1,0,7,0,0,25,0,0,0,1,0,0,0
2023-05-09T15,154,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,0,0,0,22,0,0,0,0,0,0,1,0,0,10,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,6,0,0,0,11,0,1,0,4,0,0,20,0,0,1,3,0,0,0
2023-05-09T16,180,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,5,0,0,0,0,32,1,0,0,0,0,0,4,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,7,0,1,0,15,0,1,0,6,0,0,30,0,0,0,2,0,0,0
2023-05-09T17,164,3,0,0,0,0,1,1,0,0,1,0,2,0,0,2,0,1,1,0,0,8,0,0,0,0,33,1,0,0,0,0,0,6,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,2,0,2,0,1,0,0,1,0,3,0,0,0,2,6,0,1,0,15,0,1,0,3,0,0,16,0,0,0,0,0,0,0
2023-05-09T18,208,3,0,1,0,0,2,0,0,0,1,0,2,0,0,2,0,6,2,0,0,3,0,0,0,1,50,1,0,0,0,0,0,5,0,0,7,10,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,5,0,3,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,23,2,0,0,0,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,7,0,0,0,10,0,2,0,2,1,0,29,0,0,0,0,0,0,0
2023-05-09T19,209,4,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0,5,3,0,1,3,0,0,0,1,43,0,0,0,0,0,0,3,0,0,13,17,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,9,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,25,2,0,0,0,0,1,0,1,0,2,0,0,3,0,2,1,0,0,2,6,0,0,0,6,0,2,0,1,1,0,26,0,0,0,0,0,0,0
2023-05-09T20,169,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,42,0,0,0,0,0,0,3,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,1,0,0,0,0,0,0,1,0,3,0,0,2,0,1,0,0,0,3,5,0,0,0,5,0,1,0,0,1,0,25,0,0,1,1,0,0,0
2023-05-09T21,134,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,1,4,1,0,0,0,25,0,0,0,0,0,0,1,0,0,4,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,2,0,1,0,0,24,0,0,0,1,0,0,0
2023-05-09T22,136,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,0,19,1,0,0,0,14,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,1,0,0
2023-05-09T23,157,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,19,0,0,0,20,1,0,0,0,12,0,0,0,0,0,0,1,0,0,2,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,0,0,0,1,7,0,0,0,1,0,0,0,3,1,0,40,0,0,0,0,0,0,0
2023-05-10T00,155,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,15,1,0,0,23,1,0,0,0,9,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,0,0,1,1,0,66,0,0,0,0,0,0,0
2023-05-10T01,104,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,11,0,0,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,2,0,0,0,2,0,0,36,0,0,1,0,0,0,0
2023-05-10T02,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,1,0,0,0,1,0,0,34,0,0,0,0,0,0,0
2023-05-10T03,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,1,0,0,0,2,0,0,33,0,0,0,0,0,0,0
2023-05-10T04,76,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,1,0,0,25,0,0,0,0,0,0,0
2023-05-10T05,77,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,2,0,0,0,1,0,0,23,0,0,0,0,0,0,0
2023-05-10T06,76,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0
2023-05-10T07,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,25,0,0,1,0,0,0,0
2023-05-10T08,73,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,0,0,0,1,0,19,0,0,0,0,0,0,0
2023-05-10T09,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,6,0,0,0,2,0,0,28,0,0,0,0,0,0,0
2023-05-10T10,74,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,6,0,1,0,1,0,0,17,0,0,0,0,0,0,0
2023-05-10T11,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,11,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0,4,0,0,0,8,1,0,17,0,0,0,0,0,0,0
2023-05-10T12,113,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,12,0,2,0,0,0,0,1,0,0,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11,0,0,0,3,0,0,0,2,0,0,29,0,0,0,0,2,0,0
2023-05-10T13,108,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,16,0,1,0,0,0,0,1,0,0,6,6,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,4,0,1,0,3,0,0,21,0,0,1,0,0,0,0
2023-05-10T14,169,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,0,0,0,0,29,0,0,0,0,0,0,2,0,1,9,12,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,9,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,3,5,0,0,0,17,0,0,0,7,0,0,28,0,0,0,2,0,0,0
2023-05-10T15,149,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,6,0,0,0,0,26,1,1,1,0,0,0,1,0,0,9,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,15,0,1,0,3,0,0,29,0,0,0,2,0,0,0
2023-05-10T16,156,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,5,0,0,0,0,34,0,0,0,0,0,0,3,0,0,10,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,6,0,0,0,5,0,0,0,3,0,0,26,0,0,0,3,0,0,0
2023-05-10T17,196,3,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,3,3,0,0,1,0,0,0,0,44,3,0,0,0,0,0,11,0,0,8,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,2,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,3,6,0,1,0,6,0,1,0,0,0,0,30,0,0,0,1,0,0,0
2023-05-10T18,232,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7,2,0,1,4,0,0,0,0,58,2,0,0,0,0,0,6,0,0,19,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,2,0,1,0,0,0,1,4,0,0,0,4,6,0,0,0,11,0,1,0,0,0,0,31,0,0,0,0,0,0,0
2023-05-10T19,192,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,4,3,0,1,6,0,0,0,0,42,0,1,0,0,0,0,5,0,0,21,10,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,17,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,6,0,0,0,7,0,2,1,1,0,0,18,0,0,1,0,0,0,0
2023-05-10T20,198,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,4,0,1,6,0,0,0,0,32,0,1,0,0,0,0,4,1,0,8,12,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,19,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,1,0,2,1,0,3,0,4,0,0,0,3,9,0,0,0,8,0,2,1,2,0,0,29,0,0,0,3,0,0,0
2023-05-10T21,175,2,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,6,2,0,2,4,0,0,0,0,22,0,0,0,0,0,0,2,1,1,7,15,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,20,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,1,0,0,1,1,0,0,2,0,0,4,0,3,0,0,0,2,9,0,0,0,4,0,1,0,1,0,0,29,0,0,0,1,0,0,0
2023-05-10T22,146,2,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,8,0,0,2,11,0,0,0,0,19,0,0,0,0,0,0,2,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,1,6,0,0,0,2,0,0,0,0,1,0,38,0,0,0,1,0,0,0
2023-05-10T23,108,5,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,19,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,5,0,0,0,2,0,1,0,1,0,0,24,0,0,0,1,0,0,0
2023-05-11T00,112,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,16,0,0,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,52,0,0,0,0,0,0,0
2023-05-11T01,94,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,14,0,0,1,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0
2023-05-11T02,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
