bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GG,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MK,MM,MN,MU,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-05-07T12,116,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,0,0,0,1,19,1,0,0,0,0,0,1,0,0,4,4,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,4,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,2,0,1,0,0,1,0,3,0,0,0,0,8,0,0,0,5,0,0,0,6,0,0,18,0,0,0,2,0,0,0
2023-05-07T13,138,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,2,0,0,11,0,0,0,0,17,2,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0,1,0,4,0,0,1,2,5,0,0,0,4,0,0,0,12,0,0,20,0,0,1,1,1,0,0
2023-05-07T14,150,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,2,0,0,6,0,0,0,0,20,1,0,0,0,0,0,2,0,0,5,4,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,3,7,0,0,0,12,0,0,0,13,0,0,33,0,0,0,0,1,0,0
2023-05-07T15,133,2,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,4,1,0,0,8,0,1,0,0,25,1,0,0,0,0,0,1,0,0,6,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,2,0,2,0,0,0,0,3,0,0,0,0,6,0,0,0,8,0,1,0,4,0,0,13,0,0,0,0,0,0,0
2023-05-07T16,186,3,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,8,3,0,1,18,0,0,0,0,32,1,1,0,0,1,0,4,0,0,9,9,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,15,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,3,0,3,0,0,0,0,2,0,0,0,0,6,0,0,0,13,0,1,0,2,1,0,19,0,0,0,1,0,0,0
2023-05-07T17,193,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,3,0,0,18,0,0,0,0,48,1,1,0,0,0,0,2,0,0,8,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,4,0,1,0,0,1,0,5,0,0,0,0,8,0,0,0,12,0,0,0,1,1,0,24,0,0,0,0,0,0,0
2023-05-07T18,197,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,14,2,0,0,14,0,0,0,0,43,2,0,0,0,0,0,5,0,0,10,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,6,0,1,0,0,1,0,3,0,0,0,1,8,0,0,0,10,0,3,0,2,0,0,22,0,0,0,0,0,0,0
2023-05-07T19,173,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,8,2,0,0,15,0,0,0,1,28,2,0,0,0,0,0,7,0,0,9,9,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,15,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,11,0,2,0,2,0,0,23,0,0,0,0,0,0,0
2023-05-07T20,166,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,5,0,0,18,0,0,0,0,30,2,0,0,0,0,0,4,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,1,0,0,1,0,3,0,0,0,3,5,0,0,0,10,0,1,0,0,0,0,19,0,0,1,1,0,0,0
2023-05-07T21,146,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,14,0,0,0,0,20,2,0,0,0,0,2,1,0,0,6,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,3,5,0,0,0,7,0,1,0,0,0,0,30,0,0,0,0,0,0,0
