bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BS,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SM,SN,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-11-05T00,138,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,13,0,0,0,0,1,0,0,4,9,0,0,1,0,0,0,0,0,0,0,0,13,0,8,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,1,0,1,1,0,1,49,0,0,0,0,0,1,0
2023-11-05T01,146,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,8,0,0,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,1,0,0,9,0,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,1,0,0,0,0,0,0,0,1,61,0,0,0,0,1,0,1
2023-11-05T02,105,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,1,0,4,0,0,40,0,0,0,0,1,0,0
2023-11-05T03,91,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,9,0,0,0,0,5,0,0,0,0,5,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,36,0,0,0,0,1,0,0
2023-11-05T04,115,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,0,2,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,45,0,0,0,0,1,0,0
2023-11-05T05,98,3,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,1,12,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,39,0,0,0,0,0,0,0
2023-11-05T06,95,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,1,0,0,2,0,0,35,0,0,0,0,0,0,0
2023-11-05T07,164,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0,0,2,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,5,0,0,0,0,2,0,1,3,0,0,91,0,0,0,0,1,0,0
2023-11-05T08,110,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,1,0,0,4,0,5,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,3,0,0,0,4,7,0,0,0,0,1,0,0,2,0,0,25,0,0,0,0,1,0,0
2023-11-05T09,168,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,17,0,0,0,0,15,0,0,0,0,1,0,0,2,4,0,0,3,0,0,1,6,0,1,0,0,6,0,15,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,4,0,0,1,0,0,55,0,0,0,0,0,1,0
