bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,MM,MN,MO,MT,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-12-31T13,119,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,11,0,0,0,0,2,0,0,0,0,0,0,0,3,0,6,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,13,0,1,0,0,0,1,1,0,0,2,0,0,0,2,5,0,0,9,0,1,2,0,24,0,0,0,1,0,0
2023-12-31T14,143,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,6,0,0,0,0,0,14,1,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,1,0,1,1,2,0,3,0,0,0,3,6,0,0,24,0,1,1,0,26,0,0,0,1,0,0
2023-12-31T15,168,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,8,0,0,0,0,0,20,3,0,0,0,0,0,2,0,10,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,2,2,0,3,0,0,0,3,6,0,0,29,0,0,1,0,21,0,0,0,1,0,0
2023-12-31T16,160,2,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,1,11,0,0,0,0,0,24,0,0,0,0,0,0,1,0,15,15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2,0,1,0,2,0,0,0,2,6,0,0,16,0,0,1,1,24,0,0,0,0,0,0
2023-12-31T17,141,0,0,0,0,1,0,0,0,0,2,0,0,2,0,3,0,0,0,0,12,0,0,0,0,0,19,1,0,0,0,0,0,5,0,14,16,0,0,0,0,1,0,0,0,0,0,2,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,2,0,0,0,2,5,0,0,7,0,1,2,0,19,0,0,0,2,0,0
2023-12-31T18,137,1,0,0,0,1,0,0,0,0,3,0,0,1,0,8,0,0,3,0,16,0,0,0,0,0,19,0,0,0,0,0,0,4,0,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,1,5,0,0,16,0,0,1,0,22,0,0,0,0,0,0
2023-12-31T19,142,2,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,16,1,0,0,0,0,0,5,1,3,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,2,2,0,1,0,0,0,1,5,0,0,14,0,1,1,0,26,0,0,0,0,0,0
2023-12-31T20,129,1,0,0,0,1,1,0,0,0,2,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,15,1,0,0,1,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,2,0,1,0,0,0,2,8,0,0,9,0,0,0,0,30,0,0,0,0,0,0
2023-12-31T21,104,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,15,0,0,0,0,0,8,0,0,0,1,0,0,0,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,5,0,0,6,0,0,0,1,35,0,0,0,0,0,0
2023-12-31T22,101,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,10,0,0,0,0,1,11,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,3,0,0,0,1,5,0,0,5,0,2,0,0,27,0,0,0,0,1,0
