bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,ES,ET,FI,FR,GB,GR,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MW,MX,MY,NC,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-11-04T07,80,3,0,0,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,1,1,0,1,1,6,0,0,5,0,0,1,0,0,19,0,0,0,0,0,0,0
2023-11-04T08,104,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,0,1,0,3,0,0,0,2,6,0,0,3,0,0,2,0,0,43,0,0,0,1,0,1,0
2023-11-04T09,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,1,3,4,0,1,0,0,0,0,5,0,1,0,0,6,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,1,0,0,0,2,0,4,0,0,0,1,6,0,0,5,0,0,2,0,0,22,0,0,0,0,0,0,0
2023-11-04T10,128,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,18,0,0,0,0,0,11,0,0,0,1,1,0,5,3,0,1,0,0,0,0,0,0,0,0,0,8,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0,2,0,0,0,1,0,4,0,0,0,3,6,0,0,1,0,0,1,0,0,38,0,0,0,0,0,0,0
2023-11-04T11,132,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,20,0,0,0,0,0,13,0,0,0,4,0,0,4,3,1,1,0,0,0,0,0,0,2,1,0,3,12,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,0,4,0,0,0,4,7,0,0,4,0,0,2,0,0,22,0,0,0,0,0,0,0
2023-11-04T12,164,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,23,0,0,1,0,0,12,1,0,0,2,0,0,5,7,0,3,0,0,0,0,0,0,3,0,0,6,18,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,8,0,0,11,0,0,3,1,0,33,0,0,0,0,0,0,0
2023-11-04T13,140,3,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,21,0,0,0,0,0,12,0,0,0,1,0,0,7,4,0,4,0,0,0,1,0,0,0,0,0,8,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,3,5,0,0,10,0,0,2,0,0,25,0,0,0,1,0,0,0
2023-11-04T14,132,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,0,0,12,6,0,4,0,0,0,0,4,0,1,0,0,7,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,7,0,0,13,0,3,2,0,0,11,0,0,0,1,0,0,0
2023-11-04T15,184,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,5,1,0,0,0,20,0,0,0,0,0,22,0,0,0,1,0,0,11,9,1,5,0,0,0,1,0,0,2,0,0,8,4,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,0,0,6,0,0,0,6,6,0,0,11,0,0,5,0,0,34,0,0,0,0,0,0,0
2023-11-04T16,208,2,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,6,2,0,0,1,4,0,0,0,0,0,23,0,0,0,5,0,0,15,13,0,4,0,0,0,0,0,0,2,1,0,20,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,4,7,1,0,21,0,0,2,0,0,41,0,0,0,0,0,0,0
2023-11-04T17,190,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,10,1,0,0,1,8,0,0,0,0,1,29,0,0,0,4,0,0,11,11,0,3,0,0,0,1,0,0,2,0,0,19,2,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,3,1,0,0,3,6,0,0,11,0,0,2,0,0,37,0,0,0,1,0,0,0
2023-11-04T18,183,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,6,2,0,0,0,3,0,0,0,0,0,31,0,0,0,6,0,0,7,10,0,0,0,0,0,1,0,0,1,0,0,19,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,3,0,2,0,2,0,2,0,0,0,3,8,0,0,21,0,1,2,0,0,31,0,0,0,0,0,0,0
2023-11-04T19,217,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5,1,0,0,0,7,2,0,0,0,0,28,0,0,0,4,0,0,11,11,0,1,0,0,0,2,0,0,4,1,0,11,10,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,4,0,0,0,3,0,4,0,0,0,2,7,0,0,15,0,3,1,0,0,56,0,0,0,1,0,0,0
2023-11-04T20,206,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,11,1,0,0,0,8,1,0,0,0,0,24,0,0,0,3,0,0,14,6,0,1,0,0,0,0,4,0,1,0,0,13,3,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,7,0,0,10,0,3,3,0,0,60,0,0,0,1,0,0,0
2023-11-04T21,148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,1,22,0,0,0,1,0,0,13,9,0,0,0,0,0,0,0,0,0,1,0,21,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,1,0,2,0,3,0,3,0,0,0,3,6,0,0,2,0,3,0,0,0,23,0,0,0,0,0,0,0
2023-11-04T22,167,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,0,0,4,0,0,0,0,0,17,0,0,0,2,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,13,2,0,1,1,0,1,0,2,0,1,0,3,0,0,0,4,6,0,0,3,0,0,3,0,0,39,0,0,1,0,0,1,0
2023-11-04T23,127,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,4,0,0,0,0,0,16,0,0,0,3,0,0,7,9,1,0,0,0,0,0,1,0,0,0,0,13,2,0,0,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,2,7,0,0,2,0,0,0,0,0,24,0,0,0,0,1,0,0
