bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BJ,BN,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MN,MO,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-02T10,133,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,10,0,0,0,0,0,2,0,0,7,6,0,0,5,0,0,0,1,0,0,1,1,0,8,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,4,5,0,0,0,3,0,0,2,0,0,56,0,0,0,0,0,0,0
2023-04-02T11,127,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,0,2,0,1,10,6,0,0,2,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,3,6,0,0,0,6,0,0,3,0,0,24,0,0,0,1,0,0,0
2023-04-02T12,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,17,0,0,0,0,0,3,0,1,9,7,0,0,8,0,0,0,0,0,0,1,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,6,0,0,3,0,0,57,0,0,0,0,0,0,0
2023-04-02T13,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,24,0,0,0,0,0,0,0,1,7,10,0,0,5,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,2,0,0,0,2,7,0,0,0,6,0,0,2,0,0,17,0,0,0,0,0,0,0
2023-04-02T14,176,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,34,0,0,0,0,0,2,0,1,18,9,0,0,3,0,0,0,0,0,1,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,1,0,0,0,5,7,0,0,0,11,0,0,3,0,0,34,0,0,0,0,0,0,0
2023-04-02T15,196,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,5,1,0,0,0,7,1,0,0,33,0,0,0,0,0,4,0,0,25,13,0,0,2,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,10,0,1,1,0,0,41,0,0,1,0,0,0,0
2023-04-02T16,215,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,0,1,0,3,0,0,0,46,1,0,0,0,0,2,0,0,23,13,1,0,2,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,6,0,0,0,9,0,0,2,0,1,46,0,0,1,0,0,0,0
2023-04-02T17,251,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9,2,0,1,0,1,0,0,0,61,2,0,0,0,0,3,0,1,13,16,0,0,2,0,0,0,0,0,0,0,0,0,19,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,11,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,10,6,0,0,0,10,0,0,0,0,0,66,0,0,1,0,0,0,0
2023-04-02T18,224,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,11,1,0,1,0,2,0,0,0,58,2,0,0,0,0,2,0,1,9,13,0,0,2,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,22,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,0,0,8,6,0,0,0,4,0,0,0,0,1,48,0,0,0,0,0,0,0
2023-04-02T19,200,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,15,0,0,0,0,3,0,0,0,32,0,0,0,0,0,2,0,1,11,17,0,0,3,0,0,0,1,0,0,3,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,3,0,0,0,4,7,0,0,0,4,0,0,1,0,1,36,0,0,0,1,0,0,0
