bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,LY,MA,MC,MD,MK,MM,MO,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TJ,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-11T00,100,2,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,9,0,0,0,0,0,1,0,0,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,3,0,0,0,1,0,2,0,38,0,0,0,2,0,0
2023-06-11T01,76,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,24,0,0,0,2,0,0
2023-06-11T02,88,4,0,1,0,2,0,0,0,0,0,1,0,12,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,1,0,2,0,0,0,39,0,0,0,0,0,0
2023-06-11T03,68,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,27,0,0,0,0,0,0
2023-06-11T04,79,1,0,1,0,1,0,0,0,1,0,0,0,8,0,0,0,2,1,0,5,0,1,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,4,0,0,0,2,0,1,0,28,0,0,0,0,0,0
2023-06-11T05,90,1,0,1,0,2,0,0,0,0,0,1,0,9,0,0,2,4,0,0,4,0,1,0,0,0,1,0,0,2,4,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,6,0,0,0,30,0,0,0,0,0,0
2023-06-11T06,84,2,0,1,0,1,0,0,0,0,0,1,0,7,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,2,0,0,0,7,0,1,0,25,0,0,0,0,0,0
2023-06-11T07,63,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,3,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,3,0,0,0,2,0,0,0,21,0,0,0,0,0,0
2023-06-11T08,80,2,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,8,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,4,0,0,0,4,0,1,0,21,0,0,0,0,0,0
2023-06-11T09,77,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,9,0,0,0,0,0,3,0,0,3,6,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,5,0,0,3,0,0,0,2,0,0,0,18,0,0,0,0,0,0
2023-06-11T10,119,2,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,5,0,0,10,0,0,0,0,0,4,0,1,5,8,0,0,0,1,0,0,0,2,1,0,0,7,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,1,1,0,1,0,40,0,0,0,0,0,0
2023-06-11T11,124,5,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,10,0,0,0,0,0,2,0,0,6,8,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,3,2,0,0,0,49,0,0,0,0,0,0
2023-06-11T12,93,3,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,4,0,0,12,0,0,0,0,0,2,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,6,0,0,1,6,0,0,0,13,0,0,0,0,0,0
2023-06-11T13,104,2,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,4,0,0,11,0,0,0,1,0,2,0,0,7,8,0,0,2,0,0,0,0,1,0,0,0,5,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,11,0,0,1,5,0,0,0,12,0,0,0,0,0,0
2023-06-11T14,113,1,0,0,2,1,1,0,0,0,0,1,0,3,1,0,3,4,0,1,13,0,0,0,0,0,3,0,1,9,10,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,7,0,0,10,0,0,2,4,0,0,0,14,0,0,0,0,0,0
2023-06-11T15,134,3,0,0,0,0,1,0,0,0,0,1,0,4,4,0,1,2,0,0,17,0,0,0,1,0,4,0,0,14,7,0,0,1,0,0,0,0,0,1,0,0,15,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,6,1,0,11,0,0,1,4,0,1,0,17,0,0,0,0,0,0
2023-06-11T16,134,1,0,0,0,0,0,0,0,0,0,2,0,3,2,0,1,4,0,1,22,0,0,0,0,0,5,0,0,7,10,0,0,0,0,1,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,2,6,0,0,13,0,0,2,1,0,0,0,17,0,0,0,0,0,0
2023-06-11T17,136,1,0,0,0,0,1,0,2,0,0,2,1,4,0,0,0,2,0,1,26,0,0,0,0,0,3,0,1,9,12,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,2,5,0,0,7,0,0,0,0,0,1,0,16,0,0,0,0,0,0
2023-06-11T18,147,2,0,1,0,0,1,0,3,0,0,2,1,7,0,0,1,1,0,0,33,0,0,0,0,0,4,0,1,7,14,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,3,0,2,0,2,0,3,0,0,0,2,5,0,0,8,0,0,1,1,0,0,0,13,0,0,0,0,0,0
2023-06-11T19,148,1,0,0,1,0,1,0,3,0,0,4,0,15,1,0,0,3,0,0,21,0,0,0,0,0,5,0,1,13,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,3,7,0,0,3,0,0,1,0,0,0,0,19,0,0,0,0,0,0
2023-06-11T20,142,3,0,0,0,0,1,0,2,0,0,2,0,9,0,0,0,2,0,0,26,0,0,0,0,0,4,0,1,11,10,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,3,7,0,0,2,0,0,1,0,0,0,0,25,0,0,0,1,0,0
