bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZM,ZW
2023-12-10T14,141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,21,0,0,0,18,0,0,0,2,0,0,0,1,6,6,0,0,0,5,0,0,1,0,0,0,1,0,0,5,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,1,0,1,0,1,1,1,0,0,0,3,5,0,17,1,4,0,0,0,19,0,0,0,0,0,0
2023-12-10T15,152,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,21,0,0,0,21,1,0,0,1,0,0,0,0,11,9,0,0,0,1,0,0,1,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,1,0,4,0,1,0,2,0,3,5,0,18,0,3,0,0,0,22,0,0,0,0,0,0
2023-12-10T16,148,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,10,0,0,0,24,0,0,0,0,0,1,0,0,11,7,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,3,0,0,0,2,1,4,5,1,13,1,4,0,0,0,19,0,0,0,1,0,0
2023-12-10T17,172,1,0,0,1,0,0,0,2,0,0,0,0,0,0,5,0,0,0,7,0,0,0,26,0,0,0,0,0,4,0,1,12,14,0,0,0,0,0,0,2,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,3,0,0,0,2,0,5,5,0,16,1,3,0,0,0,27,0,0,2,1,0,0
2023-12-10T18,155,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,7,0,0,1,38,3,0,0,0,0,4,0,0,3,8,0,0,0,0,0,1,1,0,0,0,1,0,1,12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,4,0,1,0,3,0,4,5,2,5,0,2,0,0,0,19,0,0,0,1,0,0
2023-12-10T19,196,1,0,0,1,0,1,0,3,0,0,0,0,0,0,4,1,0,0,9,0,0,0,37,0,0,0,0,0,4,0,0,10,15,0,0,0,1,0,1,1,0,0,0,1,1,1,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,0,0,0,1,0,3,0,0,1,1,0,3,7,3,5,0,6,0,0,0,42,0,0,0,0,0,0
2023-12-10T20,194,1,0,0,0,0,0,0,2,1,0,0,0,0,0,8,0,0,0,6,0,0,0,23,0,0,0,0,0,1,0,0,2,14,0,0,0,2,0,1,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,1,0,0,0,0,1,2,1,0,1,2,0,2,5,1,4,0,4,0,1,0,78,0,0,2,2,0,0
2023-12-10T21,179,0,0,0,0,0,0,0,1,1,0,0,1,0,0,6,1,0,0,8,0,0,0,20,0,0,0,0,0,2,0,0,1,10,0,0,0,1,0,1,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0,1,1,0,0,2,0,4,6,0,5,1,3,0,0,0,70,0,0,0,0,0,0
2023-12-10T22,141,0,0,0,0,0,1,0,0,2,0,0,2,0,0,11,2,0,0,6,0,0,0,14,0,0,0,0,0,1,1,0,4,9,0,0,0,0,0,1,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,1,3,0,2,6,0,6,2,4,0,0,0,28,0,0,1,0,0,0
2023-12-10T23,106,0,0,0,0,1,0,1,0,1,0,0,2,0,0,7,1,0,0,4,0,0,0,10,0,0,0,0,0,1,0,0,4,8,0,0,0,0,0,0,0,2,3,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,1,5,0,1,1,2,0,0,0,33,0,0,0,0,0,0
2023-12-11T00,121,3,0,1,0,0,0,1,0,1,0,0,0,0,0,11,1,0,0,7,1,0,0,7,0,0,0,0,0,2,0,1,6,5,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,2,0,0,0,1,0,1,8,0,2,0,1,0,0,0,44,0,0,0,0,0,0
2023-12-11T01,95,1,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,6,1,0,0,5,0,0,0,0,0,1,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,3,0,2,8,0,3,0,1,0,0,0,33,0,0,0,0,0,0
2023-12-11T02,107,1,0,0,0,0,0,0,1,1,0,0,1,0,0,8,0,0,0,7,0,0,0,5,0,0,1,0,0,1,0,0,3,7,0,0,0,0,0,0,0,1,0,0,1,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,4,0,1,6,0,3,1,3,0,0,0,38,0,0,0,0,0,0
2023-12-11T03,110,3,0,0,0,0,0,0,1,1,0,0,1,0,0,7,0,0,0,8,0,0,0,5,0,0,1,0,0,0,0,0,2,6,0,0,0,2,0,0,0,1,0,0,1,0,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,1,0,0,4,0,1,7,0,1,1,1,0,0,0,33,0,0,0,0,0,0
2023-12-11T04,90,3,1,0,0,1,0,0,0,1,0,0,1,0,0,9,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,6,0,1,0,1,0,0,0,31,0,0,0,0,0,0
2023-12-11T05,80,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,3,0,1,5,0,3,1,2,0,0,0,31,0,0,0,0,0,0
2023-12-11T06,82,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,2,5,0,4,1,2,0,0,0,34,0,0,1,1,0,0
2023-12-11T07,62,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,2,0,1,5,0,5,0,2,0,0,0,19,0,0,0,0,0,0
2023-12-11T08,69,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,3,0,3,0,0,0,27,0,0,0,0,0,0
