bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TL,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2023-11-12T12,124,2,0,0,0,2,0,0,0,2,0,1,0,2,1,0,0,0,4,0,0,0,0,1,16,0,0,0,0,0,0,2,0,0,8,4,0,0,3,0,0,0,1,0,0,0,0,0,7,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,3,8,0,0,0,8,0,0,0,6,0,18,0,0,2,1,0
2023-11-12T13,151,2,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,5,1,0,0,0,0,15,0,1,0,0,0,0,1,0,0,9,5,0,0,8,0,0,1,1,0,2,0,0,0,5,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,2,0,1,0,2,0,0,2,0,5,0,0,3,8,0,0,0,12,0,0,1,5,1,28,0,0,0,0,0
2023-11-12T14,176,3,0,0,1,1,0,0,0,0,0,1,0,9,1,0,0,0,9,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,15,7,0,0,4,0,0,1,1,1,1,0,0,0,10,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,4,0,1,0,0,1,0,5,0,0,3,7,0,0,0,11,0,0,1,3,0,30,0,0,0,0,0
2023-11-12T15,163,2,0,1,1,1,0,0,0,1,0,3,0,5,3,0,0,0,6,0,0,0,0,1,24,0,0,0,0,0,0,2,0,0,12,8,0,0,2,0,1,1,0,1,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,1,0,5,0,0,4,6,0,0,0,14,0,0,0,3,0,30,0,0,0,0,1
2023-11-12T16,184,1,0,0,0,2,2,0,1,1,0,2,0,8,1,0,0,0,3,0,0,0,0,0,30,0,0,1,0,0,0,2,0,1,18,8,0,0,5,0,1,0,1,0,2,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,2,0,1,0,0,0,0,7,0,0,6,7,0,0,0,10,0,0,1,3,0,26,0,0,0,0,0
2023-11-12T17,180,1,0,1,0,1,1,0,0,1,0,2,0,6,0,0,0,0,5,0,0,0,0,0,31,2,0,0,0,0,0,2,0,0,13,10,0,0,4,0,0,1,1,0,1,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,3,0,0,0,0,2,0,4,0,0,5,6,0,0,0,10,0,0,1,3,0,21,0,0,0,0,0
2023-11-12T18,194,3,0,1,1,1,1,0,0,2,0,1,0,9,1,0,0,0,3,0,0,0,0,0,36,2,0,0,2,0,0,3,0,0,7,14,0,0,0,0,1,0,1,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,9,6,0,0,0,13,0,0,1,2,0,29,0,0,1,0,0
2023-11-12T19,210,3,0,5,0,1,1,0,0,1,0,0,0,11,0,0,0,1,2,0,0,0,0,0,35,1,0,0,0,0,0,5,0,0,8,24,0,0,2,0,0,0,1,0,0,0,1,0,24,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,8,0,1,0,0,0,0,2,0,0,2,5,0,0,0,7,0,0,1,0,0,32,0,1,1,1,0
2023-11-12T20,182,2,0,4,0,1,0,0,0,3,0,1,0,10,1,0,1,0,1,0,0,0,0,1,24,2,0,0,0,0,0,3,0,0,10,15,0,0,1,0,0,0,2,0,1,0,1,0,22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,3,0,1,0,0,2,0,3,0,1,3,6,0,0,0,12,0,0,0,1,0,27,0,0,0,0,0
2023-11-12T21,181,1,0,1,0,1,1,0,0,1,0,1,0,6,2,0,2,0,1,0,0,0,0,0,21,0,0,0,0,0,0,2,0,0,10,16,0,0,0,0,0,0,0,0,1,0,0,0,22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,1,5,0,0,0,4,0,0,1,0,0,62,0,0,0,0,0
2023-11-12T22,140,2,0,1,0,1,1,0,0,1,0,2,0,7,2,0,2,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,5,0,0,0,15,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,4,0,0,1,0,2,0,0,2,6,0,0,0,1,0,0,1,1,0,19,0,0,1,0,0
2023-11-12T23,121,2,0,2,0,1,1,0,0,0,1,1,0,7,1,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,9,3,0,0,0,0,0,0,0,0,2,0,0,0,6,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,4,0,0,1,0,3,0,0,1,6,0,0,0,1,0,0,0,0,0,34,0,0,1,0,0
2023-11-13T00,90,1,1,0,0,1,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,1,0,0,1,0,0,36,0,0,0,0,0
