bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JP,KE,KH,KM,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MQ,MT,MU,MV,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SZ,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZW
2023-01-01T12,153,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,4,0,0,5,3,0,0,3,0,0,0,1,0,0,0,0,0,9,0,11,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,3,0,1,1,0,0,71,0,0,0,0,0,0,0
2023-01-01T13,102,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,5,0,0,0,9,0,3,3,0,0,15,0,0,0,1,0,0,0
2023-01-01T14,188,5,0,0,0,0,1,1,0,0,3,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,4,6,0,0,6,0,0,0,1,0,1,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,10,0,0,3,0,0,90,0,0,0,2,0,0,0
2023-01-01T15,181,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,52,0,0,0,0,0,0,0,0,4,9,0,0,2,0,0,0,2,0,0,0,0,0,12,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,13,0,1,1,0,0,49,0,0,0,0,0,1,0
2023-01-01T16,182,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,8,1,0,0,0,39,0,0,0,0,0,0,0,1,8,14,0,0,2,0,0,1,0,0,2,0,0,0,13,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,6,0,0,0,18,0,1,1,0,0,37,0,0,0,1,0,0,0
2023-01-01T17,207,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,26,0,0,0,0,0,1,0,0,26,11,0,0,3,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,15,0,1,0,0,0,54,0,0,0,0,0,0,0
2023-01-01T18,168,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,34,0,0,0,0,0,1,0,0,5,11,0,0,2,0,0,0,1,0,0,0,0,0,18,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,7,0,0,0,4,0,1,0,0,0,32,0,0,0,0,0,0,0
2023-01-01T19,173,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,1,0,0,0,5,0,0,0,0,35,0,0,0,0,0,4,0,1,8,16,0,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,6,0,0,0,3,0,1,0,0,0,26,0,0,0,0,0,1,0
2023-01-01T20,190,3,0,0,0,1,0,0,0,0,2,0,0,0,2,0,13,1,0,0,0,6,0,0,0,0,43,0,0,0,0,0,3,0,0,8,13,0,0,2,0,0,0,1,0,1,0,0,0,20,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,3,7,0,0,0,4,0,0,0,1,0,35,0,0,1,1,0,0,0
2023-01-01T21,233,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,9,1,0,1,0,5,0,0,0,0,31,0,0,0,0,0,6,1,0,24,13,0,0,3,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,2,7,0,0,0,0,0,1,0,0,0,62,0,0,1,1,0,0,0
