bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MK,MM,MN,MO,MR,MU,MV,MW,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,TG,TH,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-23T00,117,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,8,0,0,3,0,0,1,14,1,0,0,0,0,3,1,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,7,0,0,0,0,0,0,3,0,0,43,0,0,0,0,0,0,0
2023-04-23T01,122,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,6,0,2,5,0,0,1,11,0,0,0,0,0,3,0,2,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,0,6,0,0,46,0,0,0,2,0,0,0
2023-04-23T02,102,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,11,0,3,8,0,0,1,7,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,2,0,0,33,0,0,0,1,0,0,0
2023-04-23T03,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,1,7,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1,1,0,4,0,1,29,0,0,0,0,0,0,0
2023-04-23T04,109,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,7,0,0,7,0,0,1,6,0,0,0,0,0,1,0,3,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,2,0,0,40,0,0,0,0,1,0,0
2023-04-23T05,74,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,3,0,0,3,0,0,1,5,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,5,0,1,29,0,0,0,0,0,0,0
2023-04-23T06,90,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,5,0,0,1,6,0,0,0,0,0,1,0,5,1,0,0,0,2,0,0,1,0,0,0,4,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,5,0,0,26,0,0,0,0,0,0,0
2023-04-23T07,87,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,5,0,0,5,0,0,1,10,1,0,0,0,0,1,0,3,3,0,0,0,4,1,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,2,0,0,20,0,0,0,2,0,0,0
2023-04-23T08,73,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,12,0,0,0,0,0,2,0,4,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,4,0,0,14,0,0,0,1,0,0,0
2023-04-23T09,83,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,12,0,0,0,0,0,1,0,5,6,0,0,0,1,0,0,1,0,0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,3,0,0,5,0,0,13,0,0,1,0,0,0,0
2023-04-23T10,114,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,2,0,19,0,0,1,17,0,0,0,0,0,1,1,8,4,0,0,1,3,0,0,0,0,0,0,4,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,7,0,0,0,2,1,0,2,0,0,16,0,0,1,0,0,0,0
2023-04-23T11,104,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,15,0,0,1,17,1,0,0,0,0,1,1,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,5,0,0,0,1,0,0,4,0,0,22,0,0,0,0,0,0,0
2023-04-23T12,109,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,19,0,0,1,16,1,0,0,0,0,2,2,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,8,0,0,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0
2023-04-23T13,139,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,16,0,0,1,22,0,0,0,0,0,2,1,14,5,0,0,0,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,6,0,0,0,11,1,0,2,0,1,31,0,0,0,1,0,0,0
2023-04-23T14,210,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,2,3,17,0,0,1,35,0,0,0,0,0,4,0,15,9,0,0,0,1,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,1,6,0,0,0,9,0,0,5,0,0,57,0,0,0,1,0,0,0
2023-04-23T15,204,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,3,2,0,15,0,0,1,35,0,0,0,0,0,8,1,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,6,0,0,0,4,0,0,6,0,0,65,0,0,0,0,0,0,0
2023-04-23T16,173,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,6,0,0,1,44,0,0,0,0,0,8,0,14,12,0,0,0,0,0,0,3,0,0,0,5,0,0,9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,5,0,0,0,9,0,0,3,0,0,22,0,0,0,0,0,0,0
2023-04-23T17,200,2,0,0,0,0,0,0,0,1,0,0,3,0,0,1,2,0,5,2,0,3,0,0,1,43,0,0,0,0,0,5,0,12,17,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,7,6,0,0,0,7,0,0,4,0,1,34,0,0,0,0,0,0,0
2023-04-23T18,195,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,10,1,1,2,0,0,1,44,1,0,0,0,0,7,0,11,21,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,18,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,1,0,1,0,0,30,0,0,0,1,0,0,0
2023-04-23T19,208,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,13,2,2,1,0,0,1,38,1,0,0,0,0,4,0,9,17,0,0,1,0,0,0,1,0,0,0,5,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,3,0,2,0,0,1,0,4,0,0,5,7,0,0,0,5,1,0,4,0,0,41,0,0,0,0,0,1,0
2023-04-23T20,186,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,9,3,1,2,0,0,1,28,1,0,0,0,0,3,0,10,9,0,0,0,0,0,0,1,0,0,0,4,0,3,15,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,4,7,0,0,0,6,1,0,3,0,0,34,0,0,0,0,0,0,0
