bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BO,BR,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GL,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MG,MK,MM,MN,MO,MU,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SY,TG,TH,TM,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2023-07-16T14,143,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,0,0,0,1,10,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,5,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,3,1,0,0,0,0,1,0,0,1,0,0,8,0,0,0,9,0,0,1,5,0,0,0,15,0,0,0,0,1,0,0,0
2023-07-16T15,160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,18,0,0,0,0,24,0,0,0,0,0,2,0,0,6,8,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,3,2,0,0,0,0,2,0,0,0,0,1,6,0,0,0,9,0,0,0,2,0,0,0,45,0,0,0,0,1,0,0,0
2023-07-16T16,173,3,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,2,0,1,20,0,0,0,0,15,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,2,0,0,0,0,3,0,0,0,0,1,6,0,0,0,9,0,0,2,4,0,1,1,55,0,0,0,0,0,0,0,0
2023-07-16T17,189,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,3,0,1,25,0,0,0,0,24,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,4,0,0,1,0,0,0,4,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,1,5,0,0,0,9,0,0,0,2,0,0,0,62,1,0,0,0,0,0,0,0
2023-07-16T18,198,4,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,8,2,0,1,21,0,0,0,0,38,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,2,1,0,0,4,0,1,0,0,0,0,1,7,0,0,0,10,0,0,1,2,0,1,0,44,0,0,0,0,0,0,0,0
2023-07-16T19,317,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,12,3,0,0,27,0,0,0,0,41,0,0,0,0,0,1,0,0,9,12,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,7,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0,1,0,147,0,0,0,0,1,0,0,0
2023-07-16T20,204,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,2,0,0,16,0,0,0,1,18,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,1,6,0,0,0,4,0,0,2,0,0,1,0,62,0,0,0,0,1,0,0,0
2023-07-16T21,159,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,25,0,0,0,1,15,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,14,0,6,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,14,0,0,0,3,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0
2023-07-16T22,146,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,19,0,0,0,0,6,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,40,0,0,0,0,1,0,0,0
2023-07-16T23,168,1,0,0,0,2,1,0,0,0,0,1,0,0,0,4,0,0,13,0,0,0,21,0,0,0,0,4,0,0,0,0,0,2,1,0,5,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,7,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,2,0,0,0,0,0,1,0,75,0,0,0,0,1,0,0,0
2023-07-17T00,175,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,23,0,0,0,0,20,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
2023-07-17T01,164,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,21,0,0,1,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,97,0,0,0,0,0,0,0,0
