bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SN,TH,TM,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZM,ZW
2023-05-28T13,110,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,9,1,0,0,0,12,1,0,0,0,0,0,0,0,1,6,3,0,0,9,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,5,0,0,6,0,0,1,3,1,0,17,0,0,1,0,0,0
2023-05-28T14,124,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,13,1,0,0,0,16,0,0,0,0,0,0,3,0,0,10,5,0,0,2,0,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,6,0,0,12,0,0,0,4,1,0,20,0,0,0,0,0,0
2023-05-28T15,131,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,14,1,0,1,0,15,0,0,0,0,2,0,0,0,1,13,6,1,0,1,0,0,0,0,0,2,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,3,0,3,0,1,0,3,0,0,0,0,7,0,0,5,0,0,0,2,0,0,19,0,0,0,0,0,0
2023-05-28T16,126,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,11,1,0,0,0,14,0,0,0,0,1,0,3,0,0,14,5,0,0,1,0,1,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,5,0,0,4,0,0,0,2,1,0,22,0,1,0,0,0,0
2023-05-28T17,144,4,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,1,2,2,1,0,0,0,25,1,0,0,0,0,0,6,0,1,8,6,0,0,1,0,0,0,0,0,1,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,6,0,0,10,0,0,0,1,2,0,30,0,1,0,0,0,0
2023-05-28T18,172,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,8,0,1,2,1,0,0,2,36,0,0,0,0,0,0,5,0,0,6,16,0,0,1,0,0,0,0,0,3,0,0,7,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,10,0,0,14,0,0,2,0,0,0,21,0,0,1,0,0,0
2023-05-28T19,157,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,11,1,1,2,1,0,0,0,20,0,0,0,0,0,0,5,0,0,8,12,0,0,2,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,2,9,0,0,7,0,0,0,0,0,0,20,0,0,1,0,0,0
2023-05-28T20,137,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,1,0,2,1,0,0,0,19,0,0,0,0,0,0,1,0,0,7,13,0,0,0,0,1,0,0,0,1,0,0,22,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,3,0,0,1,1,0,0,0,2,5,0,0,8,0,0,2,0,0,0,15,0,0,0,0,0,0
2023-05-28T21,124,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,1,1,4,1,0,0,1,17,0,0,0,0,0,0,3,1,0,5,8,0,0,0,0,1,0,0,0,1,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,5,0,0,4,0,0,1,1,1,0,24,0,0,0,0,0,0
2023-05-28T22,130,5,1,0,3,0,1,0,0,0,0,0,0,0,1,0,3,1,1,3,1,0,0,0,18,0,0,0,0,0,0,3,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,13,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,6,0,0,2,0,0,1,1,0,0,24,0,0,0,0,0,0
2023-05-28T23,101,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,6,1,0,0,0,9,0,0,0,0,0,0,3,0,0,4,11,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0
