bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JP,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TM,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-09T12,113,4,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,0,11,0,0,0,0,1,0,1,4,6,0,0,1,0,11,0,0,0,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,2,0,2,5,0,0,17,0,0,0,2,1,0,0
2023-04-09T13,139,5,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,9,1,0,0,0,10,1,0,0,0,2,0,1,8,6,0,0,1,0,11,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,5,0,2,11,0,0,29,0,0,0,1,0,0,0
2023-04-09T14,127,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,1,12,0,0,0,0,1,0,0,7,6,0,0,0,0,10,0,2,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,2,7,0,0,0,5,0,2,12,0,0,20,0,0,0,0,0,0,0
2023-04-09T15,134,1,0,0,0,1,0,0,0,1,0,0,0,0,5,1,1,0,8,1,0,0,0,15,0,0,0,1,1,0,0,2,7,0,0,0,0,8,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,3,7,0,0,0,8,0,3,4,0,0,21,0,0,0,0,0,0,0
2023-04-09T16,121,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,2,0,0,0,0,18,0,0,0,0,2,0,0,12,6,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,3,7,0,0,0,7,0,0,2,1,0,21,0,0,0,0,0,0,0
2023-04-09T17,138,1,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1,0,0,0,0,0,0,29,0,0,0,0,1,0,1,10,11,0,0,0,0,2,0,2,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,0,0,5,8,0,0,0,4,0,3,0,0,0,17,0,0,1,0,0,0,0
2023-04-09T18,148,1,0,0,0,0,1,0,0,4,0,0,2,0,7,1,0,0,3,1,0,0,1,37,0,0,0,0,3,0,1,2,14,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,3,5,0,0,0,2,0,2,0,0,0,20,0,0,0,0,0,0,0
2023-04-09T19,170,2,0,1,0,0,0,0,1,1,0,0,0,0,10,3,0,0,5,1,0,0,1,33,0,0,0,0,4,0,0,6,13,0,0,0,0,4,0,0,0,0,2,0,9,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,2,0,0,2,0,3,0,1,4,8,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0
2023-04-09T20,159,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,31,0,0,0,0,3,0,1,5,11,0,0,0,0,3,0,0,0,0,2,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,2,0,0,3,0,1,0,0,1,7,0,0,0,1,0,1,0,0,0,28,0,0,0,1,0,0,0
2023-04-09T21,136,2,0,0,0,0,0,0,0,1,0,0,2,0,4,2,0,1,0,0,0,0,0,21,0,0,0,0,1,0,2,6,11,0,0,0,0,1,0,2,0,0,1,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,11,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0
2023-04-09T22,130,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,14,0,0,0,0,13,0,0,0,0,2,0,1,5,9,0,0,0,0,2,0,2,0,0,1,0,15,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,7,0,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0
2023-04-09T23,103,2,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,16,0,0,0,0,10,1,0,0,0,2,0,1,4,4,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0
2023-04-10T00,132,1,0,2,0,0,0,0,0,0,0,0,2,0,6,1,0,0,15,0,0,0,0,7,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,5,0,0,0,1,0,0,0,0,0,64,0,0,0,0,1,0,0
2023-04-10T01,122,1,0,1,0,0,0,0,1,1,0,0,3,0,4,1,0,0,14,0,0,0,0,3,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0,67,0,0,0,0,0,0,1
