bucket,total,--,AD,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KR,KZ,LB,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TM,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-05-21T12,111,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,13,0,0,0,0,0,0,4,0,0,3,4,0,0,0,2,0,0,0,0,0,1,0,1,6,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,7,0,0,7,0,0,0,5,0,0,14,0,0,0,0,0,0
2023-05-21T13,133,3,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,21,0,0,1,12,1,0,0,0,0,0,3,0,0,8,5,0,0,0,12,0,0,0,0,0,0,0,1,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,5,0,0,10,0,0,0,9,0,0,14,0,0,0,0,0,0
2023-05-21T14,157,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,3,0,25,0,0,1,16,0,0,0,0,0,0,2,0,1,8,9,2,0,0,2,0,0,0,0,1,1,0,0,15,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,5,0,0,15,0,0,0,8,0,0,15,0,0,0,1,0,0
2023-05-21T15,142,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,19,0,0,1,15,0,0,0,0,0,0,4,0,0,10,6,0,0,0,3,0,0,0,0,0,0,0,0,16,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,2,5,0,0,12,0,1,0,2,0,0,12,0,0,0,1,0,0
2023-05-21T16,160,4,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,9,1,0,1,14,1,0,0,0,0,0,8,0,0,7,12,0,0,0,0,0,0,0,0,0,6,0,0,18,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,3,5,0,0,15,0,3,0,0,0,2,23,0,0,0,0,0,0
2023-05-21T17,157,4,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,4,2,0,1,0,7,0,0,1,26,1,0,0,0,0,0,9,0,0,4,14,0,0,0,1,0,1,0,1,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,3,5,0,0,11,0,4,0,3,0,0,22,0,0,0,0,1,0
2023-05-21T18,176,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,2,0,1,0,3,0,0,0,23,0,0,0,0,0,0,8,0,0,2,19,0,0,0,0,0,1,0,0,0,2,0,0,6,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,4,6,0,0,8,0,0,0,1,0,0,37,0,0,0,0,1,0
2023-05-21T19,169,1,0,0,0,0,0,2,0,1,1,0,2,0,0,1,0,8,2,0,1,0,7,0,0,1,30,1,0,0,0,0,0,6,0,0,3,16,0,1,0,1,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,4,7,0,0,8,0,1,0,0,0,0,25,0,0,0,0,1,0
2023-05-21T20,158,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,3,0,0,0,7,0,0,1,22,0,0,0,0,0,0,5,0,0,9,15,0,0,0,1,0,0,0,0,0,0,0,0,22,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,8,0,0,5,0,1,0,1,0,0,24,0,0,0,0,0,0
2023-05-21T21,125,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,6,1,0,0,13,0,0,0,0,0,0,4,0,0,5,11,0,0,1,2,0,0,0,0,0,1,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,10,0,0,3,0,2,0,0,0,0,24,0,0,0,0,0,0
