bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SC,SE,SG,SI,SK,TG,TH,TL,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-12-03T12,102,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,2,1,0,0,0,4,0,0,0,0,7,1,0,0,0,0,0,1,0,4,7,0,0,2,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10,0,0,0,0,0,0,2,0,0,0,2,4,2,0,0,0,5,0,0,0,7,0,0,0,6,0,0,19,0,0,0,0,0,0,0
2023-12-03T13,133,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,1,0,8,7,0,0,3,0,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,3,0,4,0,1,0,2,4,0,0,1,0,5,0,0,0,8,0,0,0,3,0,0,39,0,0,0,0,0,0,0
2023-12-03T14,137,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,0,0,1,1,22,0,0,0,0,0,0,0,0,7,6,0,0,3,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,15,0,0,0,0,0,0,4,1,0,0,2,3,1,0,0,1,5,0,0,0,11,0,0,1,3,0,0,24,0,0,0,0,0,1,0
2023-12-03T15,146,2,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,5,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,3,0,13,7,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,10,0,0,0,0,0,1,4,1,0,0,2,6,0,0,0,2,5,0,1,0,7,0,0,0,2,0,0,32,0,0,0,0,0,0,0
2023-12-03T16,142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,1,22,0,0,0,0,2,0,4,0,22,7,0,0,0,0,0,1,0,0,1,0,0,0,18,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,10,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,5,0,0,0,7,0,0,0,2,0,0,20,0,0,0,0,0,0,0
2023-12-03T17,172,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,6,0,0,0,1,21,0,0,0,0,1,0,5,0,22,10,0,0,2,0,0,0,0,0,2,0,0,0,19,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,1,0,0,0,3,1,0,0,0,5,0,0,0,1,5,0,0,0,9,0,0,0,0,0,0,33,0,0,0,0,0,1,0
2023-12-03T18,165,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,1,0,0,0,5,0,0,0,0,28,1,0,0,0,0,1,9,0,13,9,0,0,1,0,0,0,0,0,3,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,12,0,0,0,0,0,0,2,1,0,0,1,4,0,0,0,2,5,0,0,0,5,0,0,1,0,0,0,25,0,0,0,0,0,1,0
2023-12-03T19,181,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,10,2,0,0,0,4,0,0,0,0,29,2,0,0,0,0,1,5,2,9,18,0,0,1,0,0,0,0,0,0,0,1,0,12,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,3,7,0,1,0,6,0,0,1,0,0,0,32,0,0,0,0,0,0,0
2023-12-03T20,159,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,9,2,0,0,0,6,0,0,0,1,27,1,0,0,0,0,0,5,0,7,12,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,7,0,2,0,1,0,0,1,0,0,0,36,0,0,0,0,0,1,0
2023-12-03T21,128,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,2,0,1,0,4,0,0,0,1,14,0,0,0,0,0,0,2,0,5,11,0,0,1,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,6,0,1,0,2,0,0,1,0,0,0,38,0,0,0,0,0,1,0
