bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KR,KZ,LB,LT,LU,LV,MA,MK,MM,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SV,SY,TH,TN,TR,TW,UA,US,UY,VN,ZA,ZM
2023-09-03T14,141,2,0,0,0,2,2,0,0,0,0,0,3,0,1,1,1,0,14,0,0,0,0,0,15,0,0,0,0,1,0,2,7,5,0,0,4,0,0,0,3,0,0,0,0,7,11,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,7,0,0,0,0,9,0,0,7,1,22,0,0,0,0
2023-09-03T15,144,2,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,14,0,0,0,0,0,16,0,0,0,0,4,0,0,11,7,0,0,2,0,1,0,3,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,2,0,1,1,0,1,0,0,0,3,7,0,0,0,0,12,0,0,5,0,27,0,1,0,0
2023-09-03T16,136,2,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,11,0,0,0,0,0,24,1,0,0,0,6,0,0,12,7,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,4,7,0,0,0,0,11,0,0,4,0,15,0,0,0,0
2023-09-03T17,169,3,0,0,0,1,1,0,0,0,1,0,1,0,5,0,0,0,10,0,0,0,0,0,29,1,0,0,0,3,0,0,13,10,0,0,1,1,0,0,0,6,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,3,0,1,1,0,1,1,0,0,4,6,0,0,1,0,8,0,1,1,0,34,0,1,0,0
2023-09-03T18,189,2,0,0,1,1,0,0,1,0,1,0,2,0,6,1,1,0,15,1,0,0,0,0,27,1,0,0,0,6,0,0,11,13,0,0,1,1,0,0,2,6,0,0,0,7,2,0,2,1,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,1,0,5,0,0,1,0,2,0,0,0,1,6,0,0,0,0,7,0,1,3,0,33,0,1,0,0
2023-09-03T19,191,1,0,0,0,2,0,0,0,0,0,0,2,0,8,4,1,0,11,0,0,0,0,0,21,1,0,0,0,2,0,1,10,8,0,0,1,1,0,0,0,0,0,0,0,3,13,0,2,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,5,0,0,0,0,9,0,2,4,1,55,0,0,0,0
2023-09-03T20,157,1,0,0,0,0,0,0,1,0,0,1,1,0,4,2,1,0,12,0,0,0,0,0,21,1,0,0,0,1,0,0,13,10,0,0,1,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2,5,0,0,0,0,8,0,0,2,0,22,0,0,0,0
2023-09-03T21,127,3,0,0,0,2,1,0,1,0,0,1,3,0,4,1,0,0,16,0,0,0,0,0,14,1,0,0,0,1,0,0,10,6,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,6,0,0,0,0,3,0,0,2,1,19,0,0,0,0
2023-09-03T22,163,1,0,0,0,0,0,0,0,0,0,1,4,0,9,2,0,0,4,0,0,0,0,0,11,1,0,0,0,2,0,0,15,4,0,0,1,0,0,0,0,4,0,0,0,9,1,0,4,0,0,0,1,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,5,0,0,0,0,2,0,0,2,0,63,0,0,0,0
2023-09-03T23,121,1,0,0,0,0,0,0,0,0,0,1,2,0,9,0,0,0,5,0,0,0,0,0,8,1,0,0,0,3,0,1,4,8,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,2,0,49,0,0,0,0
2023-09-04T00,101,2,0,0,0,0,0,0,0,0,0,1,3,0,9,0,0,0,3,0,0,0,0,0,7,1,0,0,0,2,0,0,3,4,0,0,1,0,0,7,0,2,0,0,0,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,1,2,0,32,0,1,0,0
2023-09-04T01,75,1,0,0,2,0,0,0,0,0,0,1,2,0,8,0,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,32,0,0,0,0
2023-09-04T02,81,2,0,0,0,0,0,0,0,0,0,1,2,0,10,1,0,0,5,0,0,0,0,0,5,1,0,0,0,1,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,5,0,0,0,0,4,0,0,2,0,26,0,0,0,0
2023-09-04T03,87,1,0,0,0,1,0,0,0,0,0,1,1,0,7,0,0,0,3,0,0,0,0,0,6,1,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,6,0,34,0,0,0,0
2023-09-04T04,97,5,0,0,0,1,0,0,0,0,0,2,2,0,8,0,0,0,4,1,0,0,0,0,5,1,0,0,0,0,0,0,5,5,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,3,0,0,1,0,2,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,2,1,30,0,0,0,0
2023-09-04T05,75,2,0,0,0,0,0,0,0,1,0,1,1,0,4,1,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,3,0,24,0,0,0,0
2023-09-04T06,82,2,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,2,5,0,0,0,1,1,0,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,1,0,2,3,0,0,1,5,0,0,0,0,1,0,0,7,0,22,0,1,0,0
2023-09-04T07,85,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,6,0,0,0,0,0,6,1,0,0,0,2,0,0,0,5,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,5,0,28,0,0,1,0
2023-09-04T08,66,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,7,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,1,8,0,16,0,0,1,0
2023-09-04T09,88,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,0,1,0,0,5,6,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,5,0,0,0,0,3,0,0,8,1,18,0,0,0,0
2023-09-04T10,95,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,12,0,0,0,0,0,9,1,0,0,0,1,0,0,5,7,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,6,0,0,1,0,2,0,0,9,0,15,0,0,0,0
2023-09-04T11,99,2,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,11,0,0,0,0,0,7,1,0,0,0,1,0,2,3,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,6,0,0,0,0,3,0,0,13,1,16,0,0,1,1
2023-09-04T12,110,3,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,15,0,0,0,0,0,13,1,0,0,0,2,0,0,5,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,12,0,0,9,1,15,0,0,0,0
2023-09-04T13,139,3,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,12,1,0,0,0,1,12,1,0,0,0,0,0,1,4,5,0,0,4,0,2,0,0,1,0,1,0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,5,1,0,0,0,3,0,3,0,0,0,2,5,0,0,0,0,11,0,0,12,0,26,0,1,0,0
2023-09-04T14,134,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,1,14,1,0,0,0,2,0,0,9,6,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,2,0,1,1,0,0,1,0,0,1,5,0,0,0,0,9,0,1,10,0,33,0,0,0,0
2023-09-04T15,129,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,12,1,0,0,0,0,12,1,0,0,0,2,0,0,5,7,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,3,5,0,0,0,0,11,0,1,8,1,30,0,0,0,0
