bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MO,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-02-26T12,158,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,23,0,0,0,0,0,29,0,0,0,0,0,0,6,0,0,12,9,0,1,0,2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,7,5,0,1,6,0,1,8,0,0,0,15,0,0,0,0,0,0,0,0
2023-02-26T13,151,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18,0,0,0,0,0,29,0,0,0,0,0,0,5,0,1,9,8,0,1,0,3,2,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,0,3,0,0,0,0,1,0,1,0,0,0,5,6,0,1,11,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0
2023-02-26T14,147,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,13,0,0,0,0,0,24,1,0,0,0,0,0,3,0,2,9,6,0,0,0,3,0,0,0,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,4,6,0,0,8,0,0,6,0,1,0,21,0,0,0,0,0,0,0,0
2023-02-26T15,189,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,8,0,1,0,12,0,0,0,0,0,38,0,0,0,0,0,0,4,0,2,11,9,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,6,0,0,10,0,0,5,0,2,0,21,0,0,0,0,0,0,0,0
2023-02-26T16,169,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,5,0,0,0,0,0,35,0,0,0,0,0,0,6,0,1,5,12,0,0,0,2,0,0,0,0,0,1,0,0,32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,2,1,0,1,0,1,0,0,0,1,5,0,0,3,0,0,3,0,2,0,27,0,0,0,0,0,0,0,0
2023-02-26T17,181,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,5,1,2,0,3,0,0,0,0,1,43,0,0,0,0,0,1,7,0,0,21,12,0,0,0,3,0,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,0,0,3,7,0,0,10,0,0,1,0,0,0,14,0,1,0,0,0,0,0,1
2023-02-26T18,200,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,8,3,1,0,0,0,0,0,0,2,51,0,0,0,0,0,0,4,1,0,13,15,0,0,0,2,0,0,0,0,0,0,1,0,20,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,4,5,0,0,5,0,1,2,0,0,0,31,0,2,0,0,0,0,0,0
2023-02-26T19,223,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,14,3,0,0,3,0,0,0,0,2,52,0,0,0,0,0,1,8,1,0,7,22,0,0,0,2,1,0,0,0,0,0,1,0,12,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,1,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,4,6,0,1,1,0,2,3,0,0,0,28,0,1,0,2,0,0,0,0
2023-02-26T20,197,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,10,2,3,0,4,0,0,0,0,0,38,0,0,0,0,0,0,8,0,0,8,20,0,0,1,1,0,0,2,0,0,0,0,0,13,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,18,2,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,1,5,0,1,3,0,3,5,0,0,0,24,0,0,0,1,0,0,0,0
2023-02-26T21,187,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,3,3,0,3,0,0,0,0,0,30,0,0,0,0,0,0,6,0,0,12,15,0,0,0,1,0,0,3,0,0,0,0,0,17,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,1,1,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,7,1,1,2,0,1,2,0,0,0,27,0,0,1,0,0,0,0,0
