bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MU,MW,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SO,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2023-11-19T11,108,2,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,11,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,2,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,4,0,0,0,0,2,0,2,0,0,0,1,6,0,0,0,0,6,0,0,4,0,0,0,17,0,0,0,2,0,0
2023-11-19T12,111,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,11,0,0,0,0,0,1,0,1,8,5,0,0,0,1,0,1,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,3,0,1,0,0,0,0,3,0,2,0,0,0,3,6,0,2,0,0,6,0,0,4,0,0,0,11,0,0,0,0,0,0
2023-11-19T13,149,2,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,17,1,0,0,0,23,0,0,0,0,3,1,0,1,6,6,0,0,0,1,0,1,1,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,2,0,2,0,1,1,0,4,0,7,0,0,0,2,6,0,0,0,0,12,0,1,3,0,1,0,20,0,0,0,1,0,0
2023-11-19T14,166,1,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,5,0,0,0,0,15,1,0,0,0,23,0,0,0,0,0,1,0,0,8,5,0,0,0,4,0,0,0,0,1,2,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,11,1,0,0,0,1,0,2,0,0,1,0,3,0,7,1,0,0,2,7,0,0,0,0,18,0,1,6,0,0,0,19,0,0,0,1,0,0
2023-11-19T15,177,3,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,3,0,0,0,0,15,0,0,0,0,23,0,0,0,0,0,2,0,0,5,8,0,0,0,4,0,0,0,0,0,1,1,0,1,15,4,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3,0,4,0,0,1,0,4,0,5,2,0,1,3,6,0,0,0,0,16,0,0,2,0,0,0,28,0,0,0,0,0,0
2023-11-19T16,177,4,0,0,0,1,2,1,0,1,1,0,0,0,2,0,0,7,2,0,0,1,1,0,0,0,1,26,0,0,0,0,0,4,0,0,10,8,0,0,0,4,0,1,1,0,0,1,0,0,1,16,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,0,5,0,0,0,0,4,0,7,0,0,0,4,5,0,0,0,0,11,0,0,0,0,1,0,26,0,0,0,0,0,0
2023-11-19T17,177,2,0,0,0,0,2,3,0,1,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,41,0,0,0,0,0,7,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,5,0,0,0,0,12,0,2,2,0,0,0,28,0,0,0,0,0,0
2023-11-19T18,205,2,0,0,0,1,0,2,0,1,2,0,0,0,2,0,0,9,2,0,0,1,1,0,0,0,0,53,2,0,0,0,0,6,0,2,10,10,0,1,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,1,0,0,0,1,0,3,0,0,0,0,2,0,4,0,0,0,7,5,0,0,0,0,10,0,1,1,0,0,0,29,0,0,1,0,1,0
2023-11-19T19,208,1,0,0,0,0,1,2,0,1,3,0,0,0,1,0,0,8,1,0,0,0,1,0,0,0,2,42,2,0,0,0,0,5,0,1,17,18,0,1,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2,0,0,1,0,4,0,1,0,0,3,0,2,0,0,0,8,6,0,0,0,0,2,0,1,2,0,0,0,31,0,0,0,0,0,0
2023-11-19T20,178,1,0,0,0,0,1,1,0,1,1,0,0,0,4,1,0,10,3,0,0,0,2,0,0,0,0,30,1,0,0,0,0,5,0,2,8,18,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,7,7,0,0,0,0,3,0,1,3,0,0,0,26,2,0,0,0,0,0
