bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KR,KZ,LA,LB,LT,LU,LV,MA,ME,MK,MM,MN,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SO,SR,SY,TG,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-09-10T13,95,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,15,0,0,0,0,1,0,0,0,4,7,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,2,1,0,0,0,3,0,0,0,1,6,0,0,0,0,0,11,0,6,1,0,10,0,0,0,0,0
2023-09-10T14,122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,11,1,0,0,0,0,0,0,0,5,5,0,0,0,11,0,0,0,0,1,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,10,0,9,0,0,27,0,0,0,0,0
2023-09-10T15,131,3,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,0,17,1,0,0,0,0,2,0,1,11,7,0,0,0,4,1,0,0,0,1,0,1,0,6,0,2,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,6,0,6,0,0,25,0,0,0,0,0
2023-09-10T16,157,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,25,0,0,0,0,0,6,0,1,8,11,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,1,0,1,0,4,0,0,0,5,5,0,0,0,0,0,11,1,5,0,0,22,0,0,0,0,0
2023-09-10T17,134,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,24,0,0,0,0,0,4,0,1,5,9,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,6,1,2,1,0,23,0,0,0,0,0
2023-09-10T18,157,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,31,0,0,0,0,0,4,0,1,9,22,0,0,0,2,0,0,0,0,0,0,1,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,2,1,0,0,0,2,1,0,0,2,6,0,0,0,0,0,4,1,5,1,0,14,0,0,0,0,0
2023-09-10T19,173,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,23,0,0,0,0,0,4,0,0,7,12,0,0,1,3,0,0,0,0,1,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,2,2,0,0,0,3,0,0,0,2,5,0,0,0,0,0,2,1,6,1,0,57,0,0,0,0,0
2023-09-10T20,156,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,0,0,15,0,0,0,0,19,0,0,0,0,0,1,0,0,7,11,0,0,0,2,0,0,0,0,1,0,0,0,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,1,0,3,0,0,46,0,0,0,0,0
2023-09-10T21,120,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,7,2,0,1,1,14,0,0,0,0,16,0,0,0,0,1,2,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,2,1,0,0,18,0,0,0,0,0
2023-09-10T22,88,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,3,0,0,3,10,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,21,0,0,0,1,0
2023-09-10T23,77,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,2,0,0,1,4,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,27,1,0,0,0,0
