bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,MM,MN,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2023-07-23T12,157,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,3,1,0,0,6,0,0,0,0,0,11,0,0,0,0,0,2,0,0,4,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,10,0,6,0,2,0,65,0,0,0,0,0
2023-07-23T13,126,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,1,22,0,0,0,0,0,1,0,0,5,11,0,0,0,6,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,2,0,2,0,0,0,0,0,4,0,0,0,0,5,0,0,0,15,0,6,0,1,0,15,0,0,0,0,0
2023-07-23T14,161,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,2,0,2,0,1,0,4,0,0,0,0,5,0,0,0,16,0,9,0,2,0,55,0,0,0,0,0
2023-07-23T15,121,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,1,0,0,5,0,0,0,0,1,20,0,0,0,1,0,0,0,0,10,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,5,0,2,0,0,0,1,0,0,0,1,5,0,0,0,13,0,1,0,0,0,19,0,0,1,0,0
2023-07-23T16,130,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,13,0,0,0,0,1,23,1,0,0,1,0,3,0,0,12,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,4,0,1,0,1,0,3,0,0,0,0,5,0,0,0,12,1,0,0,0,0,15,0,0,0,0,0
2023-07-23T17,143,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,14,0,0,0,0,1,22,0,0,0,3,0,3,0,0,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,4,0,1,0,2,0,2,0,0,0,0,5,0,0,0,11,1,1,0,0,0,26,0,0,2,0,0
2023-07-23T18,158,2,0,0,0,0,0,1,0,1,0,3,0,0,1,0,7,1,0,0,15,0,0,0,0,0,23,0,0,0,0,0,2,0,0,11,15,0,0,0,2,0,0,0,0,1,0,1,0,0,0,4,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,5,0,0,0,8,0,2,0,2,0,26,0,0,1,0,0
2023-07-23T19,196,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,9,1,0,0,17,0,0,0,0,0,28,0,0,0,0,0,1,0,0,8,16,0,0,0,2,0,0,0,0,0,0,0,0,1,0,15,0,3,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,2,0,1,0,4,0,1,0,1,0,4,0,0,0,1,8,0,0,0,7,0,4,0,2,0,30,0,0,0,0,0
2023-07-23T20,166,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,16,2,0,0,18,0,0,0,0,0,29,0,0,0,0,0,1,0,0,3,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,5,0,0,0,9,0,1,0,0,0,25,0,0,0,0,0
2023-07-23T21,133,1,0,1,0,2,0,0,0,1,0,1,0,0,2,0,4,3,1,0,17,0,0,0,0,0,16,0,0,0,0,0,2,0,0,5,9,0,0,0,2,0,0,1,0,1,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,6,0,0,0,1,1,2,0,0,0,25,0,0,0,0,0
2023-07-23T22,138,2,0,0,0,0,0,0,0,0,0,1,1,0,3,0,8,1,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,4,0,0,0,4,1,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,1,3,0,0,0,47,0,0,0,0,0
2023-07-23T23,116,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,1,0,0,13,0,1,0,0,0,5,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,1,4,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,1,0,1,0,0,0,40,0,0,1,0,0
